Chemical,Monitor,reading,direction,Date
Methylosmolene,3,2.68382,190.5,2016/4/1 0:00
Methylosmolene,7,2.63064,190.5,2016/4/1 0:00
Chlorodinine,3,1.25917,190.5,2016/4/1 0:00
Chlorodinine,7,0.943983,190.5,2016/4/1 0:00
AGOC-3A,3,0.722303,190.5,2016/4/1 0:00
Appluimonia,2,0.518521,190.5,2016/4/1 0:00
Appluimonia,8,0.502186,190.5,2016/4/1 0:00
AGOC-3A,7,0.497282,190.5,2016/4/1 0:00
Appluimonia,6,0.458144,190.5,2016/4/1 0:00
Methylosmolene,8,0.456104,190.5,2016/4/1 0:00
AGOC-3A,8,0.438723,190.5,2016/4/1 0:00
Methylosmolene,1,0.417423,190.5,2016/4/1 0:00
Appluimonia,7,0.38494,190.5,2016/4/1 0:00
Chlorodinine,1,0.382308,190.5,2016/4/1 0:00
Appluimonia,4,0.378015,190.5,2016/4/1 0:00
Appluimonia,9,0.272886,190.5,2016/4/1 0:00
AGOC-3A,6,0.242289,190.5,2016/4/1 0:00
Chlorodinine,6,0.239455,190.5,2016/4/1 0:00
Chlorodinine,5,0.239101,190.5,2016/4/1 0:00
AGOC-3A,2,0.228558,190.5,2016/4/1 0:00
Chlorodinine,8,0.225446,190.5,2016/4/1 0:00
Chlorodinine,9,0.197804,190.5,2016/4/1 0:00
Methylosmolene,4,0.196198,190.5,2016/4/1 0:00
AGOC-3A,1,0.160462,190.5,2016/4/1 0:00
Methylosmolene,6,0.156771,190.5,2016/4/1 0:00
AGOC-3A,5,0.15486,190.5,2016/4/1 0:00
Methylosmolene,9,0.144993,190.5,2016/4/1 0:00
Appluimonia,3,0.130435,190.5,2016/4/1 0:00
Methylosmolene,2,0.110788,190.5,2016/4/1 0:00
AGOC-3A,9,0.105787,190.5,2016/4/1 0:00
AGOC-3A,4,0.0814906,190.5,2016/4/1 0:00
Appluimonia,5,0.0296967,190.5,2016/4/1 0:00
Methylosmolene,5,0.0226431,190.5,2016/4/1 0:00
Chlorodinine,2,0.0115732,190.5,2016/4/1 0:00
Chlorodinine,4,0.00473954,190.5,2016/4/1 0:00
Appluimonia,1,0.0030929,190.5,2016/4/1 0:00
Appluimonia,3,3.48407,190.5,2016/4/1 1:00
AGOC-3A,3,2.55736,190.5,2016/4/1 1:00
Methylosmolene,7,2.26404,190.5,2016/4/1 1:00
Chlorodinine,7,1.26748,190.5,2016/4/1 1:00
Methylosmolene,3,0.779529,190.5,2016/4/1 1:00
Chlorodinine,8,0.708372,190.5,2016/4/1 1:00
Appluimonia,7,0.63253,190.5,2016/4/1 1:00
Appluimonia,8,0.565845,190.5,2016/4/1 1:00
AGOC-3A,8,0.535,190.5,2016/4/1 1:00
Appluimonia,5,0.452317,190.5,2016/4/1 1:00
AGOC-3A,2,0.452257,190.5,2016/4/1 1:00
Methylosmolene,5,0.401722,190.5,2016/4/1 1:00
AGOC-3A,6,0.394667,190.5,2016/4/1 1:00
Methylosmolene,1,0.381961,190.5,2016/4/1 1:00
Chlorodinine,6,0.349223,190.5,2016/4/1 1:00
Chlorodinine,9,0.345217,190.5,2016/4/1 1:00
Chlorodinine,1,0.325122,190.5,2016/4/1 1:00
Chlorodinine,4,0.304023,190.5,2016/4/1 1:00
AGOC-3A,5,0.301439,190.5,2016/4/1 1:00
Methylosmolene,4,0.280295,190.5,2016/4/1 1:00
Methylosmolene,8,0.272105,190.5,2016/4/1 1:00
AGOC-3A,7,0.261157,190.5,2016/4/1 1:00
Methylosmolene,2,0.225031,190.5,2016/4/1 1:00
Methylosmolene,6,0.18997,190.5,2016/4/1 1:00
Methylosmolene,9,0.186488,190.5,2016/4/1 1:00
Appluimonia,6,0.168714,190.5,2016/4/1 1:00
Chlorodinine,5,0.163982,190.5,2016/4/1 1:00
Appluimonia,2,0.152105,190.5,2016/4/1 1:00
Appluimonia,9,0.131138,190.5,2016/4/1 1:00
Appluimonia,4,0.130407,190.5,2016/4/1 1:00
AGOC-3A,9,0.123042,190.5,2016/4/1 1:00
Chlorodinine,3,0.0842611,190.5,2016/4/1 1:00
AGOC-3A,4,0.0827827,190.5,2016/4/1 1:00
Chlorodinine,2,0.0777142,190.5,2016/4/1 1:00
AGOC-3A,1,0.0656058,190.5,2016/4/1 1:00
Appluimonia,1,0.00951907,190.5,2016/4/1 1:00
AGOC-3A,3,2.39479,203.3,2016/4/1 2:00
Appluimonia,7,1.66118,203.3,2016/4/1 2:00
Methylosmolene,7,0.970838,203.3,2016/4/1 2:00
Chlorodinine,2,0.689016,203.3,2016/4/1 2:00
Appluimonia,2,0.645735,203.3,2016/4/1 2:00
Methylosmolene,9,0.634746,203.3,2016/4/1 2:00
Chlorodinine,7,0.608635,203.3,2016/4/1 2:00
AGOC-3A,2,0.509981,203.3,2016/4/1 2:00
Methylosmolene,6,0.474245,203.3,2016/4/1 2:00
AGOC-3A,8,0.437709,203.3,2016/4/1 2:00
Chlorodinine,4,0.432936,203.3,2016/4/1 2:00
Chlorodinine,3,0.428891,203.3,2016/4/1 2:00
Appluimonia,4,0.396515,203.3,2016/4/1 2:00
Chlorodinine,8,0.386579,203.3,2016/4/1 2:00
Appluimonia,6,0.381269,203.3,2016/4/1 2:00
Chlorodinine,6,0.367956,203.3,2016/4/1 2:00
Chlorodinine,1,0.32639,203.3,2016/4/1 2:00
AGOC-3A,6,0.318626,203.3,2016/4/1 2:00
Methylosmolene,8,0.244736,203.3,2016/4/1 2:00
Methylosmolene,3,0.23958,203.3,2016/4/1 2:00
Appluimonia,5,0.236313,203.3,2016/4/1 2:00
Appluimonia,3,0.208529,203.3,2016/4/1 2:00
AGOC-3A,5,0.206771,203.3,2016/4/1 2:00
AGOC-3A,1,0.20397,203.3,2016/4/1 2:00
Appluimonia,8,0.188443,203.3,2016/4/1 2:00
Chlorodinine,9,0.165901,203.3,2016/4/1 2:00
Appluimonia,1,0.0983349,203.3,2016/4/1 2:00
Methylosmolene,2,0.0704396,203.3,2016/4/1 2:00
Chlorodinine,5,0.0659318,203.3,2016/4/1 2:00
AGOC-3A,9,0.0656916,203.3,2016/4/1 2:00
Methylosmolene,5,0.0511753,203.3,2016/4/1 2:00
Appluimonia,9,0.0430606,203.3,2016/4/1 2:00
AGOC-3A,4,0.0389048,203.3,2016/4/1 2:00
Methylosmolene,1,0.0378444,203.3,2016/4/1 2:00
Methylosmolene,4,0.0347547,203.3,2016/4/1 2:00
AGOC-3A,7,0.0304364,203.3,2016/4/1 2:00
Methylosmolene,8,0.69419,203.3,2016/4/1 3:00
Chlorodinine,8,0.65151,203.3,2016/4/1 3:00
Appluimonia,2,0.596467,203.3,2016/4/1 3:00
AGOC-3A,6,0.5182,203.3,2016/4/1 3:00
Chlorodinine,9,0.51323,203.3,2016/4/1 3:00
Methylosmolene,9,0.486087,203.3,2016/4/1 3:00
Appluimonia,8,0.471165,203.3,2016/4/1 3:00
Appluimonia,6,0.45342,203.3,2016/4/1 3:00
Appluimonia,7,0.446928,203.3,2016/4/1 3:00
Methylosmolene,6,0.437154,203.3,2016/4/1 3:00
AGOC-3A,7,0.405114,203.3,2016/4/1 3:00
Appluimonia,9,0.378197,203.3,2016/4/1 3:00
Chlorodinine,3,0.376071,203.3,2016/4/1 3:00
Chlorodinine,6,0.364682,203.3,2016/4/1 3:00
AGOC-3A,8,0.363091,203.3,2016/4/1 3:00
Chlorodinine,1,0.357711,203.3,2016/4/1 3:00
Methylosmolene,1,0.353672,203.3,2016/4/1 3:00
Chlorodinine,4,0.321624,203.3,2016/4/1 3:00
Appluimonia,5,0.319679,203.3,2016/4/1 3:00
