sampleTime,name,value
1998/1/11,Macrozoobenthos,0
1998/2/15,Macrozoobenthos,0
1998/3/12,Macrozoobenthos,2.02
1998/4/11,Macrozoobenthos,1.045
1998/5/9,Macrozoobenthos,0
1998/6/6,Macrozoobenthos,0
1998/7/11,Macrozoobenthos,0
1998/8/8,Macrozoobenthos,0
1998/9/5,Macrozoobenthos,0
1998/10/3,Macrozoobenthos,2.095
1998/11/7,Macrozoobenthos,0
1998/12/5,Macrozoobenthos,0
1999/3/11,Macrozoobenthos,1.833333333
1999/4/16,Macrozoobenthos,1.996666667
1999/5/13,Macrozoobenthos,1.733333333
1999/7/22,Macrozoobenthos,1.666666667
1999/9/16,Macrozoobenthos,1.8
1999/11/5,Macrozoobenthos,1.9
1999/12/9,Macrozoobenthos,1.75
2000/1/14,Macrozoobenthos,1.75
2000/2/10,Macrozoobenthos,1.9
2000/3/10,Macrozoobenthos,1.8
2000/4/14,Macrozoobenthos,1.8
2000/5/12,Macrozoobenthos,1.866666667
2000/6/9,Macrozoobenthos,1.8
2000/7/14,Macrozoobenthos,1.833333333
2000/8/17,Macrozoobenthos,1.973333333
2000/9/8,Macrozoobenthos,1.866666667
2000/10/6,Macrozoobenthos,2
2000/11/10,Macrozoobenthos,2.056666667
2000/12/8,Macrozoobenthos,1.633333333
2001/1/20,Macrozoobenthos,1.89
2001/3/10,Macrozoobenthos,1.89
2001/5/4,Macrozoobenthos,1.676666667
2001/6/6,Macrozoobenthos,2.01
2001/7/27,Macrozoobenthos,1.85
2001/8/4,Macrozoobenthos,2.01
2001/9/14,Macrozoobenthos,1.683333333
2003/11/13,Macrozoobenthos,1.6
2003/12/4,Macrozoobenthos,1.616666667
2004/3/12,Macrozoobenthos,1.766666667
2004/5/7,Macrozoobenthos,1.9
2004/5/28,Macrozoobenthos,1.866666667
2004/6/11,Macrozoobenthos,1.936666667
2004/7/9,Macrozoobenthos,1.923333333
2004/8/13,Macrozoobenthos,1.956666667
2004/9/10,Macrozoobenthos,1.943333333
2004/9/24,Macrozoobenthos,1.6
2004/10/8,Macrozoobenthos,1.933333333
2004/10/22,Macrozoobenthos,1.833333333
2004/11/5,Macrozoobenthos,1.986666667
2004/11/26,Macrozoobenthos,1.866666667
2004/12/3,Macrozoobenthos,2
2005/1/14,Macrozoobenthos,1.9
2005/1/28,Macrozoobenthos,1.823333333
2005/2/11,Macrozoobenthos,1.93
2005/2/24,Macrozoobenthos,1.84
2005/3/11,Macrozoobenthos,1.9
2005/3/25,Macrozoobenthos,1.793333333
2005/4/8,Macrozoobenthos,1.9
2005/4/22,Macrozoobenthos,1.823333333
2005/5/13,Macrozoobenthos,1.896666667
2005/5/27,Macrozoobenthos,1.896666667
2005/6/10,Macrozoobenthos,1.91
2005/6/24,Macrozoobenthos,1.843333333
2005/7/8,Macrozoobenthos,1.993333333
2005/7/22,Macrozoobenthos,2.036666667
2005/8/12,Macrozoobenthos,1.91
2005/8/26,Macrozoobenthos,1.916666667
2005/9/9,Macrozoobenthos,2
2005/9/23,Macrozoobenthos,2.01
2005/10/2,Macrozoobenthos,1.956666667
2005/10/21,Macrozoobenthos,1.97
2005/11/6,Macrozoobenthos,1.916666667
2005/11/25,Macrozoobenthos,1.966666667
2005/12/2,Macrozoobenthos,1.9
2005/12/16,Macrozoobenthos,1.833333333
2006/1/27,Macrozoobenthos,1.883333333
2006/2/10,Macrozoobenthos,1.866666667
2006/2/24,Macrozoobenthos,1.99
2006/3/9,Macrozoobenthos,1.903333333
2006/3/23,Macrozoobenthos,1.891666667
2006/4/6,Macrozoobenthos,1.916666667
2006/5/3,Macrozoobenthos,1.946666667
2006/5/25,Macrozoobenthos,1.966666667
2006/6/8,Macrozoobenthos,1.933333333
2006/6/22,Macrozoobenthos,1.913333333
2006/7/13,Macrozoobenthos,1.906666667
2006/7/27,Macrozoobenthos,1.85
2006/8/10,Macrozoobenthos,1.86
2006/8/24,Macrozoobenthos,2.026666667
2006/9/7,Macrozoobenthos,1.913333333
2006/9/21,Macrozoobenthos,2.016666667
2006/10/12,Macrozoobenthos,1.8
2006/10/26,Macrozoobenthos,1.9
2006/11/9,Macrozoobenthos,1.966666667
2006/11/23,Macrozoobenthos,1.81
2006/12/7,Macrozoobenthos,1.86
2006/12/21,Macrozoobenthos,1.92
2007/1/11,Macrozoobenthos,1.74
2007/1/25,Macrozoobenthos,1.816666667
2007/2/8,Macrozoobenthos,1.87
2007/2/22,Macrozoobenthos,1.866666667
2007/3/9,Macrozoobenthos,1.733333333
2007/3/22,Macrozoobenthos,1.736666667
2007/4/6,Macrozoobenthos,1.8
2007/4/19,Macrozoobenthos,1.92
2007/5/10,Macrozoobenthos,1.836666667
2007/5/24,Macrozoobenthos,1.863333333
2007/6/7,Macrozoobenthos,1.796666667
2007/6/21,Macrozoobenthos,1.826666667
2007/7/5,Macrozoobenthos,1.8
2007/8/23,Macrozoobenthos,1.846666667
2007/9/20,Macrozoobenthos,1.833333333
2007/11/22,Macrozoobenthos,1.82
2007/12/20,Macrozoobenthos,1.83
2008/2/21,Macrozoobenthos,1.91
2008/5/16,Macrozoobenthos,1.86
2008/8/28,Macrozoobenthos,1.94
2008/10/17,Macrozoobenthos,1.843333333
2009/3/19,Macrozoobenthos,2.05
2009/9/9,Macrozoobenthos,2.176666667
2010/4/22,Macrozoobenthos,2.04
2010/7/24,Macrozoobenthos,2.026666667
2010/9/25,Macrozoobenthos,2.063333333
2011/7/20,Macrozoobenthos,1.903333333
2012/4/15,Macrozoobenthos,2.13
