sampleTime,name,value
1998/10/29,Macrozoobenthos,2
1998/11/28,Macrozoobenthos,1.8
1998/12/19,Macrozoobenthos,0
1999/1/27,Macrozoobenthos,1.98
1999/2/20,Macrozoobenthos,2.5
1999/3/19,Macrozoobenthos,2.11
1999/5/27,Macrozoobenthos,2.11
1999/7/24,Macrozoobenthos,2.16
1999/9/18,Macrozoobenthos,2.14
1999/11/20,Macrozoobenthos,2
1999/12/10,Macrozoobenthos,2.09
2000/1/15,Macrozoobenthos,2.17
2000/2/19,Macrozoobenthos,2.35
2000/3/19,Macrozoobenthos,2.11
2000/4/29,Macrozoobenthos,2.12
2000/5/27,Macrozoobenthos,2.29
2000/6/26,Macrozoobenthos,2.1
2000/7/28,Macrozoobenthos,2.08
2000/8/28,Macrozoobenthos,2.15
2000/9/24,Macrozoobenthos,2.25
2000/10/18,Macrozoobenthos,2.15
2000/11/24,Macrozoobenthos,2.18
2000/12/4,Macrozoobenthos,1.95
2001/1/17,Macrozoobenthos,1.9
2001/2/18,Macrozoobenthos,2.37
2001/3/31,Macrozoobenthos,2.05
2001/5/28,Macrozoobenthos,2.09
2001/6/21,Macrozoobenthos,2.1
2001/7/28,Macrozoobenthos,2.25
2001/8/28,Macrozoobenthos,2.1
2001/9/23,Macrozoobenthos,2.3
2003/1/24,Macrozoobenthos,2.2
2003/2/28,Macrozoobenthos,2.09
2003/6/28,Macrozoobenthos,2.13
2003/7/12,Macrozoobenthos,2.07
2003/8/20,Macrozoobenthos,2.1
2003/9/16,Macrozoobenthos,2.04
2004/2/14,Macrozoobenthos,2.26
2004/5/30,Macrozoobenthos,2.15
2005/1/22,Macrozoobenthos,1.94
2005/2/20,Macrozoobenthos,2.076
2005/3/24,Macrozoobenthos,2.18
2005/4/24,Macrozoobenthos,2
2005/5/29,Macrozoobenthos,2.1
2005/6/21,Macrozoobenthos,2
2005/7/24,Macrozoobenthos,2.08
2005/8/26,Macrozoobenthos,2.33
2005/10/23,Macrozoobenthos,2.12
2005/11/24,Macrozoobenthos,2.37
2006/2/25,Macrozoobenthos,2.458
2006/3/23,Macrozoobenthos,2.183
2006/4/27,Macrozoobenthos,2.37
2006/5/31,Macrozoobenthos,2.35
2006/6/25,Macrozoobenthos,2.15
2006/7/16,Macrozoobenthos,2.04
2006/8/13,Macrozoobenthos,2.29
2006/10/6,Macrozoobenthos,2.18
2006/11/22,Macrozoobenthos,2.2
2006/12/13,Macrozoobenthos,2
2007/1/24,Macrozoobenthos,2.41
2007/2/22,Macrozoobenthos,2.42
2007/3/28,Macrozoobenthos,2.42
2007/4/20,Macrozoobenthos,2.12
