sampleTime,name,value
1998/1/31,Macrozoobenthos,0
1998/2/20,Macrozoobenthos,0
1998/3/19,Macrozoobenthos,0.67
1998/4/17,Macrozoobenthos,1.953333333
1998/5/20,Macrozoobenthos,2.07
1998/6/28,Macrozoobenthos,0
1998/7/23,Macrozoobenthos,0
1998/8/23,Macrozoobenthos,1.976666667
1998/9/27,Macrozoobenthos,2.126666667
1998/10/30,Macrozoobenthos,2.043333333
1998/11/26,Macrozoobenthos,1.99
1998/12/18,Macrozoobenthos,0
1999/1/30,Macrozoobenthos,2.046666667
1999/2/18,Macrozoobenthos,2.113333333
1999/3/17,Macrozoobenthos,1.903333333
1999/4/22,Macrozoobenthos,2.01
1999/5/20,Macrozoobenthos,2
1999/6/19,Macrozoobenthos,2.076666667
1999/7/22,Macrozoobenthos,2.076666667
1999/8/28,Macrozoobenthos,2.126666667
1999/9/16,Macrozoobenthos,2.163333333
1999/10/21,Macrozoobenthos,2.08
1999/11/18,Macrozoobenthos,2.126666667
1999/12/9,Macrozoobenthos,2.113333333
2000/1/14,Macrozoobenthos,2.1
2000/2/18,Macrozoobenthos,2.146666667
2000/3/18,Macrozoobenthos,2.043333333
2000/4/28,Macrozoobenthos,1.96
2000/5/19,Macrozoobenthos,2.116666667
2000/6/28,Macrozoobenthos,2.07
2000/7/21,Macrozoobenthos,1.96
2000/8/26,Macrozoobenthos,2.026666667
2000/9/23,Macrozoobenthos,1.733333333
2000/10/16,Macrozoobenthos,2.02
2000/11/18,Macrozoobenthos,2.03
2000/12/3,Macrozoobenthos,2.016666667
2001/1/16,Macrozoobenthos,2.026666667
2001/2/17,Macrozoobenthos,2.223333333
2001/3/31,Macrozoobenthos,1.98
2001/5/27,Macrozoobenthos,2.063333333
2001/6/19,Macrozoobenthos,2.1
2001/7/7,Macrozoobenthos,2.2
2001/8/26,Macrozoobenthos,2.07
2001/9/22,Macrozoobenthos,2.016666667
2003/1/17,Macrozoobenthos,2.066666667
2003/1/29,Macrozoobenthos,2.426666667
2003/2/3,Macrozoobenthos,2.043333333
2003/2/28,Macrozoobenthos,2.163333333
2003/3/19,Macrozoobenthos,1.803333333
2003/4/20,Macrozoobenthos,1.633333333
2003/5/18,Macrozoobenthos,2.133333333
2003/6/21,Macrozoobenthos,1.88
2003/7/6,Macrozoobenthos,8.07
2003/8/16,Macrozoobenthos,2.053333333
2003/11/19,Macrozoobenthos,2.096666667
2003/12/14,Macrozoobenthos,2.356666667
2004/1/22,Macrozoobenthos,2.013666667
2004/2/13,Macrozoobenthos,2.056666667
2004/3/12,Macrozoobenthos,1.956666667
2004/4/12,Macrozoobenthos,2.136
2004/5/16,Macrozoobenthos,1.926666667
2004/11/21,Macrozoobenthos,2.043333333
2005/1/27,Macrozoobenthos,2.04
2005/2/21,Macrozoobenthos,2.02
2005/3/17,Macrozoobenthos,1.913333333
2005/4/11,Macrozoobenthos,1.86
2005/5/16,Macrozoobenthos,2.03
2005/6/13,Macrozoobenthos,2.042666667
2005/7/23,Macrozoobenthos,2.103333333
2005/8/18,Macrozoobenthos,2.083333333
2005/10/10,Macrozoobenthos,2.343333333
2005/11/19,Macrozoobenthos,1.956666667
2006/2/28,Macrozoobenthos,2.016333333
2006/3/17,Macrozoobenthos,2.066666667
2006/4/23,Macrozoobenthos,2.281
2006/5/25,Macrozoobenthos,1.96
2006/6/18,Macrozoobenthos,2.01
2006/7/9,Macrozoobenthos,1.796666667
2006/8/18,Macrozoobenthos,1.956666667
2006/10/8,Macrozoobenthos,2.23
2006/11/15,Macrozoobenthos,2.163333333
2006/12/10,Macrozoobenthos,2.1
2007/1/18,Macrozoobenthos,2.1
2007/1/27,Macrozoobenthos,1.91
2007/2/16,Macrozoobenthos,2.146666667
2007/3/23,Macrozoobenthos,2.126666667
2007/4/12,Macrozoobenthos,1.95
2013/5/19,Macrozoobenthos,1.96
2013/5/31,Macrozoobenthos,2.01
2013/8/31,Macrozoobenthos,2.213333333
2013/9/28,Macrozoobenthos,2.131666667
