sampleTime,name,value
1998/1/26,Macrozoobenthos,0
1998/2/24,Macrozoobenthos,0
1998/3/21,Macrozoobenthos,0
1998/4/18,Macrozoobenthos,1.98
1998/5/26,Macrozoobenthos,0
1998/6/29,Macrozoobenthos,0
1998/7/26,Macrozoobenthos,0
1998/8/25,Macrozoobenthos,1.98
1998/9/20,Macrozoobenthos,0
1998/10/23,Macrozoobenthos,2.026666667
1998/11/20,Macrozoobenthos,0.7
1998/12/17,Macrozoobenthos,0.75
1999/1/21,Macrozoobenthos,2.27
1999/3/24,Macrozoobenthos,2.09
1999/4/23,Macrozoobenthos,2.036666667
1999/5/28,Macrozoobenthos,2.123333333
1999/6/23,Macrozoobenthos,1.983333333
1999/7/25,Macrozoobenthos,2.076666667
1999/8/30,Macrozoobenthos,2.033333333
1999/9/19,Macrozoobenthos,2.246666667
1999/10/22,Macrozoobenthos,2.026666667
1999/11/26,Macrozoobenthos,2.04
1999/12/16,Macrozoobenthos,2.106666667
2000/1/19,Macrozoobenthos,2.093333333
2000/2/18,Macrozoobenthos,2.053333333
2000/3/24,Macrozoobenthos,2.043333333
2000/4/29,Macrozoobenthos,2.1
2000/5/27,Macrozoobenthos,2.073333333
2000/6/25,Macrozoobenthos,1.956666667
2000/7/28,Macrozoobenthos,2.14
2000/8/28,Macrozoobenthos,1.99
2000/9/23,Macrozoobenthos,2.093333333
2000/10/18,Macrozoobenthos,2.02
2000/11/25,Macrozoobenthos,2.173333333
2000/12/30,Macrozoobenthos,2.183333333
2001/1/27,Macrozoobenthos,2.02
2001/2/24,Macrozoobenthos,2.063333333
2001/3/25,Macrozoobenthos,1.886666667
2001/5/27,Macrozoobenthos,1.966666667
2001/6/21,Macrozoobenthos,2.106666667
2001/7/27,Macrozoobenthos,2.253333333
2001/8/28,Macrozoobenthos,2.096666667
2001/9/25,Macrozoobenthos,2.146666667
2003/1/24,Macrozoobenthos,2.02
2003/2/21,Macrozoobenthos,1.876666667
2003/6/26,Macrozoobenthos,1.78
2003/7/24,Macrozoobenthos,1.93
2003/8/27,Macrozoobenthos,2.166666667
2003/9/17,Macrozoobenthos,2.336666667
2004/2/19,Macrozoobenthos,1.966666667
2004/5/22,Macrozoobenthos,1.816666667
2005/1/16,Macrozoobenthos,2.213333333
2005/2/11,Macrozoobenthos,2.066666667
2005/3/11,Macrozoobenthos,1.966666667
2005/4/8,Macrozoobenthos,1.816666667
2005/5/13,Macrozoobenthos,2.036666667
2005/6/12,Macrozoobenthos,2.203333333
2005/7/8,Macrozoobenthos,2.116666667
2005/8/12,Macrozoobenthos,2.08
2005/10/14,Macrozoobenthos,2.093333333
2005/11/11,Macrozoobenthos,1.876666667
2006/2/10,Macrozoobenthos,2.029666667
2006/3/9,Macrozoobenthos,2.05
2006/4/15,Macrozoobenthos,2.746666667
2006/5/11,Macrozoobenthos,2.066666667
2006/6/26,Macrozoobenthos,1.95
2006/7/11,Macrozoobenthos,1.8
2006/8/10,Macrozoobenthos,2.076666667
2006/10/12,Macrozoobenthos,2.273333333
2006/11/9,Macrozoobenthos,2.046666667
2006/12/7,Macrozoobenthos,2.226666667
2007/1/11,Macrozoobenthos,2.023333333
2007/2/8,Macrozoobenthos,2.053333333
2007/4/12,Macrozoobenthos,2.06
2007/5/10,Macrozoobenthos,2.083333333
2007/7/7,Macrozoobenthos,2.11
2013/6/22,Macrozoobenthos,2.12
2013/8/12,Macrozoobenthos,2.146666667
2013/10/11,Macrozoobenthos,2.18
2014/5/8,Macrozoobenthos,36.39333333
