sampleTime,name,value
1998/4/16,Macrozoobenthos,0
1998/6/27,Macrozoobenthos,0
1998/8/22,Macrozoobenthos,0
1998/10/1,Macrozoobenthos,0
1998/11/14,Macrozoobenthos,2.5
1998/12/13,Macrozoobenthos,2.8
1999/1/16,Macrozoobenthos,2.8
1999/2/13,Macrozoobenthos,2.3
1999/3/13,Macrozoobenthos,2.3
1999/5/15,Macrozoobenthos,2.3
1999/9/18,Macrozoobenthos,2.2
1999/12/11,Macrozoobenthos,2.2
2000/1/16,Macrozoobenthos,2.3
2000/2/12,Macrozoobenthos,2.5
2000/3/12,Macrozoobenthos,2.1
2000/4/16,Macrozoobenthos,2.05
2000/5/14,Macrozoobenthos,2
2000/6/29,Macrozoobenthos,2.1
2000/7/16,Macrozoobenthos,2.4
2000/8/25,Macrozoobenthos,2.31
2000/9/10,Macrozoobenthos,2.1
2000/10/15,Macrozoobenthos,2.3
2000/11/12,Macrozoobenthos,2.13
2000/12/10,Macrozoobenthos,1.95
2001/1/28,Macrozoobenthos,1.9
2001/2/18,Macrozoobenthos,2
2001/3/18,Macrozoobenthos,2.3
2001/5/13,Macrozoobenthos,2.08
2001/6/19,Macrozoobenthos,2.11
2001/7/27,Macrozoobenthos,2.15
2001/8/26,Macrozoobenthos,2.1
2001/9/16,Macrozoobenthos,2.34
2003/1/26,Macrozoobenthos,2.23
2003/2/28,Macrozoobenthos,2.35
2004/9/27,Macrozoobenthos,2.09
2004/10/24,Macrozoobenthos,2
2004/11/28,Macrozoobenthos,2
2005/2/27,Macrozoobenthos,2
2005/3/27,Macrozoobenthos,2.12
2005/4/25,Macrozoobenthos,1.92
2005/5/28,Macrozoobenthos,2.25
2005/6/26,Macrozoobenthos,2.12
2005/7/29,Macrozoobenthos,2.13
2005/8/24,Macrozoobenthos,2.17
2005/9/25,Macrozoobenthos,2.25
2005/10/23,Macrozoobenthos,2.29
2005/11/27,Macrozoobenthos,2.4
2006/2/26,Macrozoobenthos,2.36
2009/7/30,Macrozoobenthos,1.83
2009/8/20,Macrozoobenthos,2.37
2010/7/28,Macrozoobenthos,2.1
2010/9/29,Macrozoobenthos,2.31
2011/4/27,Macrozoobenthos,2.11
2011/8/31,Macrozoobenthos,2.15
2011/10/26,Macrozoobenthos,2.37
2012/3/29,Macrozoobenthos,2.06
2013/4/19,Macrozoobenthos,2.2
2013/6/27,Macrozoobenthos,2.17
