sampleTime,name,value
1998/4/18,Macrozoobenthos,2.14
1998/6/30,Macrozoobenthos,0
1998/8/26,Macrozoobenthos,2.04
1998/10/24,Macrozoobenthos,2.18
1998/11/20,Macrozoobenthos,0.7
1998/12/10,Macrozoobenthos,0.75
1999/3/25,Macrozoobenthos,1.97
1999/4/26,Macrozoobenthos,2.05
1999/5/26,Macrozoobenthos,2.06
1999/6/25,Macrozoobenthos,2.14
1999/7/26,Macrozoobenthos,1.97
1999/7/28,Macrozoobenthos,2.046666667
1999/8/31,Macrozoobenthos,2.036666667
1999/9/21,Macrozoobenthos,2.076666667
1999/10/23,Macrozoobenthos,1.94
1999/11/26,Macrozoobenthos,2.086666667
1999/12/15,Macrozoobenthos,2.2
2000/1/19,Macrozoobenthos,2.333333333
2000/2/19,Macrozoobenthos,2.076666667
2000/3/23,Macrozoobenthos,2.136666667
2000/4/29,Macrozoobenthos,2.083333333
2000/5/26,Macrozoobenthos,2.03
2000/6/24,Macrozoobenthos,2.066666667
2000/7/29,Macrozoobenthos,2.306666667
2000/8/29,Macrozoobenthos,1.953333333
2000/9/21,Macrozoobenthos,2.153333333
2000/10/19,Macrozoobenthos,2.066666667
2000/11/23,Macrozoobenthos,2.023333333
2000/12/30,Macrozoobenthos,2.01
2001/1/25,Macrozoobenthos,2.006666667
2001/2/22,Macrozoobenthos,1.983333333
2001/3/22,Macrozoobenthos,1.95
2001/5/27,Macrozoobenthos,1.966666667
2001/6/21,Macrozoobenthos,2.073333333
2001/7/27,Macrozoobenthos,2.133333333
2001/8/29,Macrozoobenthos,2.043333333
2001/9/25,Macrozoobenthos,2.25
2003/1/24,Macrozoobenthos,2.22
2003/2/21,Macrozoobenthos,2.126666667
2003/6/26,Macrozoobenthos,1.993333333
2003/7/24,Macrozoobenthos,1.866666667
2003/8/28,Macrozoobenthos,2.133333333
2003/9/18,Macrozoobenthos,2.11
2004/2/19,Macrozoobenthos,2.096666667
2004/5/22,Macrozoobenthos,1.886666667
2005/1/16,Macrozoobenthos,2.073333333
2005/2/11,Macrozoobenthos,1.95
2005/3/11,Macrozoobenthos,2.023333333
2005/4/8,Macrozoobenthos,1.93
2005/5/13,Macrozoobenthos,2.013333333
2005/6/12,Macrozoobenthos,2.133333333
2005/7/8,Macrozoobenthos,2.2
2005/8/12,Macrozoobenthos,2.093333333
2005/10/14,Macrozoobenthos,2.053333333
2005/11/11,Macrozoobenthos,2.17
2006/2/10,Macrozoobenthos,2.031
2006/3/9,Macrozoobenthos,2.163
2006/4/15,Macrozoobenthos,2.183333333
2006/5/11,Macrozoobenthos,2.043333333
2006/6/8,Macrozoobenthos,1.963333333
2006/7/13,Macrozoobenthos,1.846666667
2006/8/10,Macrozoobenthos,2.013333333
2006/10/12,Macrozoobenthos,2.13
2006/11/9,Macrozoobenthos,2.336666667
2006/12/7,Macrozoobenthos,2.35
2007/1/11,Macrozoobenthos,2.023333333
2007/2/15,Macrozoobenthos,2.036666667
2007/4/12,Macrozoobenthos,1.996666667
2007/5/10,Macrozoobenthos,1.916666667
2007/7/7,Macrozoobenthos,2.076666667
2013/6/23,Macrozoobenthos,2.163333333
2013/8/13,Macrozoobenthos,2.143333333
2013/10/12,Macrozoobenthos,2.226666667
2014/5/8,Macrozoobenthos,36.88333333
