spot,sampleTime,name,value
Achara,2009/1/15,Total coliforms,16090
Achara,2009/2/13,Total coliforms,175
Achara,2009/3/19,Total coliforms,170
Boonsri,1998/1/11,Fecal coliforms,0
Boonsri,1998/2/15,Fecal coliforms,0
Boonsri,1998/3/12,Fecal coliforms,0
Boonsri,1998/4/11,Fecal coliforms,0
Boonsri,1998/5/9,Fecal coliforms,0
Boonsri,1998/6/6,Fecal coliforms,0
Boonsri,1998/7/11,Fecal coliforms,0
Boonsri,1998/8/8,Fecal coliforms,0
Boonsri,1998/9/5,Fecal coliforms,0
Boonsri,1998/10/3,Fecal coliforms,0
Boonsri,1998/11/7,Fecal coliforms,0
Boonsri,1998/12/5,Fecal coliforms,0
Boonsri,1999/2/11,Fecal coliforms,0.00725
Boonsri,1999/3/11,Fecal coliforms,0.14
Boonsri,1999/4/16,Fecal coliforms,0.006
Boonsri,1999/5/13,Fecal coliforms,0.0826
Boonsri,1999/9/16,Fecal coliforms,0.14
Boonsri,1999/10/10,Fecal coliforms,0.015
Boonsri,2000/1/14,Fecal coliforms,0.24
Boonsri,2000/2/10,Fecal coliforms,0.02
Boonsri,2000/3/10,Fecal coliforms,0.01
Boonsri,2000/4/14,Fecal coliforms,0.035333333
Boonsri,2000/5/12,Fecal coliforms,0.016666667
Boonsri,2000/6/9,Fecal coliforms,0.16
Boonsri,2000/7/14,Fecal coliforms,0.166666667
Boonsri,2000/8/17,Fecal coliforms,0.193333333
Boonsri,2000/9/8,Fecal coliforms,0.08
Boonsri,2000/10/6,Fecal coliforms,0.483333333
Boonsri,2000/12/8,Fecal coliforms,0.043333333
Boonsri,2001/6/6,Fecal coliforms,0.01
Boonsri,2001/7/27,Fecal coliforms,0.01
Boonsri,2001/8/4,Fecal coliforms,0.045
Boonsri,2001/9/14,Fecal coliforms,0.03
Boonsri,2001/11/15,Fecal coliforms,0.023
Boonsri,2001/12/7,Fecal coliforms,0.025333333
Boonsri,2002/3/21,Fecal coliforms,0.06
Boonsri,2002/4/25,Fecal coliforms,0.893333333
Boonsri,2002/8/8,Fecal coliforms,0.02
Boonsri,2002/10/10,Fecal coliforms,0.103333333
Boonsri,2002/11/7,Fecal coliforms,0.012
Boonsri,2002/12/12,Fecal coliforms,0.023333333
Boonsri,2003/1/23,Fecal coliforms,0.269333333
Boonsri,2003/2/13,Fecal coliforms,0.021666667
Boonsri,2003/3/6,Fecal coliforms,1.26
Boonsri,2003/4/10,Fecal coliforms,1.696666667
Boonsri,2003/5/8,Fecal coliforms,8.486666667
Boonsri,2003/6/6,Fecal coliforms,0.996666667
Boonsri,2003/6/19,Fecal coliforms,5.533333333
Boonsri,2003/7/10,Fecal coliforms,2.96
Boonsri,2003/8/7,Fecal coliforms,0.553333333
Boonsri,2003/10/9,Fecal coliforms,2.706666667
Boonsri,2003/11/13,Fecal coliforms,0.144
Boonsri,2004/7/23,Fecal coliforms,0.071
