sampleTime,name,value
1998/1/11,Fecal coliforms,0
1998/2/15,Fecal coliforms,0
1998/3/12,Fecal coliforms,0
1998/4/11,Fecal coliforms,0
1998/5/9,Fecal coliforms,0
1998/6/6,Fecal coliforms,0
1998/7/11,Fecal coliforms,0
1998/8/8,Fecal coliforms,0
1998/9/5,Fecal coliforms,0
1998/10/3,Fecal coliforms,0
1998/11/7,Fecal coliforms,0
1998/12/5,Fecal coliforms,0
1999/2/11,Fecal coliforms,0.00725
1999/3/11,Fecal coliforms,0.14
1999/4/16,Fecal coliforms,0.006
1999/5/13,Fecal coliforms,0.0826
1999/9/16,Fecal coliforms,0.14
1999/10/10,Fecal coliforms,0.015
2000/1/14,Fecal coliforms,0.24
2000/2/10,Fecal coliforms,0.02
2000/3/10,Fecal coliforms,0.01
2000/4/14,Fecal coliforms,0.035333333
2000/5/12,Fecal coliforms,0.016666667
2000/6/9,Fecal coliforms,0.16
2000/7/14,Fecal coliforms,0.166666667
2000/8/17,Fecal coliforms,0.193333333
2000/9/8,Fecal coliforms,0.08
2000/10/6,Fecal coliforms,0.483333333
2000/12/8,Fecal coliforms,0.043333333
2001/6/6,Fecal coliforms,0.01
2001/7/27,Fecal coliforms,0.01
2001/8/4,Fecal coliforms,0.045
2001/9/14,Fecal coliforms,0.03
2001/11/15,Fecal coliforms,0.023
2001/12/7,Fecal coliforms,0.025333333
2002/3/21,Fecal coliforms,0.06
2002/4/25,Fecal coliforms,0.893333333
2002/8/8,Fecal coliforms,0.02
2002/10/10,Fecal coliforms,0.103333333
2002/11/7,Fecal coliforms,0.012
2002/12/12,Fecal coliforms,0.023333333
2003/1/23,Fecal coliforms,0.269333333
2003/2/13,Fecal coliforms,0.021666667
2003/3/6,Fecal coliforms,1.26
2003/4/10,Fecal coliforms,1.696666667
2003/5/8,Fecal coliforms,8.486666667
2003/6/6,Fecal coliforms,0.996666667
2003/6/19,Fecal coliforms,5.533333333
2003/7/10,Fecal coliforms,2.96
2003/8/7,Fecal coliforms,0.553333333
2003/10/9,Fecal coliforms,2.706666667
2003/11/13,Fecal coliforms,0.144
2004/7/23,Fecal coliforms,0.071
2004/8/27,Fecal coliforms,1.313333333
2004/9/24,Fecal coliforms,0.136
2004/10/22,Fecal coliforms,0.166666667
2004/11/26,Fecal coliforms,0.064333333
2005/1/28,Fecal coliforms,0.070666667
2005/2/11,Fecal coliforms,0.04
2005/3/25,Fecal coliforms,0.1
2005/4/22,Fecal coliforms,0.064
