sampleTime,name,value
1998/10/29,Fecal coliforms,0.01
1998/11/28,Fecal coliforms,0.0072
1998/12/19,Fecal coliforms,0
1999/1/27,Fecal coliforms,0.09
1999/2/20,Fecal coliforms,0.02
1999/4/23,Fecal coliforms,0.33
1999/5/27,Fecal coliforms,0.01
1999/6/22,Fecal coliforms,0.02
1999/10/22,Fecal coliforms,0.18
1999/11/20,Fecal coliforms,1.7
1999/12/10,Fecal coliforms,2.2
2000/1/15,Fecal coliforms,0.008
2000/2/19,Fecal coliforms,0.11
2000/3/19,Fecal coliforms,0.02
2000/4/29,Fecal coliforms,0.1
2000/5/27,Fecal coliforms,0.02
2000/7/28,Fecal coliforms,0.4
2000/8/28,Fecal coliforms,0.22
2000/9/24,Fecal coliforms,16
2001/2/18,Fecal coliforms,0.02
2001/3/31,Fecal coliforms,0.002
2001/4/29,Fecal coliforms,0.005
2001/5/28,Fecal coliforms,0.22
2001/6/21,Fecal coliforms,0.01
2001/8/28,Fecal coliforms,0.006
2001/9/23,Fecal coliforms,0.02
2001/11/18,Fecal coliforms,0.01
2002/10/12,Fecal coliforms,0.006
2003/1/24,Fecal coliforms,0.22
2003/2/28,Fecal coliforms,0.02
2003/3/30,Fecal coliforms,0.2
2003/10/9,Fecal coliforms,0.2
2004/2/14,Fecal coliforms,0.34
2005/6/21,Fecal coliforms,0.11
2005/8/26,Fecal coliforms,0.45
2005/10/23,Fecal coliforms,0.2
2005/11/24,Fecal coliforms,3.6
2007/1/24,Fecal coliforms,0.092
2007/2/22,Fecal coliforms,0.14
2007/3/28,Fecal coliforms,0.39
2007/4/20,Fecal coliforms,16
2007/5/26,Fecal coliforms,16
2007/6/23,Fecal coliforms,1.6
2007/7/25,Fecal coliforms,1.4
2007/9/29,Fecal coliforms,0.78
2007/10/26,Fecal coliforms,0.25
2007/11/28,Fecal coliforms,4.9
2007/12/22,Fecal coliforms,7
2008/3/30,Fecal coliforms,22
2008/5/3,Fecal coliforms,240
2008/5/30,Fecal coliforms,0.4
2008/6/26,Fecal coliforms,92
2008/7/12,Fecal coliforms,54
2008/8/11,Fecal coliforms,54
2008/9/21,Fecal coliforms,16
2008/10/19,Fecal coliforms,35
2008/11/17,Fecal coliforms,4.6
2008/12/5,Fecal coliforms,0
2008/12/15,Fecal coliforms,0.2
2009/1/24,Fecal coliforms,1.3
2009/2/14,Fecal coliforms,1.3
2009/3/27,Fecal coliforms,17
2009/4/25,Fecal coliforms,13
2009/5/25,Fecal coliforms,0
2009/6/28,Fecal coliforms,0
2009/7/26,Fecal coliforms,0.02
2009/8/28,Fecal coliforms,230
2009/9/25,Fecal coliforms,2.3
2009/10/30,Fecal coliforms,0.045
2009/11/14,Fecal coliforms,0.045
2009/12/19,Fecal coliforms,0.2
1999/2/20,Fecal streptococci ,0.0045
1999/3/19,Fecal streptococci ,0.0045
1999/10/22,Fecal streptococci ,0.01
1999/11/20,Fecal streptococci ,1.1
1999/12/10,Fecal streptococci ,0.04
2000/1/15,Fecal streptococci ,0.07
2000/2/19,Fecal streptococci ,0.03
2000/3/19,Fecal streptococci ,0.005
2000/4/29,Fecal streptococci ,0.01
2000/5/27,Fecal streptococci ,0.002
2000/8/28,Fecal streptococci ,0.005
2000/9/24,Fecal streptococci ,0.02
2000/12/4,Fecal streptococci ,0.02
2001/2/18,Fecal streptococci ,0.01
2001/3/31,Fecal streptococci ,0.002
2001/5/28,Fecal streptococci ,0.004
2001/8/28,Fecal streptococci ,0.002
2001/9/23,Fecal streptococci ,0.02
2001/11/18,Fecal streptococci ,0.002
2002/10/12,Fecal streptococci ,0
2003/1/24,Fecal streptococci ,0.14
2003/2/28,Fecal streptococci ,0.11
2003/3/30,Fecal streptococci ,0.06
2003/4/26,Fecal streptococci ,0.02
2003/10/9,Fecal streptococci ,0.13
2004/2/14,Fecal streptococci ,0.07
2005/6/21,Fecal streptococci ,0.0045
2005/7/24,Fecal streptococci ,0.002
2005/8/26,Fecal streptococci ,0.0045
2005/11/24,Fecal streptococci ,1.6
2007/1/24,Fecal streptococci ,0.0078
2007/2/22,Fecal streptococci ,0.013
2007/3/28,Fecal streptococci ,9.2
2007/4/20,Fecal streptococci ,0.17
2007/5/26,Fecal streptococci ,0.92
2007/6/23,Fecal streptococci ,0.92
2007/7/25,Fecal streptococci ,0
2007/9/29,Fecal streptococci ,0.0018
2007/10/26,Fecal streptococci ,0
2007/11/28,Fecal streptococci ,9.2
2007/12/22,Fecal streptococci ,9.2
2008/3/30,Fecal streptococci ,16
2008/5/3,Fecal streptococci ,0.07
2008/5/30,Fecal streptococci ,0.006
2008/6/26,Fecal streptococci ,1.3
2008/7/12,Fecal streptococci ,0.17
2008/8/11,Fecal streptococci ,0.02
2008/9/21,Fecal streptococci ,0.022
2008/10/19,Fecal streptococci ,1.6
2008/11/17,Fecal streptococci ,0.023
2008/12/5,Fecal streptococci ,0
2008/12/15,Fecal streptococci ,0.023
2009/1/24,Fecal streptococci ,0.17
2009/2/14,Fecal streptococci ,0.17
2009/3/27,Fecal streptococci ,2.3
2009/4/25,Fecal streptococci ,24
2009/5/25,Fecal streptococci ,0
2009/6/28,Fecal streptococci ,0
2009/7/26,Fecal streptococci ,0.002
2009/8/28,Fecal streptococci ,2
2009/9/25,Fecal streptococci ,0.0045
2009/10/30,Fecal streptococci ,0.17
2009/11/14,Fecal streptococci ,0.013
2009/12/19,Fecal streptococci ,0.02
1998/10/29,Total coliforms,0.05
1998/11/28,Total coliforms,0.54
1998/12/19,Total coliforms,0
1999/1/27,Total coliforms,0.24
1999/2/20,Total coliforms,0.33
1999/3/19,Total coliforms,0.006
1999/4/23,Total coliforms,1.8
1999/5/27,Total coliforms,0.13
1999/6/22,Total coliforms,0.14
1999/10/22,Total coliforms,0.4
1999/11/20,Total coliforms,5.4
1999/12/10,Total coliforms,9.2
2000/1/15,Total coliforms,0.03
2000/2/19,Total coliforms,0.33
2000/3/19,Total coliforms,0.17
2000/4/29,Total coliforms,16
2000/5/27,Total coliforms,0.02
2000/7/28,Total coliforms,9.2
2000/8/28,Total coliforms,0.22
2000/9/24,Total coliforms,24
2000/10/18,Total coliforms,1.6
2000/11/24,Total coliforms,1.2
2000/12/4,Total coliforms,0.54
2001/2/18,Total coliforms,0.06
2001/3/31,Total coliforms,0.02
2001/4/29,Total coliforms,0.03
2001/5/28,Total coliforms,0.27
2001/6/21,Total coliforms,0.24
2001/8/28,Total coliforms,0.17
2001/9/23,Total coliforms,0.02
2001/11/18,Total coliforms,9.2
2002/10/12,Total coliforms,0.01
2003/1/24,Total coliforms,0.7
2003/2/28,Total coliforms,0.22
2003/3/30,Total coliforms,2.1
2003/4/26,Total coliforms,4.9
2003/10/9,Total coliforms,13
2004/2/14,Total coliforms,1.3
2005/6/21,Total coliforms,2.2
2005/8/26,Total coliforms,9.2
2005/10/23,Total coliforms,9.2
2005/11/24,Total coliforms,3.6
2007/1/24,Total coliforms,0.33
2007/2/22,Total coliforms,1.7
2007/3/28,Total coliforms,5.4
2007/4/20,Total coliforms,16
2007/5/26,Total coliforms,16
2007/6/23,Total coliforms,1.6
2007/7/25,Total coliforms,9.2
2007/9/29,Total coliforms,3.3
2007/10/26,Total coliforms,16
2007/11/28,Total coliforms,7
2007/12/22,Total coliforms,13
2008/3/30,Total coliforms,22
2008/5/3,Total coliforms,240
2008/5/30,Total coliforms,9.2
2008/6/26,Total coliforms,160
2008/7/12,Total coliforms,54
2008/8/11,Total coliforms,92
2008/9/21,Total coliforms,16
2008/10/19,Total coliforms,92
2008/11/17,Total coliforms,4.6
2008/12/5,Total coliforms,0
2008/12/15,Total coliforms,0.4
2009/1/24,Total coliforms,35
2009/2/14,Total coliforms,24
2009/3/27,Total coliforms,70
2009/4/25,Total coliforms,13
2009/5/25,Total coliforms,0.0045
2009/6/28,Total coliforms,0
2009/7/26,Total coliforms,0.23
2009/8/28,Total coliforms,780
2009/9/25,Total coliforms,2.3
2009/10/30,Total coliforms,0.45
2009/11/14,Total coliforms,1.3
2009/12/19,Total coliforms,2.3
