sampleTime,name,value
1998/1/31,Fecal coliforms,0
1998/2/20,Fecal coliforms,0
1998/3/19,Fecal coliforms,0
1998/4/17,Fecal coliforms,0.014433333
1998/5/20,Fecal coliforms,0
1998/6/28,Fecal coliforms,0.002766667
1998/7/23,Fecal coliforms,0
1998/8/23,Fecal coliforms,0.007833333
1998/9/27,Fecal coliforms,0
1998/10/30,Fecal coliforms,0.003933333
1998/11/26,Fecal coliforms,0.007333333
1998/12/18,Fecal coliforms,0.000636667
1999/1/30,Fecal coliforms,0.09
1999/2/18,Fecal coliforms,0.3226
1999/3/17,Fecal coliforms,0.173333333
1999/4/22,Fecal coliforms,0.103333333
1999/5/20,Fecal coliforms,0.833333333
1999/6/19,Fecal coliforms,0.03
1999/10/21,Fecal coliforms,0.02
1999/11/18,Fecal coliforms,5.906666667
1999/12/9,Fecal coliforms,5.8
2000/1/14,Fecal coliforms,0.83
2000/2/18,Fecal coliforms,1.56
2000/3/18,Fecal coliforms,0.156666667
2000/4/28,Fecal coliforms,0.02
2000/5/19,Fecal coliforms,5.233333333
2000/6/28,Fecal coliforms,7.165
2000/7/21,Fecal coliforms,54
2000/7/26,Fecal coliforms,54
2000/8/26,Fecal coliforms,0.016333333
2000/9/23,Fecal coliforms,2.45
2000/10/16,Fecal coliforms,0.0095
2000/11/18,Fecal coliforms,0.009
2001/2/17,Fecal coliforms,0.75
2001/3/31,Fecal coliforms,0.163333333
2001/4/27,Fecal coliforms,0.033333333
2001/5/27,Fecal coliforms,1.28
2001/6/19,Fecal coliforms,0.1
2001/7/7,Fecal coliforms,0.316666667
2001/8/26,Fecal coliforms,0.021666667
2001/9/22,Fecal coliforms,0.016666667
2001/11/22,Fecal coliforms,0.393333333
2002/10/10,Fecal coliforms,0.14
2003/1/17,Fecal coliforms,0.07
2003/1/29,Fecal coliforms,3.3
2003/2/3,Fecal coliforms,0.2
2003/2/28,Fecal coliforms,0.193333333
2003/3/19,Fecal coliforms,0.2
2003/3/29,Fecal coliforms,1.07
2003/4/20,Fecal coliforms,0.393333333
2003/4/27,Fecal coliforms,0.193333333
2003/7/6,Fecal coliforms,0.02
2003/8/16,Fecal coliforms,0.2
2003/10/8,Fecal coliforms,45.83333333
2003/11/19,Fecal coliforms,160
2003/12/14,Fecal coliforms,1.256666667
2004/1/22,Fecal coliforms,0.022266667
2004/2/13,Fecal coliforms,0.857666667
2004/3/12,Fecal coliforms,0.108
2004/4/12,Fecal coliforms,0.218333333
2004/11/21,Fecal coliforms,0.25
2005/6/13,Fecal coliforms,0.943333333
2005/8/18,Fecal coliforms,0.146666667
2005/10/10,Fecal coliforms,1.9
2005/11/19,Fecal coliforms,0.113333333
2007/1/18,Fecal coliforms,0.008666667
2007/2/16,Fecal coliforms,0.101666667
