sampleTime,name,value
2009/3/17,Total coliforms,1.6
2009/4/23,Total coliforms,54
2009/5/17,Total coliforms,54
2009/6/20,Total coliforms,350
2009/7/19,Total coliforms,2400
2009/8/17,Total coliforms,240
2009/9/18,Total coliforms,240
2009/11/20,Total coliforms,4600
2009/12/12,Total coliforms,35
2011/1/21,Total coliforms,16
2011/2/19,Total coliforms,1.95
2011/3/17,Total coliforms,3.5
2011/4/15,Total coliforms,3.5
2011/5/20,Total coliforms,1.1
2011/6/17,Total coliforms,5.4
2011/7/20,Total coliforms,5.4
2011/8/18,Total coliforms,5.4
2011/9/15,Total coliforms,1.4
2011/10/13,Total coliforms,280
2011/11/18,Total coliforms,360
2011/12/17,Total coliforms,445
