sampleTime,name,value
1998/1/26,Fecal coliforms,0
1998/2/24,Fecal coliforms,0
1998/3/21,Fecal coliforms,0
1998/4/18,Fecal coliforms,0.009
1998/5/26,Fecal coliforms,0
1998/6/29,Fecal coliforms,0.000776667
1998/7/26,Fecal coliforms,0
1998/8/25,Fecal coliforms,0.008466667
1998/9/20,Fecal coliforms,0
1998/10/23,Fecal coliforms,0.015666667
1998/11/20,Fecal coliforms,0
1998/12/17,Fecal coliforms,0.000633333
1999/2/26,Fecal coliforms,0.00725
1999/3/24,Fecal coliforms,0.0078
1999/4/23,Fecal coliforms,0.018
1999/5/28,Fecal coliforms,0.08
1999/6/23,Fecal coliforms,0.02225
1999/10/22,Fecal coliforms,1.153333333
1999/11/26,Fecal coliforms,0.173333333
1999/12/16,Fecal coliforms,2.366666667
2000/1/19,Fecal coliforms,1.576666667
2000/2/18,Fecal coliforms,0.35
2000/3/24,Fecal coliforms,0.009333333
2000/4/29,Fecal coliforms,0.008333333
2000/5/27,Fecal coliforms,0.014666667
2000/7/28,Fecal coliforms,0.1
2000/8/28,Fecal coliforms,0.0425
2000/9/23,Fecal coliforms,0.193333333
2000/10/18,Fecal coliforms,0.071
2001/2/24,Fecal coliforms,0.010666667
2001/3/25,Fecal coliforms,0.59
2001/4/29,Fecal coliforms,0.008
2001/5/27,Fecal coliforms,1.516666667
2001/6/21,Fecal coliforms,0.18
2001/8/28,Fecal coliforms,0.166
2001/9/25,Fecal coliforms,3.42
2001/11/23,Fecal coliforms,0.021333333
2001/12/21,Fecal coliforms,0.002
2002/10/12,Fecal coliforms,0.05
2003/1/24,Fecal coliforms,0.14
2003/2/21,Fecal coliforms,1.306666667
2003/3/21,Fecal coliforms,0.2
2003/10/25,Fecal coliforms,0.766666667
2004/2/19,Fecal coliforms,0.02
2005/6/12,Fecal coliforms,0.089333333
2005/8/12,Fecal coliforms,0.46
2005/10/14,Fecal coliforms,0.146666667
2005/11/11,Fecal coliforms,0.272666667
2007/1/11,Fecal coliforms,0.03
2007/2/8,Fecal coliforms,0
2007/3/15,Fecal coliforms,0.006666667
2007/4/12,Fecal coliforms,0.056666667
2007/5/10,Fecal coliforms,0.413333333
2007/6/9,Fecal coliforms,0.024666667
2007/7/7,Fecal coliforms,0.223333333
2007/9/30,Fecal coliforms,0.16
2007/10/13,Fecal coliforms,0.733333333
2007/11/21,Fecal coliforms,0.019333333
2007/12/13,Fecal coliforms,1.933333333
2008/1/10,Fecal coliforms,6.333333333
2008/3/2,Fecal coliforms,0.103333333
2008/4/14,Fecal coliforms,0.16
2008/5/9,Fecal coliforms,0.76
2008/6/15,Fecal coliforms,0.753333333
2008/7/12,Fecal coliforms,1.733333333
2008/8/8,Fecal coliforms,0.02
2008/9/7,Fecal coliforms,0.070333333
2008/10/12,Fecal coliforms,41.86666667
2008/11/7,Fecal coliforms,0.071666667
2008/12/12,Fecal coliforms,0.148333333
2009/1/9,Fecal coliforms,0.041
2009/2/13,Fecal coliforms,0.067
2009/3/13,Fecal coliforms,0.242666667
2009/4/17,Fecal coliforms,0.08
2009/5/8,Fecal coliforms,0.039333333
2009/6/12,Fecal coliforms,0.118666667
2009/7/11,Fecal coliforms,0.095333333
2009/8/8,Fecal coliforms,0.036666667
2009/9/9,Fecal coliforms,0.113333333
2009/9/27,Fecal coliforms,0.27
2009/10/10,Fecal coliforms,1.933333333
2009/11/13,Fecal coliforms,0.656666667
2009/12/5,Fecal coliforms,1.4
2010/2/7,Fecal coliforms,2.443333333
1999/10/22,Fecal streptococci ,0.0866
1999/11/26,Fecal streptococci ,0.03
1999/12/16,Fecal streptococci ,0.173333333
2000/1/19,Fecal streptococci ,0.02
2000/2/18,Fecal streptococci ,0.05
2000/3/24,Fecal streptococci ,0.006666667
2000/5/27,Fecal streptococci ,0.003
2000/7/28,Fecal streptococci ,0.047666667
2000/8/28,Fecal streptococci ,0.002
2000/9/23,Fecal streptococci ,0.005
2000/10/18,Fecal streptococci ,0.02
2000/11/25,Fecal streptococci ,0.016666667
2000/12/30,Fecal streptococci ,0.002
2001/2/24,Fecal streptococci ,0.004
2001/3/25,Fecal streptococci ,0.02
2001/5/27,Fecal streptococci ,0.007333333
2001/8/28,Fecal streptococci ,0.002
2001/11/23,Fecal streptococci ,0.003
2001/12/21,Fecal streptococci ,0.003
2002/10/12,Fecal streptococci ,0.002
2003/1/24,Fecal streptococci ,0.046666667
2003/2/21,Fecal streptococci ,0.766
2003/3/21,Fecal streptococci ,0.019333333
2003/4/25,Fecal streptococci ,0.02
2003/10/25,Fecal streptococci ,0.02
2004/2/19,Fecal streptococci ,0.0105
2005/6/12,Fecal streptococci ,0.002
2005/7/8,Fecal streptococci ,0.002
2005/8/12,Fecal streptococci ,0.002
2005/10/14,Fecal streptococci ,0.002
2005/11/11,Fecal streptococci ,0.002833333
2007/1/11,Fecal streptococci ,0.005666667
2007/2/8,Fecal streptococci ,0
2007/3/15,Fecal streptococci ,0.006366667
2007/4/12,Fecal streptococci ,0
2007/5/10,Fecal streptococci ,0.0072
2007/6/9,Fecal streptococci ,0
2007/7/7,Fecal streptococci ,0.002833333
2007/9/30,Fecal streptococci ,0.002
2007/10/13,Fecal streptococci ,0
2007/11/21,Fecal streptococci ,0.011
2007/12/13,Fecal streptococci ,0.566666667
2008/1/10,Fecal streptococci ,0.603333333
2008/3/2,Fecal streptococci ,0.104
2008/4/14,Fecal streptococci ,0.019333333
2008/5/9,Fecal streptococci ,0.027666667
2008/6/15,Fecal streptococci ,0.012266667
2008/7/12,Fecal streptococci ,0.041
2008/8/8,Fecal streptococci ,0.000666667
2008/9/7,Fecal streptococci ,0.035
2008/10/12,Fecal streptococci ,0.000666667
2008/11/7,Fecal streptococci ,0.000666667
2008/12/12,Fecal streptococci ,0.004766667
2009/1/9,Fecal streptococci ,0.019333333
2009/2/13,Fecal streptococci ,0.0146
2009/3/13,Fecal streptococci ,1.813333333
2009/4/17,Fecal streptococci ,0.016333333
2009/5/8,Fecal streptococci ,0.002
2009/6/12,Fecal streptococci ,0.002
2009/7/11,Fecal streptococci ,0.002
2009/8/8,Fecal streptococci ,0.002
2009/9/9,Fecal streptococci ,0.002
2009/9/27,Fecal streptococci ,0.0049
2009/10/10,Fecal streptococci ,0.011333333
2009/11/13,Fecal streptococci ,0.152666667
2009/12/5,Fecal streptococci ,0.0067
2010/2/7,Fecal streptococci ,0.035
1998/1/26,Total coliforms,0
1998/2/24,Total coliforms,0
1998/3/21,Total coliforms,0
1998/4/18,Total coliforms,0.063333333
1998/5/26,Total coliforms,0
1998/6/29,Total coliforms,0.006433333
1998/7/26,Total coliforms,0
1998/8/25,Total coliforms,0.11
1998/9/20,Total coliforms,0
1998/10/23,Total coliforms,0.156666667
1998/11/20,Total coliforms,0
1998/12/17,Total coliforms,0.013333333
1999/2/26,Total coliforms,0.026666667
1999/3/24,Total coliforms,0.02
1999/4/23,Total coliforms,0.085
1999/5/28,Total coliforms,6.223333333
1999/6/23,Total coliforms,0.2215
1999/10/22,Total coliforms,1.706666667
1999/11/26,Total coliforms,0.173333333
1999/12/16,Total coliforms,2.366666667
2000/1/19,Total coliforms,6.343333333
2000/2/18,Total coliforms,1.433333333
2000/3/24,Total coliforms,0.010666667
2000/4/29,Total coliforms,0.273333333
2000/5/27,Total coliforms,0.05
2000/7/28,Total coliforms,0.146666667
2000/8/28,Total coliforms,0.146
2000/9/23,Total coliforms,12.76
2000/10/18,Total coliforms,1.76
2000/11/25,Total coliforms,0.633333333
2000/12/30,Total coliforms,0.02
