sampleTime,name,value
1998/4/18,Fecal coliforms,0
1998/6/30,Fecal coliforms,0
1998/8/26,Fecal coliforms,0
1998/10/24,Fecal coliforms,0.017133333
1998/11/20,Fecal coliforms,0.000466667
1998/12/10,Fecal coliforms,0.0028
1999/2/27,Fecal coliforms,0.01
1999/3/25,Fecal coliforms,0.04
1999/5/26,Fecal coliforms,0.0055
1999/6/25,Fecal coliforms,0.0078
1999/7/26,Fecal coliforms,0.008
1999/10/23,Fecal coliforms,0.743333333
1999/11/26,Fecal coliforms,0.14
1999/12/15,Fecal coliforms,2.4
2000/1/19,Fecal coliforms,1.443333333
2000/2/19,Fecal coliforms,0.173333333
2000/3/23,Fecal coliforms,0.002333333
2000/4/29,Fecal coliforms,0.233333333
2000/5/26,Fecal coliforms,0.006333333
2000/7/29,Fecal coliforms,1.526666667
2000/8/29,Fecal coliforms,0.069
2000/9/21,Fecal coliforms,0.153333333
2000/10/19,Fecal coliforms,0.046666667
2001/2/22,Fecal coliforms,0.014
2001/3/22,Fecal coliforms,0.008666667
2001/4/30,Fecal coliforms,0.016666667
2001/5/27,Fecal coliforms,0.28
2001/6/21,Fecal coliforms,0.12
2001/8/29,Fecal coliforms,0.015333333
2001/9/25,Fecal coliforms,0.363333333
2001/11/23,Fecal coliforms,0.017333333
2001/12/21,Fecal coliforms,0.004666667
2002/10/12,Fecal coliforms,0.24
2003/1/24,Fecal coliforms,0.106
2003/2/21,Fecal coliforms,0.313666667
2003/3/20,Fecal coliforms,0.206666667
2003/10/23,Fecal coliforms,1.75
2004/2/19,Fecal coliforms,0.04
2005/6/12,Fecal coliforms,0.206666667
2005/8/12,Fecal coliforms,0.196666667
2005/10/14,Fecal coliforms,1.903333333
2005/11/11,Fecal coliforms,1.72
2007/1/11,Fecal coliforms,0.03
2007/2/15,Fecal coliforms,0.012666667
2007/3/15,Fecal coliforms,0.006666667
2007/4/12,Fecal coliforms,0
2007/5/10,Fecal coliforms,6.52
2007/6/7,Fecal coliforms,0.024
2007/7/7,Fecal coliforms,0.136666667
2007/9/6,Fecal coliforms,0.116
2007/10/13,Fecal coliforms,6.133333333
2007/11/10,Fecal coliforms,0.2
2007/12/8,Fecal coliforms,2.733333333
2008/1/12,Fecal coliforms,0.386666667
2008/2/23,Fecal coliforms,0.15
2008/3/14,Fecal coliforms,0.956666667
2008/4/11,Fecal coliforms,0.973666667
2008/5/9,Fecal coliforms,0.05
2008/6/13,Fecal coliforms,0.17
2008/7/11,Fecal coliforms,5.533333333
2008/8/8,Fecal coliforms,0.416666667
2008/9/6,Fecal coliforms,0.176
2008/10/12,Fecal coliforms,35.33333333
2008/11/7,Fecal coliforms,0.021666667
2008/12/12,Fecal coliforms,0.148333333
2009/1/9,Fecal coliforms,0.088333333
2009/2/13,Fecal coliforms,0.223333333
2009/3/13,Fecal coliforms,1.56
2009/4/17,Fecal coliforms,0.128666667
2009/5/8,Fecal coliforms,0.48
2009/6/12,Fecal coliforms,0.676666667
2009/7/11,Fecal coliforms,0.586666667
2009/8/8,Fecal coliforms,0.286666667
2009/9/7,Fecal coliforms,0.041666667
2009/9/28,Fecal coliforms,0.253333333
2009/10/8,Fecal coliforms,0.373333333
2009/11/13,Fecal coliforms,1.6
2009/12/5,Fecal coliforms,0.586666667
2010/2/7,Fecal coliforms,0.136
1999/2/27,Fecal streptococci ,0.00325
1999/3/25,Fecal streptococci ,0.0045
1999/5/26,Fecal streptococci ,0.005
1999/7/26,Fecal streptococci ,0.002
1999/10/23,Fecal streptococci ,0.01
1999/11/26,Fecal streptococci ,0.02
1999/12/15,Fecal streptococci ,0.4
2000/1/19,Fecal streptococci ,0.126666667
2000/2/19,Fecal streptococci ,0.19
2000/3/23,Fecal streptococci ,0.006
2000/4/29,Fecal streptococci ,0.006
2000/5/26,Fecal streptococci ,0.004
2000/7/29,Fecal streptococci ,0.005
2000/11/23,Fecal streptococci ,0.004
2000/12/30,Fecal streptococci ,0.002
2001/2/22,Fecal streptococci ,0.004
2001/3/22,Fecal streptococci ,0.002
2001/5/27,Fecal streptococci ,0.009333333
2001/6/21,Fecal streptococci ,0.0035
2001/8/29,Fecal streptococci ,0.005
2001/11/23,Fecal streptococci ,0.027333333
2001/12/21,Fecal streptococci ,0.002
2002/10/12,Fecal streptococci ,0.002
2003/1/24,Fecal streptococci ,0.082666667
2003/2/21,Fecal streptococci ,0.058333333
2003/3/20,Fecal streptococci ,0.028333333
2003/4/26,Fecal streptococci ,0.02
2003/10/23,Fecal streptococci ,0.02
2004/2/19,Fecal streptococci ,0.033
2005/6/12,Fecal streptococci ,0.002
2005/7/8,Fecal streptococci ,0.002
2005/8/12,Fecal streptococci ,0.002
2005/10/14,Fecal streptococci ,0.002
2005/11/11,Fecal streptococci ,0.002766667
2007/1/11,Fecal streptococci ,0.005666667
2007/2/15,Fecal streptococci ,0.027333333
2007/3/15,Fecal streptococci ,0.008933333
2007/4/12,Fecal streptococci ,0.0021
2007/5/10,Fecal streptococci ,0.010666667
2007/6/7,Fecal streptococci ,0.000666667
2007/7/7,Fecal streptococci ,0.015666667
2007/9/6,Fecal streptococci ,0.0076
2007/10/13,Fecal streptococci ,0.003366667
