sampleTime,name,value
1998/4/17,Fecal coliforms,0
1998/6/29,Fecal coliforms,0
1998/8/24,Fecal coliforms,0
1998/10/30,Fecal coliforms,0.05
1998/11/28,Fecal coliforms,0.06
1998/12/19,Fecal coliforms,0
1999/1/27,Fecal coliforms,0.006
1999/2/20,Fecal coliforms,0.13
1999/4/23,Fecal coliforms,0.004
1999/5/27,Fecal coliforms,0.01
1999/10/21,Fecal coliforms,0.24
1999/11/20,Fecal coliforms,0.81
1999/12/10,Fecal coliforms,0.7
2000/1/15,Fecal coliforms,0.54
2000/2/19,Fecal coliforms,3.6
2000/3/19,Fecal coliforms,0.26
2000/4/28,Fecal coliforms,0.01
2000/5/20,Fecal coliforms,0.03
2000/7/27,Fecal coliforms,0.92
2000/9/24,Fecal coliforms,0.02
2000/10/17,Fecal coliforms,0.002
2000/11/23,Fecal coliforms,0.004
2001/2/18,Fecal coliforms,0.04
2001/3/31,Fecal coliforms,0.002
2001/4/29,Fecal coliforms,0.02
2001/5/28,Fecal coliforms,1.3
2001/6/21,Fecal coliforms,0.006
2001/8/28,Fecal coliforms,0.02
2001/9/23,Fecal coliforms,0.11
2001/11/18,Fecal coliforms,0.02
2002/10/12,Fecal coliforms,0.04
2003/1/24,Fecal coliforms,0.61
2003/2/28,Fecal coliforms,0.02
2003/3/30,Fecal coliforms,0.2
2003/10/9,Fecal coliforms,0.02
2005/6/21,Fecal coliforms,0.98
2005/8/26,Fecal coliforms,0.28
2005/10/23,Fecal coliforms,0.14
2005/11/24,Fecal coliforms,0.16
2007/1/24,Fecal coliforms,0.04
2007/2/22,Fecal coliforms,0.04
2007/3/28,Fecal coliforms,0.24
2007/4/20,Fecal coliforms,2.4
2007/5/26,Fecal coliforms,1.7
2007/6/23,Fecal coliforms,1.3
2007/7/25,Fecal coliforms,0.47
2007/9/29,Fecal coliforms,1.3
2007/10/26,Fecal coliforms,0.43
2007/11/28,Fecal coliforms,13
2007/12/22,Fecal coliforms,13
2008/3/30,Fecal coliforms,22
2008/5/3,Fecal coliforms,54
2008/5/30,Fecal coliforms,4.1
2008/6/26,Fecal coliforms,92
2008/7/12,Fecal coliforms,92
2008/8/11,Fecal coliforms,11
2008/9/21,Fecal coliforms,16
2008/10/19,Fecal coliforms,7
2008/11/17,Fecal coliforms,54
2008/12/15,Fecal coliforms,1.7
2009/1/24,Fecal coliforms,7
2009/2/14,Fecal coliforms,7
2009/3/27,Fecal coliforms,22
2009/4/25,Fecal coliforms,70
2009/5/25,Fecal coliforms,0
2009/6/28,Fecal coliforms,0
2009/7/26,Fecal coliforms,0.02
2009/8/28,Fecal coliforms,230
2009/9/24,Fecal coliforms,4.5
2009/10/30,Fecal coliforms,6
2009/11/14,Fecal coliforms,240
2009/12/19,Fecal coliforms,130
1999/2/20,Fecal streptococci ,0.04
1999/3/19,Fecal streptococci ,0.002
1999/10/21,Fecal streptococci ,0.01
1999/11/20,Fecal streptococci ,16
1999/12/10,Fecal streptococci ,0.06
2000/1/15,Fecal streptococci ,0.03
2000/2/19,Fecal streptococci ,1.6
2000/3/19,Fecal streptococci ,0.08
2000/5/20,Fecal streptococci ,0.35
2000/9/24,Fecal streptococci ,0.06
2000/12/4,Fecal streptococci ,1.6
2001/2/18,Fecal streptococci ,0.01
