sampleTime,name,value
2009/1/15,Calcium,47.4
2009/2/13,Calcium,25.9
2009/3/19,Calcium,34.6
2009/4/17,Calcium,38.2
2010/1/16,Calcium,31.5
2010/2/20,Calcium,31.1
2010/3/19,Calcium,30.9
2010/4/16,Calcium,39.2
2010/5/20,Calcium,29.9
2010/6/17,Calcium,27.3
2010/7/16,Calcium,33.6
2010/8/12,Calcium,40.4
2010/9/17,Calcium,37.3
2010/10/22,Calcium,42.7
2010/11/19,Calcium,43.2
2010/12/11,Calcium,40.1
2011/1/21,Calcium,34.6
2011/2/18,Calcium,31.5
2011/3/18,Calcium,34.6
2011/4/16,Calcium,42.5
2011/5/13,Calcium,35.1
2011/6/11,Calcium,33.8
2011/6/17,Calcium,31.3
2011/7/14,Calcium,31.3
2011/8/11,Calcium,37
2011/9/14,Calcium,32.1
2011/10/13,Calcium,28.4
2011/11/11,Calcium,41.1
2011/12/10,Calcium,44.4
2012/1/20,Calcium,34.1
2012/2/17,Calcium,28.1
2012/3/17,Calcium,34.1
2012/4/21,Calcium,36
2012/5/19,Calcium,31.3
2012/6/16,Calcium,33.9
2012/7/21,Calcium,33.2
2012/8/16,Calcium,33.7
2012/9/21,Calcium,27
2012/10/21,Calcium,36.1
2012/11/16,Calcium,45.5
2012/12/10,Calcium,34.7
2013/1/17,Calcium,45.2
2013/2/15,Calcium,34.2
2013/3/14,Calcium,48.4
2013/4/12,Calcium,41.1
2013/5/16,Calcium,35.3
2013/6/14,Calcium,39.4
2013/7/18,Calcium,42.1
2013/8/16,Calcium,32.1
2013/9/21,Calcium,33
2013/10/18,Calcium,46.8
2013/11/15,Calcium,44.1
2013/12/13,Calcium,49.9
2014/1/16,Calcium,47.3
2014/2/15,Calcium,41
2014/3/19,Calcium,44.8
2014/4/18,Calcium,43.3
2014/5/16,Calcium,26.3
2014/6/20,Calcium,24.5
2014/7/18,Calcium,39.6
2014/8/16,Calcium,39.9
2014/9/19,Calcium,54.2
2014/10/17,Calcium,41.5
2014/11/21,Calcium,47.4
2014/12/12,Calcium,49.5
2015/1/17,Calcium,49.8
2015/2/21,Calcium,39.3
2015/3/13,Calcium,36.4
2015/4/18,Calcium,36.9
2015/5/15,Calcium,41.9
2015/6/20,Calcium,32.5
2015/7/16,Calcium,33.2
2015/8/22,Calcium,40.1
2015/9/18,Calcium,40.4
2015/10/16,Calcium,44.2
2015/11/20,Calcium,32.9
2015/12/9,Calcium,41.9
2016/1/15,Calcium,37.9
2016/2/12,Calcium,35.5
2016/3/12,Calcium,35.6
2016/4/16,Calcium,31.5
2016/5/13,Calcium,27
2016/6/11,Calcium,35.6
2016/7/16,Calcium,33.2
2016/8/20,Calcium,25.9
2016/9/16,Calcium,31.3
2016/10/22,Calcium,27.6
2016/11/19,Calcium,30.9
2016/12/10,Calcium,30.9
2014/1/16,Potassium,4
2014/4/18,Potassium,2.6
2014/6/20,Potassium,2.4
2014/8/16,Potassium,3.4
2014/10/17,Potassium,4
2014/12/12,Potassium,4.2
2015/2/21,Potassium,2.6
2015/4/18,Potassium,2.1
2015/6/20,Potassium,3.2
2015/8/22,Potassium,3.3
2015/10/16,Potassium,4
2015/12/9,Potassium,3.1
2016/2/12,Potassium,2.3
2016/4/16,Potassium,2.6
2016/6/11,Potassium,2.6
2016/8/20,Potassium,2.2
2016/10/22,Potassium,2.6
2016/12/10,Potassium,2.5
2009/1/15,Sodium,10.9
2009/2/13,Sodium,5.2
2009/3/19,Sodium,6.2
2009/4/17,Sodium,8
2014/1/16,Sodium,16.5
2014/4/18,Sodium,9.2
2014/6/20,Sodium,5.7
2014/8/16,Sodium,12
2014/10/17,Sodium,13.8
2014/12/12,Sodium,19.5
2015/2/21,Sodium,8.6
2015/4/18,Sodium,6.5
2015/6/20,Sodium,6.7
2015/8/22,Sodium,12.8
2015/10/16,Sodium,14.8
2015/12/9,Sodium,12.4
2016/2/12,Sodium,8.3
2016/4/16,Sodium,9
2016/6/11,Sodium,8.7
2016/8/20,Sodium,5.9
2016/10/22,Sodium,8.5
2016/12/10,Sodium,7.7
