sampleTime,name,value
1998/1/11,Calcium,52
1998/2/15,Calcium,56
1998/3/12,Calcium,68
1998/4/11,Calcium,50.5
1998/5/9,Calcium,48.8
1998/6/6,Calcium,53.5
1998/7/11,Calcium,46.1
1998/8/8,Calcium,48.5
1998/9/5,Calcium,48
1998/10/3,Calcium,48.5
1998/11/7,Calcium,50
1998/12/5,Calcium,62
1999/1/9,Calcium,57.33333333
1999/2/11,Calcium,62.03333333
1999/3/11,Calcium,59.04333333
1999/4/16,Calcium,58
1999/5/13,Calcium,46.86666667
1999/6/6,Calcium,42
1999/7/22,Calcium,44.5
1999/8/19,Calcium,55
1999/9/16,Calcium,56.2
1999/10/10,Calcium,49
1999/11/5,Calcium,43.35
1999/12/9,Calcium,53.85
2000/1/14,Calcium,54.8
2000/2/10,Calcium,60.53333333
2000/3/10,Calcium,62.06666667
2000/4/14,Calcium,59.76666667
2000/5/12,Calcium,52.86666667
2000/6/9,Calcium,53.2
2000/7/14,Calcium,53.1
2000/8/17,Calcium,52.33333333
2000/9/8,Calcium,49.3
2000/10/6,Calcium,52.73333333
2000/11/10,Calcium,55.13333333
2000/12/8,Calcium,62.1
2001/1/20,Calcium,50.66666667
2001/3/10,Calcium,48
2001/4/19,Calcium,60.66666667
2001/5/4,Calcium,48
2001/6/6,Calcium,53.33333333
2001/7/27,Calcium,56.36666667
2001/8/4,Calcium,50.33333333
2001/9/14,Calcium,54
2001/10/12,Calcium,58.63333333
2001/12/7,Calcium,63.4
2002/2/15,Calcium,53.9
2002/2/16,Calcium,53.1
2002/2/17,Calcium,50.65
2002/3/21,Calcium,44.35333333
2002/4/25,Calcium,41.2
2002/5/9,Calcium,41.46666667
2002/5/23,Calcium,41.7
2002/6/13,Calcium,58.6
2002/6/27,Calcium,42.76666667
2002/7/12,Calcium,42.23333333
2002/7/25,Calcium,40.16666667
2002/8/8,Calcium,41.83333333
2002/8/22,Calcium,41.2
2002/9/12,Calcium,46.12
2002/9/19,Calcium,45.46666667
2002/9/27,Calcium,49
2002/10/10,Calcium,50.8
2002/10/24,Calcium,47.6
2002/11/7,Calcium,50.63333333
