sampleTime,name,value
1998/10/29,Calcium,65
1998/11/28,Calcium,77.81
1998/12/19,Calcium,65
1999/1/27,Calcium,70.03
1999/2/20,Calcium,66.14
1999/3/19,Calcium,66.14
1999/4/23,Calcium,66
1999/5/27,Calcium,72.1
1999/6/22,Calcium,58
1999/7/24,Calcium,78.5
1999/8/30,Calcium,61
1999/9/18,Calcium,119
1999/10/22,Calcium,66
1999/11/20,Calcium,152.4
1999/12/10,Calcium,153.2
2000/1/15,Calcium,123.6
2000/2/19,Calcium,106.6
2000/3/19,Calcium,111.4
2000/4/29,Calcium,79
2000/5/27,Calcium,80.5
2000/6/26,Calcium,69.1
2000/7/28,Calcium,59.5
2000/8/28,Calcium,65
2000/9/24,Calcium,55.4
2000/10/18,Calcium,65
2000/11/24,Calcium,127
2000/12/4,Calcium,73.9
2001/1/17,Calcium,83.3
2001/2/18,Calcium,89
2001/3/31,Calcium,83.2
2001/4/29,Calcium,68
2001/5/28,Calcium,79.3
2001/6/21,Calcium,58
2001/7/28,Calcium,58.9
2001/8/28,Calcium,64
2001/9/23,Calcium,81.7
2001/11/18,Calcium,53.1
2002/1/24,Calcium,95
2002/1/25,Calcium,96
2002/1/26,Calcium,95
2002/2/2,Calcium,36.8
2002/3/29,Calcium,73.5
2002/4/20,Calcium,58
2002/5/18,Calcium,65.5
2002/6/22,Calcium,66.7
2002/7/26,Calcium,62.8
2002/8/22,Calcium,47.1
2002/9/12,Calcium,43.2
2002/10/12,Calcium,62
2002/10/26,Calcium,55
2002/12/15,Calcium,48.1
2003/1/24,Calcium,44
2003/2/28,Calcium,64.1
2003/3/30,Calcium,56.1
2003/4/26,Calcium,76.3
2003/5/22,Calcium,48.2
2003/6/28,Calcium,19.4
2003/7/12,Calcium,46.6
2003/8/20,Calcium,65.8
2003/9/16,Calcium,55
2003/10/9,Calcium,28.3
2003/11/22,Calcium,68.8
2003/12/19,Calcium,70
2004/1/23,Calcium,81.7
2004/2/14,Calcium,19.4
2004/3/14,Calcium,50.5
2004/4/16,Calcium,32
2004/5/30,Calcium,58.3
2004/6/19,Calcium,31.4
2004/7/2,Calcium,51
2004/8/14,Calcium,27.6
2004/9/4,Calcium,19.8
2004/10/21,Calcium,55
2004/12/3,Calcium,43.2
2005/1/22,Calcium,64.699997
2005/2/20,Calcium,60.700001
2005/3/24,Calcium,56.099998
2005/4/24,Calcium,52.099998
2005/5/29,Calcium,55
2005/6/17,Calcium,48
2005/7/24,Calcium,24
2005/8/14,Calcium,36
2005/9/24,Calcium,52
2005/10/23,Calcium,92.800003
2005/11/24,Calcium,63.200001
2005/12/22,Calcium,95
2006/1/28,Calcium,69.3
2006/2/25,Calcium,77
2006/3/23,Calcium,61
2006/4/27,Calcium,60.7
2006/5/31,Calcium,57.8
2006/6/25,Calcium,71.7
2006/7/16,Calcium,45.9
2006/8/13,Calcium,58.4
2006/9/22,Calcium,64.6
2006/10/6,Calcium,60.3
2006/11/22,Calcium,72.1
2006/12/13,Calcium,80.1
2007/1/24,Calcium,72
2007/2/22,Calcium,56.1
2007/3/28,Calcium,56.1
2007/4/20,Calcium,56.1
2007/5/26,Calcium,96.2
2007/6/23,Calcium,56.1
2007/7/22,Calcium,52
2007/8/25,Calcium,46.6
2007/9/29,Calcium,54.5
2007/10/26,Calcium,46.6
2007/11/28,Calcium,54.4
2007/12/22,Calcium,70
2008/2/3,Calcium,54.4
2008/3/30,Calcium,50.58
2008/5/3,Calcium,58.4
2008/5/30,Calcium,52.6
2008/6/26,Calcium,51.8
2008/7/12,Calcium,62
2008/8/11,Calcium,47.15
2008/9/21,Calcium,66.79
2008/10/19,Calcium,56.11
2008/11/17,Calcium,56.1
2008/12/5,Calcium,60.12
2008/12/15,Calcium,56.11
2009/1/24,Calcium,56.11
2009/2/14,Calcium,60.12
2009/3/27,Calcium,48.82
2009/4/25,Calcium,56.9
2009/5/25,Calcium,49.62
2009/6/28,Calcium,53.43
2009/7/26,Calcium,45.8
2009/8/28,Calcium,44.99
2009/9/24,Calcium,44.99
2009/10/30,Calcium,45.8
2009/11/14,Calcium,30.53
2009/12/19,Calcium,41.99
2010/1/24,Calcium,49.62
2010/2/14,Calcium,76.34
2010/3/20,Calcium,68.7
2010/4/18,Calcium,55.5
2010/5/22,Calcium,50.8
2010/6/13,Calcium,50.8
2010/7/22,Calcium,50.8
2010/8/28,Calcium,52
2010/9/30,Calcium,55.02
2010/10/29,Calcium,70.72
2010/11/27,Calcium,66.82
2010/12/9,Calcium,58.94
2011/1/30,Calcium,66.79
2011/6/29,Calcium,59.06
