sampleTime,name,value
1998/1/31,Calcium,53.76666667
1998/2/20,Calcium,62.58666667
1998/3/19,Calcium,55.09333333
1998/4/17,Calcium,54
1998/5/20,Calcium,60.30666667
1998/6/28,Calcium,55.66666667
1998/7/23,Calcium,58.60333333
1998/8/23,Calcium,49
1998/9/27,Calcium,46.33666667
1998/10/30,Calcium,58.33333333
1998/11/26,Calcium,57.71
1998/12/18,Calcium,58.33333333
1999/1/30,Calcium,64.84333333
1999/2/18,Calcium,67.15333333
1999/3/17,Calcium,64.84333333
1999/4/22,Calcium,57
1999/5/20,Calcium,52.7
1999/6/19,Calcium,49.33333333
1999/7/22,Calcium,50.9
1999/8/28,Calcium,54.33333333
1999/9/16,Calcium,57.53333333
1999/10/21,Calcium,54.66666667
1999/11/18,Calcium,62.43333333
1999/12/9,Calcium,58.9
2000/1/14,Calcium,58.26666667
2000/2/18,Calcium,73.86666667
2000/3/18,Calcium,68.63333333
2000/4/28,Calcium,56.66666667
2000/5/19,Calcium,47.23333333
2000/6/28,Calcium,56.33333333
2000/7/21,Calcium,47.6
2000/8/26,Calcium,48.33333333
2000/9/23,Calcium,49.7
2000/10/16,Calcium,54.33333333
2000/11/18,Calcium,61.1
2000/12/3,Calcium,49.2
2001/1/16,Calcium,55.33333333
2001/2/17,Calcium,76.93333333
2001/3/31,Calcium,58.16666667
2001/4/27,Calcium,56.33333333
2001/5/27,Calcium,56.83333333
2001/6/19,Calcium,54.33333333
2001/7/7,Calcium,57
2001/8/26,Calcium,51.33333333
2001/9/22,Calcium,55.7
2001/11/22,Calcium,66.76666667
2002/2/1,Calcium,43.53333333
2002/2/18,Calcium,64.8
2002/3/16,Calcium,55.43333333
2002/3/31,Calcium,54.16666667
2002/4/25,Calcium,49.2
2002/5/11,Calcium,53.8
2002/5/25,Calcium,66.76666667
2002/6/12,Calcium,44.9
2002/6/21,Calcium,50.03333333
2002/7/13,Calcium,44.5
2002/7/24,Calcium,40.53333333
2002/8/10,Calcium,44.13333333
2002/8/21,Calcium,49.7
2002/9/13,Calcium,53.66666667
2002/9/25,Calcium,49.7
2002/10/10,Calcium,50
2002/10/24,Calcium,57.6
2002/10/30,Calcium,52.33333333
2002/11/7,Calcium,44.5
2002/12/6,Calcium,65.43333333
2002/12/13,Calcium,50.66666667
2003/1/17,Calcium,56.1
2003/2/3,Calcium,52.1
2003/2/28,Calcium,45.33333333
2003/3/19,Calcium,62.33333333
2003/3/29,Calcium,57.36666667
2003/4/20,Calcium,44.5
2003/4/27,Calcium,63.56666667
2003/5/18,Calcium,60.56
2003/5/25,Calcium,55.6
2003/6/13,Calcium,46.96666667
2003/6/21,Calcium,51.8
2003/7/6,Calcium,47.9
2003/7/10,Calcium,47.9
2003/8/16,Calcium,47.77
2003/9/13,Calcium,53.66666667
2003/10/8,Calcium,39.06666667
2003/10/12,Calcium,47.16666667
2003/11/19,Calcium,64.73333333
2003/12/14,Calcium,36.3
2003/12/21,Calcium,33.7
2004/1/22,Calcium,73.9
2004/2/13,Calcium,36.3
2004/3/12,Calcium,54.4
2004/3/21,Calcium,42.8
2004/4/12,Calcium,38.86666667
2004/5/16,Calcium,19.4
2004/6/18,Calcium,31.4
2004/7/12,Calcium,33.93333333
2004/8/13,Calcium,39.93333333
2004/9/9,Calcium,31.7
2004/10/11,Calcium,38.53333333
2004/11/21,Calcium,45.83
2004/12/5,Calcium,40.53333333
2005/1/27,Calcium,45.80000067
2005/2/21,Calcium,47.16666667
2005/3/17,Calcium,32
2005/4/11,Calcium,45.416668
2005/5/16,Calcium,54.93333467
2005/6/13,Calcium,48.39999867
2005/7/23,Calcium,36
2005/8/18,Calcium,41.33333333
2005/9/22,Calcium,44
2005/10/10,Calcium,53.39999867
2005/11/19,Calcium,49.19999933
2005/12/5,Calcium,60.593334
2006/1/19,Calcium,37.2
2006/2/24,Calcium,52.6
2006/3/17,Calcium,38.1
2006/4/23,Calcium,44.5
2006/5/25,Calcium,44.46666667
2006/6/18,Calcium,50.9
2006/7/9,Calcium,63.2
2006/8/18,Calcium,44.5
2006/9/2,Calcium,54.56666667
2006/10/8,Calcium,61.73333333
2006/11/15,Calcium,64.1
2006/12/10,Calcium,56.1
2007/1/18,Calcium,56.1
2007/2/16,Calcium,56
2007/3/23,Calcium,69.43333333
2007/4/12,Calcium,42.76666667
2007/5/18,Calcium,45.33333333
2007/6/21,Calcium,58.7
2007/7/7,Calcium,40
2007/8/4,Calcium,40.2
2007/9/12,Calcium,47.98666667
2007/10/7,Calcium,50.7
2007/11/23,Calcium,66.1
2007/12/20,Calcium,66.1
2008/1/18,Calcium,70
2008/2/15,Calcium,54.4
2008/3/17,Calcium,49.28333333
2008/4/28,Calcium,51.76666667
2008/5/18,Calcium,45.88
2008/5/31,Calcium,56.6
2008/6/12,Calcium,49.73333333
2008/7/7,Calcium,56.3
2008/8/23,Calcium,48.46
2008/9/11,Calcium,49.76
2008/10/17,Calcium,54.77333333
2008/11/15,Calcium,50.73333333
2009/1/11,Calcium,56.11
2009/2/8,Calcium,52.1
2009/3/20,Calcium,52.89
2009/4/18,Calcium,50.18333333
2009/5/21,Calcium,52.89666667
2009/6/14,Calcium,48.33333333
2009/7/9,Calcium,45.62
2009/8/23,Calcium,50.44333333
2009/9/22,Calcium,46.34666667
2009/10/19,Calcium,52.9
2009/11/16,Calcium,57.25333333
2009/12/5,Calcium,49.62
2010/1/17,Calcium,48.34666667
2010/2/20,Calcium,66.15666667
2010/3/18,Calcium,49.61666667
2010/4/16,Calcium,67.45
2010/5/9,Calcium,65.12666667
2010/6/17,Calcium,61.22
2010/7/15,Calcium,52.1
2010/8/11,Calcium,50.8
2010/9/4,Calcium,47.70333333
2010/10/13,Calcium,53.7
2010/11/13,Calcium,45.84
2010/12/11,Calcium,53.7
2011/1/14,Calcium,47.15
2011/5/22,Calcium,18.48
2011/6/18,Calcium,51.96
2011/7/17,Calcium,52.02666667
2011/8/3,Calcium,50.26
2011/9/28,Calcium,54.22666667
2011/10/17,Calcium,58.19666667
2011/11/11,Calcium,52.90333333
2011/12/3,Calcium,54.22666667
2012/1/11,Calcium,51.58333333
2012/2/5,Calcium,56.87333333
2012/3/15,Calcium,56.87333333
2012/4/15,Calcium,48.81333333
2012/5/4,Calcium,55.23666667
2012/6/1,Calcium,56.52333333
2012/7/2,Calcium,55.23666667
2012/8/9,Calcium,56.26666667
2012/9/1,Calcium,56.26666667
2012/10/5,Calcium,57.76666667
2012/11/1,Calcium,55.14
2012/12/6,Calcium,51.48333333
2013/1/12,Calcium,48.66666667
2013/2/2,Calcium,56.26666667
2013/3/18,Calcium,56.51
2013/4/5,Calcium,52.74333333
2013/5/4,Calcium,56.51
2013/6/15,Calcium,60.46666667
2013/7/4,Calcium,63.28
2013/8/1,Calcium,63.25333333
