sampleTime,name,value
1998/1/26,Calcium,66.93
1998/2/24,Calcium,52.3
1998/3/21,Calcium,63.34666667
1998/4/18,Calcium,55
1998/5/26,Calcium,57.97
1998/6/29,Calcium,55.33333333
1998/7/26,Calcium,56.37
1998/8/25,Calcium,54
1998/9/20,Calcium,50.76666667
1998/10/23,Calcium,58
1998/11/20,Calcium,56.83333333
1998/12/17,Calcium,55.53333333
1999/1/21,Calcium,62.52
1999/2/26,Calcium,68.41666667
1999/3/24,Calcium,58.83
1999/4/23,Calcium,57.33333333
1999/5/28,Calcium,50.93333333
1999/6/23,Calcium,48.33333333
1999/7/25,Calcium,73
1999/8/30,Calcium,55.33333333
1999/9/19,Calcium,56.46666667
1999/10/22,Calcium,56.33333333
1999/11/26,Calcium,51
1999/12/16,Calcium,65.5
2000/1/19,Calcium,48.26666667
2000/2/18,Calcium,65.33333333
2000/3/24,Calcium,64.23333333
2000/4/29,Calcium,62
2000/5/27,Calcium,50.46666667
2000/6/25,Calcium,58.13333333
2000/7/28,Calcium,48.93333333
2000/8/28,Calcium,50.66666667
2000/9/23,Calcium,56.3
2000/10/18,Calcium,55.33333333
2000/11/25,Calcium,53.1
2000/12/30,Calcium,57
2001/1/27,Calcium,59.26666667
2001/2/24,Calcium,62.33333333
2001/3/25,Calcium,54.16666667
2001/4/29,Calcium,59.33333333
2001/5/27,Calcium,60.8
2001/6/21,Calcium,58
2001/7/27,Calcium,57.6
2001/8/28,Calcium,51.66666667
2001/9/25,Calcium,60.33333333
2001/11/23,Calcium,62.66666667
2001/12/21,Calcium,66.76666667
2002/1/27,Calcium,67.4
2002/2/25,Calcium,70.36666667
2002/3/26,Calcium,67
2002/4/27,Calcium,51.6
2002/5/18,Calcium,47.46666667
2002/6/22,Calcium,51.03333333
2002/7/25,Calcium,45.8
2002/8/21,Calcium,47.14
2002/9/21,Calcium,32.16666667
2002/10/12,Calcium,51.66666667
2002/10/26,Calcium,52.38
2002/11/21,Calcium,50.73333333
2002/12/18,Calcium,49.4
2003/1/24,Calcium,54.76666667
2003/2/21,Calcium,56.06666667
2003/3/21,Calcium,69.9
2003/4/25,Calcium,48.33333333
2003/5/21,Calcium,65.5
2003/6/26,Calcium,53.1
2003/7/24,Calcium,46.4
2003/8/27,Calcium,47.76666667
2003/9/17,Calcium,49.7
2003/10/25,Calcium,62.03333333
2003/11/20,Calcium,57.96666667
2003/12/18,Calcium,57
2004/2/19,Calcium,54.4
2004/3/30,Calcium,38.66666667
2004/4/24,Calcium,58.7
2004/5/22,Calcium,45.33333333
2004/6/12,Calcium,60.2
2004/7/10,Calcium,36.53333333
2004/8/19,Calcium,19.8
2004/9/3,Calcium,39.66666667
2004/10/9,Calcium,45.8
2004/12/11,Calcium,37.9
2005/1/16,Calcium,37.73333533
2005/2/11,Calcium,55.26666467
2005/3/11,Calcium,64.699997
2005/4/8,Calcium,62.78666833
2005/5/13,Calcium,53.633334
2005/6/10,Calcium,49.69999933
2005/7/8,Calcium,48
2005/8/12,Calcium,45.33333333
2005/9/9,Calcium,45.366666
2005/10/14,Calcium,49.19999933
2005/11/11,Calcium,33.700001
2005/12/9,Calcium,35.733332
2006/1/13,Calcium,59.06666667
2006/2/10,Calcium,62.9
2006/3/9,Calcium,46.16666667
2006/4/15,Calcium,52.13333333
2006/5/11,Calcium,66.06666667
2006/6/26,Calcium,54.2
2006/7/11,Calcium,57
