sampleTime,name,value
1998/4/16,Calcium,62
1998/6/27,Calcium,64
1998/8/22,Calcium,53
1998/10/1,Calcium,68.6
1998/11/14,Calcium,78
1998/12/13,Calcium,67
1999/1/16,Calcium,74
1999/2/13,Calcium,88
1999/3/13,Calcium,66
1999/4/22,Calcium,62
1999/5/15,Calcium,72
1999/6/18,Calcium,63
1999/7/24,Calcium,68
1999/8/28,Calcium,59
1999/9/18,Calcium,87
1999/10/20,Calcium,75
1999/11/7,Calcium,70
1999/12/11,Calcium,74
2000/1/16,Calcium,72
2000/2/12,Calcium,75
2000/3/12,Calcium,84.8
2000/4/16,Calcium,78
2000/5/14,Calcium,72
2000/6/29,Calcium,59.5
2000/7/16,Calcium,70
2000/8/25,Calcium,54
2000/9/10,Calcium,75
2000/10/15,Calcium,74
2000/11/12,Calcium,85
2000/12/10,Calcium,72
2001/1/28,Calcium,83
2001/2/18,Calcium,78
2001/3/18,Calcium,75
2001/4/27,Calcium,68
2001/5/13,Calcium,82
2001/6/19,Calcium,54
2001/7/27,Calcium,76
2001/8/26,Calcium,54
2001/9/16,Calcium,80
2001/10/14,Calcium,75
2001/12/9,Calcium,75
2002/3/23,Calcium,102
2002/4/27,Calcium,82
2002/5/25,Calcium,94
2002/6/29,Calcium,72
2002/7/27,Calcium,76.8
2002/8/24,Calcium,75
2002/9/21,Calcium,90
2002/10/10,Calcium,55
2002/10/26,Calcium,78
2002/11/23,Calcium,86
2002/12/22,Calcium,82
2003/1/26,Calcium,89.6
2003/2/28,Calcium,81.6
2003/3/23,Calcium,78.4
2003/4/26,Calcium,67.2
2003/5/24,Calcium,90
2003/6/21,Calcium,76.8
2003/7/26,Calcium,73.6
2003/8/9,Calcium,110.4
2003/9/13,Calcium,70
2003/10/25,Calcium,86.4
2003/11/29,Calcium,78
2003/12/20,Calcium,89.6
2004/1/31,Calcium,83.2
2004/2/28,Calcium,73.6
2004/3/28,Calcium,81.6
2004/4/25,Calcium,76.8
2004/5/30,Calcium,83.2
2004/6/27,Calcium,96
2004/7/25,Calcium,88
2004/8/29,Calcium,81.6
2004/9/27,Calcium,84.8
2004/10/24,Calcium,78.4
2004/11/28,Calcium,76.8
2004/12/19,Calcium,84.8
2005/1/30,Calcium,94.400002
2005/2/27,Calcium,83.400002
2005/3/27,Calcium,89.599998
2005/4/25,Calcium,83.199997
2005/5/29,Calcium,92.800003
2005/6/26,Calcium,105.599999
2005/7/24,Calcium,89.599998
2005/8/28,Calcium,83.199997
2005/9/25,Calcium,88
2005/10/23,Calcium,80
2005/11/27,Calcium,84.800003
2005/12/18,Calcium,80
2006/1/29,Calcium,83.2
2006/2/26,Calcium,89.6
2006/3/25,Calcium,83.2
2006/4/29,Calcium,80
2006/5/27,Calcium,91.2
2006/6/26,Calcium,68.8
2006/8/26,Calcium,73.6
2006/9/23,Calcium,83.2
2006/10/28,Calcium,76.8
2006/11/25,Calcium,70.4
2006/12/23,Calcium,75.2
2007/1/27,Calcium,76.8
2007/2/24,Calcium,86.4
2007/3/24,Calcium,80
2007/4/21,Calcium,73.6
2007/5/26,Calcium,67.2
2007/6/23,Calcium,78.4
2007/7/21,Calcium,73.6
2007/8/25,Calcium,75.2
2007/9/23,Calcium,73.6
2007/10/27,Calcium,99.2
2007/11/24,Calcium,83.2
2007/12/22,Calcium,84.8
2008/1/26,Calcium,88
2008/2/23,Calcium,81.6
2008/3/23,Calcium,78.4
2008/5/26,Calcium,61.1
2008/6/29,Calcium,60.2
2008/7/27,Calcium,76
2008/8/31,Calcium,74.8
2008/9/28,Calcium,74.8
2008/10/26,Calcium,70
2008/11/27,Calcium,89.4
2008/12/19,Calcium,80.8
2009/1/29,Calcium,104
2009/2/26,Calcium,74.6
2009/3/29,Calcium,52.8
2009/4/24,Calcium,68.3
2009/5/28,Calcium,58.5
2009/6/25,Calcium,51
2009/7/30,Calcium,66.9
2009/8/20,Calcium,40.4
2009/9/21,Calcium,61
2009/10/29,Calcium,55.2
2009/11/26,Calcium,49.8
2009/12/10,Calcium,62.6
2010/1/28,Calcium,60.8
2010/2/18,Calcium,61.8
2010/3/24,Calcium,51.6
2010/4/21,Calcium,49.8
2010/5/26,Calcium,51.2
2010/6/23,Calcium,49
2010/7/28,Calcium,49.8
2010/8/26,Calcium,49.8
2010/9/29,Calcium,53.6
2010/10/20,Calcium,64.4
2010/11/24,Calcium,61.8
2010/12/15,Calcium,63
2011/1/26,Calcium,74.4
2011/2/25,Calcium,4
2011/3/30,Calcium,4.7
2011/4/27,Calcium,5.1
2011/5/18,Calcium,4.1
2011/6/30,Calcium,65.6
2011/7/13,Calcium,48.6
2011/8/31,Calcium,60.2
2011/9/28,Calcium,54.7
2011/10/26,Calcium,52.4
2011/11/23,Calcium,50.4
2011/12/7,Calcium,53.3
2012/1/25,Calcium,59.6
2012/2/23,Calcium,64.2
2012/3/29,Calcium,58.81
2012/4/27,Calcium,62.91
2012/5/25,Calcium,57.53
2012/6/21,Calcium,55.79
2012/7/26,Calcium,61.07
2012/8/23,Calcium,60.02
2012/10/25,Calcium,64.05
2012/11/24,Calcium,66.1
2012/12/15,Calcium,61.68
2013/1/25,Calcium,55.28
2013/2/22,Calcium,60.49
2013/3/15,Calcium,50.85
2013/4/19,Calcium,47.31
2013/5/23,Calcium,55.51
2013/6/27,Calcium,54.11
2013/7/25,Calcium,47.04
2013/8/22,Calcium,67.1
2013/9/26,Calcium,75.83
2013/10/24,Calcium,77.19
2013/11/21,Calcium,67.1
2013/12/12,Calcium,74.52
2014/1/23,Calcium,77.72
2014/2/28,Calcium,54.58
2014/3/26,Calcium,91.36
2014/4/23,Calcium,85.5
2014/5/28,Calcium,67.55
2014/6/25,Calcium,74.6
2014/7/23,Calcium,60.65
2014/8/27,Calcium,75.75
2014/9/24,Calcium,65.51
2014/10/29,Calcium,82.52
2014/11/26,Calcium,85.22
2014/12/17,Calcium,81.42
2015/1/28,Calcium,91.08
2015/2/25,Calcium,89.38
2015/3/25,Calcium,70.01
2015/4/22,Calcium,67.55
2015/5/29,Calcium,56.93
2015/6/25,Calcium,60.9
2015/7/18,Calcium,67.42
2015/8/22,Calcium,68.17
2015/9/19,Calcium,53.54
2015/10/24,Calcium,70.59
2015/11/14,Calcium,72.03
2015/12/12,Calcium,79.53
2016/1/23,Calcium,70.58
2016/2/20,Calcium,63.69
2016/3/20,Calcium,63.12
2016/4/29,Calcium,55.68
2016/5/28,Calcium,52.09
2016/6/19,Calcium,70.81
2016/7/23,Calcium,48.48
2016/8/21,Calcium,54.92
2016/9/22,Calcium,62.559
2016/10/21,Calcium,51.181
2016/11/18,Calcium,61.859
2016/12/12,Calcium,66.717
1998/4/16,Potassium,5.4
1998/6/27,Potassium,9.35
1998/8/22,Potassium,8.4
1998/10/1,Potassium,6.8
1998/11/14,Potassium,7.3
1998/12/13,Potassium,6.4
1999/1/16,Potassium,7.8
1999/2/13,Potassium,7.8
1999/3/13,Potassium,7.2
1999/4/22,Potassium,6.4
1999/5/15,Potassium,7.8
1999/6/18,Potassium,6.4
1999/7/24,Potassium,7.4
1999/8/28,Potassium,4.2
1999/9/18,Potassium,7.9
1999/10/20,Potassium,5.2
1999/11/7,Potassium,6.4
1999/12/11,Potassium,6.9
2000/1/16,Potassium,7.6
2000/2/12,Potassium,6.7
2000/3/12,Potassium,5.6
2000/4/16,Potassium,6.8
2000/5/14,Potassium,6.2
2000/6/29,Potassium,5.4
2000/7/16,Potassium,3.9
2000/8/25,Potassium,10.5
2000/9/10,Potassium,4.1
2000/10/15,Potassium,5.8
2000/11/12,Potassium,7.8
2000/12/10,Potassium,5.9
2001/1/28,Potassium,6.8
2001/2/18,Potassium,5.6
2001/3/18,Potassium,5.1
2001/4/27,Potassium,4.7
2001/5/13,Potassium,6.3
2001/6/19,Potassium,7.38
2001/7/27,Potassium,5.6
2001/8/26,Potassium,7
2001/9/16,Potassium,7.7
2001/10/14,Potassium,5.2
2001/12/9,Potassium,6.5
2002/3/23,Potassium,9.9
2002/4/27,Potassium,5.8
2002/6/29,Potassium,6.5
2002/8/24,Potassium,5.8
2002/10/26,Potassium,5.5
2002/11/23,Potassium,7.8
