sampleTime,name,value
1998/4/18,Calcium,54
1998/6/30,Calcium,54
1998/8/26,Calcium,55
1998/10/24,Calcium,62
1998/11/20,Calcium,54.77666667
1998/12/10,Calcium,56.33333333
1999/1/16,Calcium,61.18666667
1999/2/27,Calcium,68.42
1999/3/25,Calcium,60.38333333
1999/4/26,Calcium,57
1999/5/26,Calcium,52.6
1999/6/25,Calcium,46.33333333
1999/7/26,Calcium,50.5
1999/7/28,Calcium,62
1999/8/31,Calcium,55.33333333
1999/9/21,Calcium,60.9
1999/10/23,Calcium,56
1999/11/26,Calcium,53.63333333
1999/12/15,Calcium,56.33333333
2000/1/19,Calcium,53.96666667
2000/2/19,Calcium,73.83333333
2000/3/23,Calcium,57.13333333
2000/4/29,Calcium,58
2000/5/26,Calcium,51.8
2000/6/24,Calcium,59.86666667
2000/7/29,Calcium,48.93333333
2000/8/29,Calcium,50.66666667
2000/9/21,Calcium,57.03333333
2000/10/19,Calcium,55.33333333
2000/11/23,Calcium,51.8
2000/12/30,Calcium,53.1
2001/1/25,Calcium,70.43333333
2001/2/22,Calcium,62.2
2001/3/22,Calcium,56.83333333
2001/4/30,Calcium,58
2001/5/27,Calcium,60.8
2001/6/21,Calcium,57
2001/7/27,Calcium,61.53333333
2001/8/29,Calcium,51
2001/9/25,Calcium,58.36666667
2001/11/23,Calcium,64.03333333
2001/12/21,Calcium,66.76666667
2002/1/27,Calcium,70
2002/2/24,Calcium,62.2
2002/3/28,Calcium,59.3
2002/4/27,Calcium,54.16666667
2002/5/18,Calcium,48.73333333
2002/6/22,Calcium,51.03333333
2002/7/20,Calcium,41.86666667
2002/8/23,Calcium,41.90333333
2002/9/21,Calcium,41.86666667
2002/10/12,Calcium,51
2002/10/26,Calcium,52.33333333
2002/11/21,Calcium,50.73333333
2002/12/14,Calcium,52.1
2003/1/24,Calcium,58.73333333
2003/2/21,Calcium,58.76666667
2003/3/20,Calcium,46.13333333
2003/4/26,Calcium,52.13333333
2003/5/22,Calcium,54.36666667
2003/6/26,Calcium,45.26666667
2003/7/24,Calcium,49.2
2003/8/28,Calcium,52.9
2003/9/18,Calcium,48.4
2003/10/23,Calcium,60.66666667
2003/11/20,Calcium,56.6
2003/12/18,Calcium,60.9
2004/1/29,Calcium,33.74
2004/2/19,Calcium,54.4
2004/3/19,Calcium,54.4
2004/4/23,Calcium,58.7
2004/5/22,Calcium,41.46666667
2004/6/12,Calcium,62.9
2004/7/10,Calcium,33.93333333
2004/8/19,Calcium,38.36666667
2004/9/3,Calcium,43.63333333
2004/10/9,Calcium,45.8
2004/12/11,Calcium,39.23333333
2005/1/16,Calcium,40.400002
2005/2/11,Calcium,55.26666467
2005/3/11,Calcium,63.366665
2005/4/8,Calcium,62.78666833
2005/5/13,Calcium,48.39999867
2005/6/10,Calcium,52.33333333
2005/7/8,Calcium,44
2005/8/12,Calcium,46.66666667
2005/9/9,Calcium,49.39999867
2005/10/14,Calcium,60.40000033
2005/11/11,Calcium,35.10000133
2005/12/9,Calcium,34.366666
2006/1/13,Calcium,59.03333333
2006/2/10,Calcium,62.9
2006/3/9,Calcium,44.9
2006/4/15,Calcium,63.53333333
2006/5/11,Calcium,63.3
2006/6/8,Calcium,53.7
2006/7/13,Calcium,61.2
2006/8/10,Calcium,52.8
2006/9/7,Calcium,57.43333333
2006/10/12,Calcium,49.36666667
2006/11/9,Calcium,73.43333333
2006/12/7,Calcium,56.1
2007/1/11,Calcium,58.76666667
2007/2/15,Calcium,64.1
2007/3/15,Calcium,49.4
2007/4/12,Calcium,40.1
2007/5/10,Calcium,42.66666667
2007/6/7,Calcium,50.73333333
2007/7/7,Calcium,50.73333333
2007/8/11,Calcium,53.1
2007/9/6,Calcium,47.8
2007/10/13,Calcium,46.6
2007/11/10,Calcium,38.9
2007/12/8,Calcium,54.4
2008/1/12,Calcium,62.2
2008/2/23,Calcium,46.7
2008/3/14,Calcium,51.87666667
2008/4/11,Calcium,57.1
2008/5/9,Calcium,44.53
2008/6/13,Calcium,37.06666667
2008/7/11,Calcium,43.2
2008/8/8,Calcium,40.6
2008/9/6,Calcium,45.84
2008/10/12,Calcium,52.1
2008/11/7,Calcium,50.73333333
2008/12/12,Calcium,60.12
2009/1/9,Calcium,57.44666667
2009/2/13,Calcium,60.11666667
2009/3/13,Calcium,59.67333333
2009/4/17,Calcium,55.1
2009/5/8,Calcium,65.1
2009/6/12,Calcium,61.07
2009/7/11,Calcium,60.97
2009/8/8,Calcium,41.95666667
2009/9/7,Calcium,46.34666667
2009/9/28,Calcium,46.35333333
2009/10/8,Calcium,44.8
2009/11/13,Calcium,43.26
2009/12/5,Calcium,41.89333333
2010/1/10,Calcium,57.25333333
2010/2/7,Calcium,62.34
2010/3/12,Calcium,61.07
2010/4/8,Calcium,66.13
2010/5/14,Calcium,62.52333333
2010/6/19,Calcium,59.91666667
2010/7/18,Calcium,46.8
2010/8/14,Calcium,51.73333333
2010/9/2,Calcium,62.68333333
2010/10/15,Calcium,48.46
2010/11/10,Calcium,58.93666667
2010/12/11,Calcium,60.24666667
2011/1/13,Calcium,58.93666667
2011/2/10,Calcium,60.24666667
2011/3/10,Calcium,58.36333333
2011/4/7,Calcium,58.36333333
2011/5/12,Calcium,54.70333333
2011/6/18,Calcium,60.46666667
2011/8/6,Calcium,56.87333333
2011/9/9,Calcium,56.87333333
2011/10/15,Calcium,55.55
2011/11/11,Calcium,58.19666667
2011/12/9,Calcium,52.90333333
2012/1/14,Calcium,56.79333333
2012/2/11,Calcium,56.87333333
2012/3/11,Calcium,50.26
2012/4/15,Calcium,55.23666667
2012/5/13,Calcium,56.52333333
2012/6/8,Calcium,56.52
2012/7/13,Calcium,55.23333333
2012/9/1,Calcium,47.2
2012/9/16,Calcium,55.06666667
2012/10/14,Calcium,46.13333333
2012/11/5,Calcium,47.33333333
2012/12/9,Calcium,47.71666667
2013/1/11,Calcium,53.73333333
2013/2/10,Calcium,52.74
2013/3/10,Calcium,70.24333333
2013/4/15,Calcium,56.51
2013/6/23,Calcium,63.28
2013/7/14,Calcium,63.26666667
2013/8/13,Calcium,54.83333333
2013/9/8,Calcium,57.80333333
2013/10/12,Calcium,57.80666667
2013/11/8,Calcium,57.80666667
2013/12/7,Calcium,60.37666667
2014/1/17,Calcium,63.38666667
2014/3/13,Calcium,67.59666667
2014/4/3,Calcium,55.57333333
2014/5/8,Calcium,54.78
2014/6/19,Calcium,50.49666667
2014/7/4,Calcium,41.62
2014/8/22,Calcium,39.81
2014/9/6,Calcium,44.04
2014/9/12,Calcium,42.69333333
2014/10/15,Calcium,48.87333333
2014/11/6,Calcium,48.65
2014/12/11,Calcium,52.36666667
2015/1/8,Calcium,60.38666667
2015/2/12,Calcium,53.16666667
2015/3/12,Calcium,49.73
2015/4/2,Calcium,43.64666667
2015/5/14,Calcium,52.36666667
2015/6/18,Calcium,55.58666667
2015/7/10,Calcium,55.31
2015/8/20,Calcium,49.96666667
2015/9/25,Calcium,45.19333333
2015/10/8,Calcium,50.23333333
2015/11/19,Calcium,57.71333333
2015/12/10,Calcium,59.85333333
2016/1/9,Calcium,68.13666667
2016/2/11,Calcium,69.81666667
2016/3/11,Calcium,60.12
2016/4/1,Calcium,61.18666667
2016/5/13,Calcium,54.75666667
2016/6/11,Calcium,51.83333333
2016/7/8,Calcium,49.16666667
2016/8/19,Calcium,52.09666667
2016/9/3,Calcium,51.02333333
2016/10/1,Calcium,59.05
2016/11/4,Calcium,61.18666667
2016/12/2,Calcium,59.02333333
1998/4/18,Potassium,3.2
1998/6/30,Potassium,3.83
1998/8/26,Potassium,3.6
1998/10/24,Potassium,4.3
1998/11/20,Potassium,2.75
1998/12/10,Potassium,2.8
1999/1/16,Potassium,2.683333333
1999/2/27,Potassium,3.316666667
1999/3/25,Potassium,6.276666667
1999/4/26,Potassium,3.6
1999/5/26,Potassium,3.2
1999/6/25,Potassium,2.833333333
1999/7/26,Potassium,3.6
1999/7/28,Potassium,4.7
1999/8/31,Potassium,3.733333333
1999/9/21,Potassium,4.2
1999/10/23,Potassium,3.833333333
1999/11/26,Potassium,2.4
1999/12/15,Potassium,3.8
2000/1/19,Potassium,3.666666667
2000/2/19,Potassium,3.333333333
2000/3/23,Potassium,4.266666667
2000/4/29,Potassium,2.866666667
2000/5/26,Potassium,3.466666667
2000/6/24,Potassium,3.5
2000/7/29,Potassium,3.4
2000/8/29,Potassium,5.833333333
2000/9/21,Potassium,3.333333333
2000/10/19,Potassium,3.8
2000/11/23,Potassium,3.666666667
2000/12/30,Potassium,3.733333333
2001/1/25,Potassium,3.6
2001/2/22,Potassium,4.066666667
2001/3/22,Potassium,3.2
2001/4/30,Potassium,2.5
2001/5/27,Potassium,4.133333333
2001/6/21,Potassium,4.266666667
2001/7/27,Potassium,3.633333333
2001/8/29,Potassium,4.5
2001/9/25,Potassium,3.966666667
2001/11/23,Potassium,3.8
2001/12/21,Potassium,3.266666667
2005/7/8,Potassium,5.366666667
2005/8/12,Potassium,4.833333333
2007/2/15,Potassium,1.566666667
2007/3/15,Potassium,1.7
2007/4/12,Potassium,1.4
2007/5/10,Potassium,1.133333333
2007/6/7,Potassium,2.266666667
2007/8/11,Potassium,0.733333333
2007/9/6,Potassium,1.8
2007/11/10,Potassium,2.666666667
2007/12/8,Potassium,2.766666667
2008/2/23,Potassium,2.066666667
2008/4/11,Potassium,2.2
2008/5/9,Potassium,1.866666667
2008/6/13,Potassium,1.333333333
2008/11/7,Potassium,2.333333333
2008/12/12,Potassium,1.466666667
2009/1/9,Potassium,2.1
2009/2/13,Potassium,2.6
2009/3/13,Potassium,2.066666667
2009/4/17,Potassium,2.433333333
2009/5/8,Potassium,1.966666667
2009/6/12,Potassium,2.033333333
2009/7/11,Potassium,2.166666667
2009/8/8,Potassium,6.933333333
2009/9/7,Potassium,2.866666667
2009/9/28,Potassium,2.8
2009/10/8,Potassium,2.1
2009/11/13,Potassium,2.5
2009/12/5,Potassium,2.5
2010/1/10,Potassium,2.133333333
2010/2/7,Potassium,2.333333333
2010/6/19,Potassium,2.466666667
2011/1/13,Potassium,2.4
2011/6/18,Potassium,2.733333333
2011/8/6,Potassium,2.866666667
2011/9/9,Potassium,2.4
2011/10/15,Potassium,3.3
2012/2/11,Potassium,3.033333333
2012/4/15,Potassium,3.033333333
2012/5/13,Potassium,2.633333333
2012/9/16,Potassium,3.433333333
2012/10/14,Potassium,3.233333333
