sampleTime,name,value
1998/4/17,Calcium,69
1998/6/29,Calcium,72
1998/8/24,Calcium,62
1998/10/30,Calcium,65
1998/11/28,Calcium,73.92
1998/12/19,Calcium,64
1999/1/27,Calcium,66.14
1999/2/20,Calcium,73.9
1999/3/19,Calcium,70.03
1999/4/23,Calcium,60
1999/5/27,Calcium,76.1
1999/6/22,Calcium,58
1999/7/24,Calcium,90.9
1999/8/29,Calcium,64
1999/9/18,Calcium,75
1999/10/21,Calcium,65
1999/11/20,Calcium,113
1999/12/10,Calcium,102.1
2000/1/15,Calcium,81
2000/2/19,Calcium,81
2000/3/19,Calcium,107.1
2000/4/28,Calcium,69
2000/5/20,Calcium,58.3
2000/6/27,Calcium,77.7
2000/7/27,Calcium,68.5
2000/8/27,Calcium,63
2000/9/24,Calcium,59.6
2000/10/17,Calcium,64
2000/11/23,Calcium,95
2000/12/4,Calcium,81.7
2001/1/17,Calcium,71.4
2001/2/18,Calcium,89
2001/3/31,Calcium,79.3
2001/4/29,Calcium,68
2001/5/28,Calcium,75.3
2001/6/21,Calcium,59
2001/7/28,Calcium,58.9
2001/8/28,Calcium,61
2001/9/23,Calcium,58.3
2001/11/18,Calcium,53.1
2002/2/2,Calcium,81.7
2002/3/29,Calcium,69.6
2002/4/20,Calcium,58
2002/5/18,Calcium,65.5
2002/6/22,Calcium,70.7
2002/7/26,Calcium,58.9
2002/8/22,Calcium,43.2
2002/9/12,Calcium,47.1
2002/10/12,Calcium,60
2002/10/26,Calcium,58.9
2002/12/15,Calcium,52.1
2003/1/24,Calcium,40
2003/2/28,Calcium,64.1
2003/3/30,Calcium,59.9
2003/4/26,Calcium,83.8
2003/5/22,Calcium,63
2003/6/28,Calcium,23.3
2003/7/12,Calcium,62.2
2003/8/20,Calcium,73.5
2003/9/15,Calcium,58.9
2003/10/9,Calcium,40.4
2003/11/22,Calcium,60.7
2003/12/19,Calcium,62.2
2004/1/23,Calcium,58.3
2004/3/14,Calcium,54.4
2004/4/16,Calcium,40
2004/5/30,Calcium,58.3
2004/6/19,Calcium,31.4
2004/7/2,Calcium,47
2004/8/14,Calcium,31.7
2004/9/4,Calcium,23.8
2004/10/21,Calcium,58.9
2004/12/3,Calcium,47.1
2005/1/22,Calcium,64.699997
2005/2/20,Calcium,76.900002
2005/3/24,Calcium,64.099998
2005/4/24,Calcium,56.110001
2005/5/29,Calcium,58.900002
