sampleTime,name,value
2010/1/23,Calcium,110.8
2013/2/9,Calcium,92.985
2013/4/14,Calcium,109.42
2013/6/17,Calcium,84.97
2013/7/12,Calcium,80.96
2013/9/8,Calcium,47.29
2013/11/18,Calcium,121.8
2014/1/6,Calcium,92.2
2014/3/28,Calcium,24.85
2014/6/27,Calcium,36.25
2014/9/3,Calcium,57.2
2014/9/14,Calcium,68.38
2014/10/17,Calcium,98.3
2014/10/25,Calcium,56.99
2014/11/7,Calcium,104.85
2014/11/22,Calcium,115.08
2014/12/3,Calcium,107.14
2014/12/10,Calcium,98.41
2015/1/22,Calcium,121.04
2015/2/5,Calcium,118.64
2015/3/20,Calcium,92.05
2015/4/3,Calcium,89.68
2015/5/14,Calcium,82.93
2015/6/13,Calcium,87.81
2015/7/10,Calcium,64.45
2015/8/13,Calcium,47.531
2015/9/5,Calcium,55.86
2015/10/17,Calcium,88.18
2015/11/14,Calcium,90.34
2015/12/4,Calcium,94.268
2016/2/17,Calcium,82.244
2016/2/26,Calcium,85.534
2016/3/20,Calcium,77.76
2016/4/2,Calcium,96.192
2016/5/14,Calcium,85.431
2016/6/13,Calcium,76.481
2016/7/16,Calcium,81.763
2016/8/12,Calcium,93.787
2016/9/4,Calcium,76.152
2016/10/21,Calcium,98.597
2016/11/12,Calcium,96.192
2016/12/8,Calcium,101.8
2014/1/6,Potassium,7.4
2014/3/28,Potassium,7.03
2014/6/27,Potassium,7.54
2014/9/14,Potassium,8.96
2014/10/17,Potassium,7.64
2014/1/6,Sodium,290.9
2014/3/28,Sodium,195.73
2014/6/27,Sodium,206.32
2014/9/14,Sodium,238.05
2014/10/17,Sodium,235.4
