sampleTime,name,value
2009/1/15,Chromium,0.5
2009/2/13,Chromium,0.6
2009/3/19,Chromium,0
2009/4/17,Chromium,0.7
2009/6/12,Chromium,0
2009/7/11,Chromium,0.6
2009/10/11,Chromium,0.6
2009/11/19,Chromium,3.8
2010/1/16,Chromium,0.5
2010/2/20,Chromium,0.3
2010/3/19,Chromium,0.8
2010/4/16,Chromium,0.4
2010/5/20,Chromium,2.3
2010/6/17,Chromium,0.6
2010/7/16,Chromium,0.3
2010/8/12,Chromium,0.6
2010/9/17,Chromium,0.3
2010/10/22,Chromium,0.8
2011/3/18,Chromium,0
2011/3/31,Chromium,0
2011/4/16,Chromium,0
2011/5/13,Chromium,0
2011/5/27,Chromium,0
2011/6/11,Chromium,0
2011/6/17,Chromium,0
2011/7/14,Chromium,0
2011/8/11,Chromium,1.1
2011/9/14,Chromium,0
2011/9/28,Chromium,0
2011/10/8,Chromium,0
2011/10/13,Chromium,0
2011/11/11,Chromium,0
2011/12/10,Chromium,0
2012/1/20,Chromium,1.5
2012/2/17,Chromium,0
2012/3/17,Chromium,0
2012/4/21,Chromium,0
2012/5/19,Chromium,0
2012/6/16,Chromium,1.9
2012/7/21,Chromium,0
2012/8/16,Chromium,0
2012/9/21,Chromium,0
2012/10/21,Chromium,0
2012/11/16,Chromium,0
2012/12/10,Chromium,0
2013/1/17,Chromium,0
2013/2/15,Chromium,0
2013/3/14,Chromium,0
2013/4/12,Chromium,0
2013/5/16,Chromium,0
2013/6/14,Chromium,0
2013/7/18,Chromium,0
2013/8/16,Chromium,0
2013/9/21,Chromium,0
2013/10/18,Chromium,0
2013/11/15,Chromium,0
2013/12/13,Chromium,0
2009/1/15,Copper,2.4
2009/2/13,Copper,8.4
2009/3/19,Copper,14.9
2009/4/17,Copper,5.3
2009/6/12,Copper,2.9
2009/7/11,Copper,9.9
2009/10/11,Copper,2.8
2009/11/19,Copper,6.1
2010/1/16,Copper,2.7
2010/2/20,Copper,2.9
2010/3/19,Copper,4.5
2010/4/16,Copper,4.2
2010/5/20,Copper,56
2010/6/17,Copper,5.4
2010/7/16,Copper,3.7
2010/8/12,Copper,3.5
2010/9/17,Copper,4.1
2010/10/22,Copper,12.4
2010/11/19,Copper,3.1
2010/12/11,Copper,4.2
2011/1/21,Copper,2.6
2011/2/11,Copper,1.2
2011/2/18,Copper,1.2
2011/3/18,Copper,2.7
2011/3/31,Copper,1.2
2011/4/16,Copper,7.3
2011/5/13,Copper,4.9
2011/5/27,Copper,2.8
2011/6/11,Copper,1.9
2011/6/17,Copper,3.8
2011/7/14,Copper,3.8
2011/8/11,Copper,2
2011/9/14,Copper,3.9
2011/9/28,Copper,9.2
2011/10/8,Copper,4.3
2011/10/13,Copper,2.2
2011/11/11,Copper,1.7
2011/12/10,Copper,2.4
2012/1/20,Copper,5
2012/2/17,Copper,2.9
2012/3/17,Copper,1.8
2012/4/21,Copper,2.6
2012/5/19,Copper,3.2
2012/6/16,Copper,6.7
2012/7/21,Copper,2.7
2012/8/16,Copper,1.4
2012/9/21,Copper,1.5
2012/10/21,Copper,3.1
2012/11/16,Copper,1.6
2012/12/10,Copper,3.1
2013/1/17,Copper,8.8
2013/2/15,Copper,1.6
2013/3/14,Copper,1.1
2013/4/12,Copper,1.9
2013/5/16,Copper,1.6
2013/6/14,Copper,1.4
2013/7/18,Copper,0
2013/8/16,Copper,1
2013/9/21,Copper,1.9
2013/10/18,Copper,12.6
2013/11/15,Copper,1.5
2013/12/13,Copper,1.4
2009/1/15,Lead,0.5
2009/2/13,Lead,1.7
2009/3/19,Lead,0.5
2009/4/17,Lead,0.5
2009/6/12,Lead,0.5
2009/7/11,Lead,1.6
2009/10/11,Lead,0.5
2009/11/19,Lead,0.5
2010/1/16,Lead,0.6
2010/2/20,Lead,0.5
2010/3/19,Lead,0.7
2010/4/16,Lead,0.5
2010/5/20,Lead,1.8
2010/6/17,Lead,1
2010/7/16,Lead,0.5
2010/8/12,Lead,1.4
2010/9/17,Lead,0.9
2010/10/22,Lead,1.3
2010/11/19,Lead,1
2010/12/11,Lead,1.3
2011/1/21,Lead,1
2011/2/11,Lead,1
2011/2/18,Lead,1
2011/3/18,Lead,0.6
2011/3/31,Lead,1
2011/4/16,Lead,1.7
2011/5/13,Lead,1.1
2011/5/27,Lead,0.9
2011/6/11,Lead,0.3
2011/6/17,Lead,1
2011/7/14,Lead,1
2011/8/11,Lead,1
2011/9/14,Lead,0.4
2011/9/28,Lead,0.4
2011/10/8,Lead,1.1
2011/10/13,Lead,1.6
2011/11/11,Lead,0.5
2011/12/10,Lead,2.5
2012/1/20,Lead,1.2
2012/2/17,Lead,0.5
2012/3/17,Lead,0.5
2012/4/21,Lead,1.2
2012/5/19,Lead,0.5
2012/6/16,Lead,1.6
2012/7/21,Lead,0.5
2012/8/16,Lead,0.5
2012/9/21,Lead,0.5
2012/10/21,Lead,0.5
2012/11/16,Lead,0.5
2012/12/10,Lead,2.4
2013/1/17,Lead,1.3
2013/2/15,Lead,0.5
2013/3/14,Lead,0.5
2013/4/12,Lead,0.5
2013/5/16,Lead,0.5
2013/6/14,Lead,0.5
2013/7/18,Lead,0.5
2013/8/16,Lead,1.1
2013/9/21,Lead,0.5
2013/10/18,Lead,7.8
2013/11/15,Lead,0.5
2013/12/13,Lead,0.5
2015/2/21,Lead,0.5
2015/6/20,Lead,2.5
2015/8/22,Lead,0.5
2015/10/16,Lead,0.5
2016/1/15,Lead,0
2016/4/16,Lead,0
2016/8/20,Lead,0
2016/10/22,Lead,0
2009/1/15,Manganese,0.18
2009/2/13,Manganese,0.1
2009/3/19,Manganese,0.05
2009/4/17,Manganese,0.04
2009/6/12,Manganese,0.9
2009/7/11,Manganese,0.11
2009/10/11,Manganese,0.06
2009/11/19,Manganese,0.15
2014/1/16,Manganese,0.05
2014/4/18,Manganese,0.07
2014/6/20,Manganese,0
2014/8/16,Manganese,0
2014/10/17,Manganese,0
2014/12/12,Manganese,0.03
2015/2/21,Manganese,0
2015/4/18,Manganese,0
2015/6/20,Manganese,0.031
2015/8/22,Manganese,0
2015/10/16,Manganese,0
2015/12/9,Manganese,0
2009/4/17,Mercury,0.5
2010/1/16,Mercury,1
2010/2/20,Mercury,1
2010/3/19,Mercury,1
2010/4/16,Mercury,1
2010/5/20,Mercury,1
2010/6/17,Mercury,1
2010/7/16,Mercury,1
2010/8/12,Mercury,1
2010/9/17,Mercury,1
2010/10/22,Mercury,1
2010/12/11,Mercury,1
2011/1/21,Mercury,1
2011/2/18,Mercury,1
2011/3/18,Mercury,1
2011/3/31,Mercury,1
2011/4/16,Mercury,1
2011/5/13,Mercury,0
2011/6/11,Mercury,0
2011/6/17,Mercury,0
2011/7/14,Mercury,0
2011/8/11,Mercury,0
2011/9/14,Mercury,0
2011/10/13,Mercury,0
2011/11/11,Mercury,0
2011/12/10,Mercury,0
2012/4/21,Mercury,0
2012/5/19,Mercury,0
2012/7/21,Mercury,0
2012/8/16,Mercury,0
2012/9/21,Mercury,0
2012/10/21,Mercury,0
2012/11/16,Mercury,0
2012/12/10,Mercury,0
2013/1/17,Mercury,0
2013/2/15,Mercury,0
2013/3/14,Mercury,0
2013/4/12,Mercury,0
2013/5/16,Mercury,0.015
2013/6/14,Mercury,0.02
2013/7/18,Mercury,0
2013/9/21,Mercury,0
2013/10/18,Mercury,0
2013/11/15,Mercury,0.03
2013/12/13,Mercury,0
2014/1/16,Mercury,0
2014/2/15,Mercury,0
2014/3/19,Mercury,0
2014/4/18,Mercury,0.03
2014/5/16,Mercury,0.022
2014/6/20,Mercury,0
2014/7/18,Mercury,0
2014/8/16,Mercury,0
2014/9/19,Mercury,0
2014/10/17,Mercury,0
2014/11/21,Mercury,0.055
2014/12/12,Mercury,0
2015/1/17,Mercury,0
2015/2/21,Mercury,0
2015/3/13,Mercury,0
2015/4/18,Mercury,0
2015/5/15,Mercury,0
2015/6/20,Mercury,0
2015/7/16,Mercury,0
2015/8/22,Mercury,0
2015/9/18,Mercury,0.067
2015/10/16,Mercury,0
2015/11/20,Mercury,0
2015/12/9,Mercury,0
2016/1/15,Mercury,0
2016/2/12,Mercury,0
2016/3/12,Mercury,0
2016/4/16,Mercury,0
2016/5/13,Mercury,0
2016/6/11,Mercury,0
2016/7/16,Mercury,0
2016/8/20,Mercury,0
2016/10/22,Mercury,0
2016/11/19,Mercury,0
2016/12/10,Mercury,0
2009/1/15,Zinc,26
2009/2/13,Zinc,18
2009/3/19,Zinc,5
2009/4/17,Zinc,5
2009/5/17,Zinc,11
2009/6/12,Zinc,12
2009/7/11,Zinc,20
2009/8/13,Zinc,38
2009/9/10,Zinc,5
2009/10/11,Zinc,5
2009/11/19,Zinc,10
2009/12/10,Zinc,5
2010/2/20,Zinc,9
2010/3/19,Zinc,9
2010/4/16,Zinc,14
2010/5/20,Zinc,41
2010/6/17,Zinc,25
2010/7/16,Zinc,12
2010/8/12,Zinc,12
2010/9/17,Zinc,24
2010/10/22,Zinc,14
2010/11/19,Zinc,12
2010/12/11,Zinc,10
2011/1/21,Zinc,6
2011/1/22,Zinc,10
2011/2/11,Zinc,4
2011/2/18,Zinc,8
2011/3/18,Zinc,9
2011/3/31,Zinc,5
2011/4/16,Zinc,12
2011/4/22,Zinc,8
2011/5/13,Zinc,14
2011/5/27,Zinc,3
2011/6/11,Zinc,10
2011/6/17,Zinc,6
2011/7/9,Zinc,12
2011/7/14,Zinc,6
2011/8/4,Zinc,18
2011/8/11,Zinc,5
2011/9/14,Zinc,14
2011/9/28,Zinc,10
2011/10/8,Zinc,5
2011/10/13,Zinc,15
2011/11/11,Zinc,3
2011/11/26,Zinc,10
2011/12/10,Zinc,7
2011/12/15,Zinc,5
2012/1/20,Zinc,5
2012/2/17,Zinc,5
2012/3/17,Zinc,5
2012/4/21,Zinc,5
2012/5/19,Zinc,5
2012/6/16,Zinc,12
2012/7/21,Zinc,5
2012/8/16,Zinc,5
2012/9/21,Zinc,5
2012/10/21,Zinc,5
2012/11/16,Zinc,5
2012/12/10,Zinc,25
