spot,sampleTime,name,value
Achara,2009/1/15,Chromium,0.5
Achara,2009/2/13,Chromium,0.6
Achara,2009/3/19,Chromium,0
Achara,2009/4/17,Chromium,0.7
Achara,2009/6/12,Chromium,0
Achara,2009/7/11,Chromium,0.6
Achara,2009/10/11,Chromium,0.6
Achara,2009/11/19,Chromium,3.8
Achara,2010/1/16,Chromium,0.5
Achara,2010/2/20,Chromium,0.3
Achara,2010/3/19,Chromium,0.8
Achara,2010/4/16,Chromium,0.4
Achara,2010/5/20,Chromium,2.3
Achara,2010/6/17,Chromium,0.6
Achara,2010/7/16,Chromium,0.3
Achara,2010/8/12,Chromium,0.6
Achara,2010/9/17,Chromium,0.3
Achara,2010/10/22,Chromium,0.8
Achara,2011/3/18,Chromium,0
Achara,2011/3/31,Chromium,0
Achara,2011/4/16,Chromium,0
Achara,2011/5/13,Chromium,0
Achara,2011/5/27,Chromium,0
Achara,2011/6/11,Chromium,0
Achara,2011/6/17,Chromium,0
Achara,2011/7/14,Chromium,0
Achara,2011/8/11,Chromium,1.1
Achara,2011/9/14,Chromium,0
Achara,2011/9/28,Chromium,0
Achara,2011/10/8,Chromium,0
Achara,2011/10/13,Chromium,0
Achara,2011/11/11,Chromium,0
Achara,2011/12/10,Chromium,0
Achara,2012/1/20,Chromium,1.5
Achara,2012/2/17,Chromium,0
Achara,2012/3/17,Chromium,0
Achara,2012/4/21,Chromium,0
Achara,2012/5/19,Chromium,0
Achara,2012/6/16,Chromium,1.9
Achara,2012/7/21,Chromium,0
Achara,2012/8/16,Chromium,0
Achara,2012/9/21,Chromium,0
Achara,2012/10/21,Chromium,0
Achara,2012/11/16,Chromium,0
Achara,2012/12/10,Chromium,0
Achara,2013/1/17,Chromium,0
Achara,2013/2/15,Chromium,0
Achara,2013/3/14,Chromium,0
Achara,2013/4/12,Chromium,0
Achara,2013/5/16,Chromium,0
Achara,2013/6/14,Chromium,0
Achara,2013/7/18,Chromium,0
Achara,2013/8/16,Chromium,0
Achara,2013/9/21,Chromium,0
Achara,2013/10/18,Chromium,0
Achara,2013/11/15,Chromium,0
Achara,2013/12/13,Chromium,0
Achara,2009/1/15,Copper,2.4
Achara,2009/2/13,Copper,8.4
Achara,2009/3/19,Copper,14.9
Achara,2009/4/17,Copper,5.3
Achara,2009/6/12,Copper,2.9
Achara,2009/7/11,Copper,9.9
Achara,2009/10/11,Copper,2.8
Achara,2009/11/19,Copper,6.1
Achara,2010/1/16,Copper,2.7
Achara,2010/2/20,Copper,2.9
Achara,2010/3/19,Copper,4.5
Achara,2010/4/16,Copper,4.2
Achara,2010/5/20,Copper,56
Achara,2010/6/17,Copper,5.4
Achara,2010/7/16,Copper,3.7
Achara,2010/8/12,Copper,3.5
Achara,2010/9/17,Copper,4.1
Achara,2010/10/22,Copper,12.4
Achara,2010/11/19,Copper,3.1
Achara,2010/12/11,Copper,4.2
Achara,2011/1/21,Copper,2.6
Achara,2011/2/11,Copper,1.2
Achara,2011/2/18,Copper,1.2
Achara,2011/3/18,Copper,2.7
Achara,2011/3/31,Copper,1.2
Achara,2011/4/16,Copper,7.3
