sampleTime,name,value
1998/1/11,Chromium,17
1998/2/15,Chromium,9
1998/3/12,Chromium,6
1998/4/11,Chromium,21.5
1998/5/9,Chromium,9.5
1998/6/6,Chromium,10.5
1998/7/11,Chromium,0
1998/8/8,Chromium,20
1998/9/5,Chromium,7.5
1998/10/3,Chromium,20
1998/11/7,Chromium,0
1998/12/5,Chromium,7.5
1999/1/9,Chromium,22
1999/2/11,Chromium,15
1999/3/11,Chromium,5
1999/4/16,Chromium,9
1999/5/13,Chromium,6.333333333
1999/6/6,Chromium,7.333333333
1999/7/22,Chromium,8.666666667
1999/8/19,Chromium,8
1999/9/16,Chromium,5.5
1999/10/10,Chromium,11
1999/11/5,Chromium,11
1999/12/9,Chromium,4
2000/1/14,Chromium,18.165
2000/2/10,Chromium,15.91
2000/3/10,Chromium,18.32666667
2000/4/14,Chromium,1.333333333
2000/5/12,Chromium,22.47333333
2000/6/9,Chromium,1
2000/7/14,Chromium,2.333333333
2000/8/17,Chromium,21.33333333
2000/9/8,Chromium,4.333333333
2000/10/6,Chromium,2
2000/11/10,Chromium,15
2000/12/8,Chromium,12
2001/4/19,Chromium,13.33333333
2001/5/4,Chromium,7
2001/6/6,Chromium,5
2001/7/27,Chromium,19.64333333
2001/8/4,Chromium,12.60666667
2001/9/14,Chromium,21.60666667
2001/10/12,Chromium,2.593333333
2001/11/15,Chromium,32.55
2001/12/7,Chromium,12.74333333
2002/3/21,Chromium,18.40666667
2002/4/25,Chromium,8.31
2002/5/9,Chromium,1.66
2002/5/23,Chromium,3.623333333
2002/6/13,Chromium,0.716666667
2002/8/8,Chromium,4.613333333
2002/9/12,Chromium,1.433333333
2002/9/27,Chromium,12.30666667
2002/10/10,Chromium,8.956666667
2002/10/15,Chromium,65.3
2002/11/7,Chromium,4
2002/12/12,Chromium,1.57
2003/1/23,Chromium,3.033333333
2003/2/13,Chromium,1.805
2003/3/20,Chromium,1.456666667
2003/4/24,Chromium,2.953333333
2003/6/6,Chromium,2.023333333
2003/6/19,Chromium,1.606666667
2003/7/10,Chromium,1.031333333
2003/7/25,Chromium,1.32
2003/8/7,Chromium,2.901333333
2003/10/9,Chromium,4.696666667
2003/10/23,Chromium,1.383333333
2003/11/13,Chromium,4.846666667
2003/11/27,Chromium,4.413333333
2003/12/4,Chromium,4.566666667
2003/12/18,Chromium,1.233333333
2004/2/12,Chromium,1.471333333
2004/2/26,Chromium,8.126
2004/3/26,Chromium,4.066666667
2004/4/9,Chromium,4.563333333
2004/4/23,Chromium,3.316666667
2004/5/7,Chromium,1.758
2004/5/28,Chromium,1.064
2004/6/11,Chromium,2.602333333
2004/6/25,Chromium,2.942666667
2004/7/9,Chromium,2.65
2004/7/23,Chromium,9.686666667
2004/8/13,Chromium,2.54
2004/8/27,Chromium,5.164333333
2004/9/10,Chromium,1.045666667
2004/9/24,Chromium,0.446666667
2004/10/8,Chromium,2.263666667
2004/10/22,Chromium,3.227666667
2004/11/5,Chromium,1.494666667
2004/11/26,Chromium,2.417333333
2004/12/3,Chromium,2.571
2004/12/17,Chromium,11.5
2005/1/14,Chromium,5.540666667
2005/1/28,Chromium,1.145666667
2005/2/11,Chromium,1.282333333
2005/2/24,Chromium,1.105333333
2005/3/11,Chromium,2.149666667
2005/3/25,Chromium,1.469333333
2005/4/8,Chromium,1.288333333
2005/4/22,Chromium,1.188666667
2005/5/13,Chromium,1.132666667
2005/5/28,Chromium,0.674666667
2005/6/10,Chromium,1.168666667
2005/6/24,Chromium,0.622
2005/7/8,Chromium,0.535
2005/7/22,Chromium,0.213333333
2005/8/12,Chromium,0.631666667
2005/8/26,Chromium,0.633
2005/9/9,Chromium,2.036666667
2005/9/23,Chromium,3.453666667
2005/10/2,Chromium,1.125
2005/10/21,Chromium,3.782666667
2005/11/6,Chromium,0.544333333
2005/11/25,Chromium,1.559666667
2005/12/2,Chromium,0.855333333
2005/12/16,Chromium,2.298333333
2006/1/13,Chromium,5.008
2006/1/27,Chromium,1.8
2006/2/10,Chromium,1.618
2006/2/24,Chromium,1.675666667
2006/3/9,Chromium,3.214333333
2006/3/23,Chromium,7.784
2006/4/6,Chromium,3.691
2006/4/27,Chromium,3.754333333
2006/5/3,Chromium,0.756
2006/5/25,Chromium,0.579333333
2006/6/8,Chromium,1.012
2006/6/22,Chromium,6.021
2006/7/13,Chromium,0.141
2006/7/27,Chromium,0.266
2006/8/10,Chromium,0.729
2006/8/24,Chromium,1.522333333
2006/9/7,Chromium,1.144333333
2006/9/21,Chromium,0.701666667
2006/10/26,Chromium,0.289666667
2006/11/9,Chromium,3.245666667
2006/11/23,Chromium,2.329
2006/12/7,Chromium,0.591666667
2006/12/21,Chromium,0.338333333
2007/1/11,Chromium,1.217
2007/1/25,Chromium,1.006333333
2007/2/8,Chromium,0.746
2007/2/22,Chromium,3.022
2007/3/9,Chromium,3.729333333
2007/3/22,Chromium,11.96566667
2007/4/6,Chromium,2.384
2007/4/19,Chromium,2.703
2007/5/10,Chromium,3.107666667
2007/5/24,Chromium,2.726666667
2007/6/7,Chromium,1.957333333
2007/6/21,Chromium,2.635333333
2007/7/5,Chromium,1.52
2007/7/19,Chromium,3.768333333
2007/8/23,Chromium,1.606666667
