sampleTime,name,value
1998/10/29,Chromium,9
1998/11/28,Chromium,5
1998/12/19,Chromium,36
1999/1/27,Chromium,22
1999/2/20,Chromium,13
1999/3/19,Chromium,1.4
1999/4/23,Chromium,11
1999/5/27,Chromium,2
1999/6/22,Chromium,10
1999/7/15,Chromium,22.1
1999/7/24,Chromium,19
1999/8/15,Chromium,44.4
1999/8/30,Chromium,9
1999/9/18,Chromium,18
1999/10/22,Chromium,16
1999/11/20,Chromium,14
1999/12/10,Chromium,7
2000/1/15,Chromium,12.51
2000/2/19,Chromium,15.12
2000/3/19,Chromium,19.62
2000/4/29,Chromium,2
2000/5/27,Chromium,10.41
2000/6/26,Chromium,15
2000/7/15,Chromium,7
2000/7/28,Chromium,4
2000/8/15,Chromium,84.4
2000/8/28,Chromium,12
2000/9/24,Chromium,6
2000/10/18,Chromium,14
2000/11/24,Chromium,9
2000/12/4,Chromium,16
2001/1/17,Chromium,10
2001/2/18,Chromium,6
2001/3/31,Chromium,11
2001/4/29,Chromium,16
2001/5/28,Chromium,15
2001/6/21,Chromium,22.9
2001/7/28,Chromium,11.31
2001/8/28,Chromium,7.63
2001/9/23,Chromium,8.67
2001/11/18,Chromium,3.91
2002/3/29,Chromium,6.31
2002/4/20,Chromium,5.09
2002/6/22,Chromium,1.31
2002/8/22,Chromium,5.29
2002/9/12,Chromium,0.91
2002/10/12,Chromium,4.63
2002/10/15,Chromium,78.8
2002/10/26,Chromium,2.64
2002/12/15,Chromium,0.64
2003/1/24,Chromium,2.17
2003/2/28,Chromium,2.01
2003/3/30,Chromium,0.37
2003/4/26,Chromium,3.06
2003/5/22,Chromium,0.56
2003/6/28,Chromium,1.027
2003/7/12,Chromium,1.47
2003/8/15,Chromium,36.12
2003/8/20,Chromium,1.006
2003/9/16,Chromium,1.81
2003/10/9,Chromium,0.987
2003/11/22,Chromium,3.18
2004/1/23,Chromium,3.15
2004/2/14,Chromium,1.96
2004/3/14,Chromium,1.89
2004/4/16,Chromium,1.242
2004/5/30,Chromium,1.918
2004/6/19,Chromium,1.371
2004/7/2,Chromium,3.15
2004/8/14,Chromium,6.32
2004/9/4,Chromium,1.587
2004/10/21,Chromium,0.541
2004/11/6,Chromium,8.851
2004/12/3,Chromium,0.602
2005/1/22,Chromium,3.667
2005/2/20,Chromium,1.388
2005/3/24,Chromium,3.314
2005/4/24,Chromium,2.298
2005/5/29,Chromium,5.809
2005/6/17,Chromium,5.176
2005/7/24,Chromium,2.351
2005/8/14,Chromium,3.005
2005/9/24,Chromium,1.286
2005/10/23,Chromium,0.812
2005/11/24,Chromium,0.733
2005/12/22,Chromium,6.325
2006/1/28,Chromium,2.891
2006/2/25,Chromium,0.205
2006/3/23,Chromium,0.356
2006/4/27,Chromium,3.464
2006/5/31,Chromium,1.74
