sampleTime,name,value
1998/1/31,Chromium,0
1998/2/20,Chromium,0
1998/3/19,Chromium,0
1998/4/17,Chromium,12.33333333
1998/5/20,Chromium,0
1998/6/28,Chromium,15.66666667
1998/7/23,Chromium,0
1998/8/15,Chromium,17.4
1998/8/23,Chromium,10
1998/9/27,Chromium,0
1998/10/30,Chromium,5.666666667
1998/11/26,Chromium,13.33333333
1998/12/18,Chromium,7.666666667
1999/1/30,Chromium,25.66666667
1999/2/18,Chromium,15.66666667
1999/3/17,Chromium,2.833333333
1999/4/22,Chromium,6.333333333
1999/5/20,Chromium,6
1999/6/19,Chromium,5.333333333
1999/7/15,Chromium,20.9
1999/7/22,Chromium,8.333333333
1999/8/15,Chromium,13.8
1999/8/28,Chromium,7.333333333
1999/9/16,Chromium,6.666666667
1999/10/21,Chromium,13.33333333
1999/11/18,Chromium,8.666666667
1999/12/9,Chromium,7.666666667
2000/1/14,Chromium,19.30333333
2000/2/18,Chromium,21.07666667
2000/3/18,Chromium,19.29
2000/4/28,Chromium,2
2000/5/19,Chromium,17.74
2000/6/28,Chromium,7
2000/7/15,Chromium,21.9
2000/7/21,Chromium,3.333333333
2000/8/15,Chromium,76.9
2000/8/26,Chromium,17.33333333
2000/9/23,Chromium,19.33333333
2000/10/16,Chromium,12
2000/11/18,Chromium,11.66666667
2000/12/3,Chromium,17
2001/1/16,Chromium,23.33333333
2001/2/17,Chromium,11.33333333
2001/3/31,Chromium,24.33333333
2001/4/27,Chromium,6
2001/5/27,Chromium,12.33333333
2001/6/19,Chromium,15.3
2001/7/7,Chromium,11.92666667
2001/8/26,Chromium,14.51333333
2001/9/22,Chromium,18.01
2001/11/22,Chromium,5.85
2002/2/18,Chromium,24.06666667
2002/3/16,Chromium,12.56666667
2002/3/31,Chromium,21.64333333
2002/4/15,Chromium,6.87
2002/4/25,Chromium,12.05
2002/5/11,Chromium,4.54
2002/5/25,Chromium,2.75
2002/6/12,Chromium,1.116666667
2002/6/21,Chromium,1.22
2002/8/10,Chromium,5.176666667
2002/8/21,Chromium,6.31
2002/9/13,Chromium,0.87
2002/9/25,Chromium,1.376666667
2002/10/10,Chromium,8.456666667
2002/10/15,Chromium,32.4
2002/10/24,Chromium,2.72
2002/10/30,Chromium,2.086666667
2002/11/7,Chromium,1.693333333
2002/12/5,Chromium,1.43
2002/12/13,Chromium,2.58
2003/1/17,Chromium,4.18
2003/1/29,Chromium,1.91
2003/2/3,Chromium,2.973333333
2003/2/28,Chromium,1.89
2003/3/19,Chromium,5.536666667
2003/3/29,Chromium,2.120333333
2003/4/20,Chromium,1.79
2003/4/27,Chromium,2.68
2003/5/18,Chromium,1.536666667
2003/5/25,Chromium,1.56
2003/6/13,Chromium,1.136666667
2003/6/21,Chromium,2.863333333
2003/7/10,Chromium,2.1
2003/8/15,Chromium,32.605
2003/8/16,Chromium,1.257333333
2003/8/28,Chromium,2.513333333
2003/9/13,Chromium,1.054
2003/10/8,Chromium,0.726
2003/10/12,Chromium,1.106333333
2003/11/19,Chromium,5.323333333
2003/11/28,Chromium,3.576666667
2004/1/22,Chromium,3.133333333
2004/1/30,Chromium,7.433333333
2004/2/13,Chromium,2.31
2004/2/22,Chromium,1.836666667
2004/3/12,Chromium,5.503333333
2004/3/21,Chromium,2.613333333
2004/4/12,Chromium,11.62333333
2004/4/22,Chromium,2.978
2004/5/16,Chromium,2.801666667
2004/5/29,Chromium,13.92
2004/6/18,Chromium,1.153
2004/6/27,Chromium,1.687666667
2004/7/12,Chromium,1.202
2004/7/18,Chromium,1.234
2004/8/13,Chromium,2.03
2004/8/23,Chromium,8.196666667
2004/9/9,Chromium,0.935
2004/9/17,Chromium,1.228666667
2004/10/11,Chromium,0.873333333
2004/10/30,Chromium,1.389666667
2004/11/21,Chromium,2.115333333
2004/11/26,Chromium,2.700666667
2004/12/5,Chromium,1.223666667
2004/12/9,Chromium,2.353666667
2005/1/27,Chromium,4.589
2005/1/31,Chromium,3.717666667
2005/2/28,Chromium,1.907333333
2005/3/17,Chromium,9.301333
2005/3/31,Chromium,4.891
2005/4/11,Chromium,6.748999667
2005/4/21,Chromium,3.149666667
2005/5/16,Chromium,1.478
2005/6/13,Chromium,0.934
2005/6/20,Chromium,1.818666667
