sampleTime,name,value
2009/1/21,Chromium,19
2009/3/17,Chromium,11
2009/4/23,Chromium,13
2009/5/17,Chromium,18
2009/6/20,Chromium,19
2009/7/19,Chromium,12
2009/8/17,Chromium,12
2009/9/18,Chromium,17
2009/11/20,Chromium,12
2009/12/12,Chromium,13
2010/1/17,Chromium,16
2010/2/19,Chromium,13
2010/3/18,Chromium,11
2010/4/17,Chromium,11
2010/5/19,Chromium,12
2010/6/17,Chromium,20
2010/8/21,Chromium,14
2010/9/16,Chromium,15
2010/10/19,Chromium,13
2010/11/18,Chromium,16
2010/12/16,Chromium,10
2011/1/21,Chromium,15
2011/2/19,Chromium,14
2011/3/17,Chromium,18
2011/5/20,Chromium,20
2011/6/17,Chromium,17
2011/7/20,Chromium,16
2011/8/18,Chromium,14
2011/9/15,Chromium,22
2011/10/13,Chromium,21
2011/11/18,Chromium,23
2011/12/17,Chromium,21
2012/1/20,Chromium,22
2012/2/17,Chromium,24
2012/3/16,Chromium,28
2012/4/19,Chromium,25
2012/5/19,Chromium,22
2012/6/17,Chromium,0
2012/7/20,Chromium,20
2012/8/17,Chromium,17
2012/9/20,Chromium,29
2012/10/19,Chromium,18
2012/11/18,Chromium,15
2012/12/15,Chromium,17
2013/1/20,Chromium,2.39
2013/2/17,Chromium,5.4
2013/3/17,Chromium,5.85
2013/4/18,Chromium,4.9
2013/5/18,Chromium,0
2013/6/17,Chromium,8.5
2013/7/18,Chromium,0
2013/9/7,Chromium,0
2013/9/19,Chromium,0
2013/10/19,Chromium,0
2013/11/21,Chromium,1.44
2013/12/13,Chromium,0
2014/6/21,Chromium,0
2014/7/17,Chromium,0
2014/8/16,Chromium,1.37
2014/9/20,Chromium,1.04
2014/10/18,Chromium,0
2014/11/20,Chromium,0
2014/12/10,Chromium,0
2015/2/14,Chromium,0
2015/3/21,Chromium,3.16
2015/5/22,Chromium,0
2015/8/20,Chromium,0
2015/9/19,Chromium,0
2009/1/21,Copper,10
2009/2/17,Copper,0.3
2009/3/17,Copper,65
2009/9/18,Copper,0.5
