sampleTime,name,value
1998/1/26,Chromium,10
1998/2/24,Chromium,6
1998/3/21,Chromium,10
1998/4/18,Chromium,11
1998/5/26,Chromium,20
1998/6/29,Chromium,10
1998/7/26,Chromium,30
1998/8/15,Chromium,27.2
1998/8/25,Chromium,13.33333333
1998/9/20,Chromium,30
1998/10/23,Chromium,10.33333333
1998/11/20,Chromium,13.33333333
1998/12/17,Chromium,13.33333333
1999/1/21,Chromium,23
1999/2/26,Chromium,18
1999/3/24,Chromium,5.066666667
1999/4/23,Chromium,8
1999/5/28,Chromium,4.333333333
1999/6/23,Chromium,7
1999/7/15,Chromium,22
1999/7/25,Chromium,9
1999/8/15,Chromium,18
1999/8/30,Chromium,8
1999/9/19,Chromium,10.33333333
1999/10/22,Chromium,14.33333333
1999/11/26,Chromium,9
1999/12/16,Chromium,11
2000/1/19,Chromium,14.6
2000/2/18,Chromium,31.47666667
2000/3/24,Chromium,29.04333333
2000/4/29,Chromium,1.333333333
2000/5/27,Chromium,33.58
2000/6/25,Chromium,5
2000/7/15,Chromium,10.6
2000/7/28,Chromium,9.333333333
2000/8/15,Chromium,32
2000/8/28,Chromium,16.33333333
2000/9/23,Chromium,2.666666667
2000/10/18,Chromium,20.33333333
2000/11/25,Chromium,19
2000/12/30,Chromium,18.33333333
2001/1/27,Chromium,23.33333333
2001/2/24,Chromium,49.66666667
2001/3/25,Chromium,24.66666667
2001/4/29,Chromium,16.66666667
2001/5/27,Chromium,10
2001/6/21,Chromium,13.43333333
2001/7/27,Chromium,7.283333333
2001/8/28,Chromium,20.46333333
2001/9/25,Chromium,10.83
2001/11/23,Chromium,9.623333333
2001/12/21,Chromium,9.21
2002/3/26,Chromium,47.37333333
2002/4/27,Chromium,12.14666667
2002/6/22,Chromium,2.973333333
2002/8/21,Chromium,7.08
2002/9/21,Chromium,0.826666667
2002/10/12,Chromium,7.826666667
2002/10/15,Chromium,31.8
2002/10/26,Chromium,2.446666667
2002/11/21,Chromium,4.383333333
2002/12/18,Chromium,4.72
2003/1/24,Chromium,7.66
2003/2/21,Chromium,3.713333333
2003/3/21,Chromium,5.27
2003/4/25,Chromium,1.206666667
2003/5/21,Chromium,3.663333333
2003/6/26,Chromium,6.571666667
2003/7/24,Chromium,1.976666667
2003/8/15,Chromium,49.47
2003/8/27,Chromium,0.752
2003/9/17,Chromium,1.64
2003/10/25,Chromium,0.636
2003/11/20,Chromium,2.476666667
2004/2/19,Chromium,3.24
2004/4/24,Chromium,1.259333333
2004/5/22,Chromium,2.862
2004/6/12,Chromium,2.053
2004/7/10,Chromium,3.063333333
2004/8/19,Chromium,1.693333333
2004/9/3,Chromium,1.143
2004/10/9,Chromium,1.389666667
2004/11/12,Chromium,2.319333333
2004/12/11,Chromium,1.818666667
2005/1/16,Chromium,11.795
2005/2/11,Chromium,12.70866667
2005/3/11,Chromium,1.387666667
2005/4/8,Chromium,1.453333333
2005/5/13,Chromium,3.208
2005/6/10,Chromium,3.340333333
2005/7/8,Chromium,1.093333333
2005/8/12,Chromium,2.272666667
2005/9/9,Chromium,0.621333333
2005/10/14,Chromium,0.559
2005/11/11,Chromium,1.708666667
2005/12/9,Chromium,4.904333333
2006/1/13,Chromium,11.61
2006/2/10,Chromium,0.679666667
2006/3/9,Chromium,0.969666667
2006/4/15,Chromium,2.961666667
2006/5/11,Chromium,1.478
2006/6/26,Chromium,2.584666667
2006/7/11,Chromium,1.759
2006/8/10,Chromium,0.502
2006/9/14,Chromium,0.789
2006/10/12,Chromium,0.312
2006/11/9,Chromium,2.486
2006/12/7,Chromium,1.095666667
2007/1/11,Chromium,0.725
2007/2/8,Chromium,1.166
2007/3/15,Chromium,9.219
2007/4/12,Chromium,2.786333333
2007/5/10,Chromium,0.811666667
2007/6/9,Chromium,1.575
2007/7/7,Chromium,2.062
2007/8/11,Chromium,0.807
2007/9/30,Chromium,2.119333333
2007/10/13,Chromium,4.620666667
2007/11/21,Chromium,1.295
2007/12/13,Chromium,2.716
2008/1/10,Chromium,2.533333333
2008/4/14,Chromium,2.4
2008/6/15,Chromium,4.5
2008/9/7,Chromium,4.966666667
2008/10/12,Chromium,2.233333333
2008/11/7,Chromium,2.566666667
2008/12/12,Chromium,1.666666667
2009/4/17,Chromium,8.966666667
2009/5/8,Chromium,4.3
2009/6/12,Chromium,4.5
2009/7/11,Chromium,4.866666667
2009/8/8,Chromium,5.333333333
2009/9/9,Chromium,4.6
2009/10/10,Chromium,2.566666667
2009/11/13,Chromium,2.566666667
2009/12/5,Chromium,2.433333333
2010/1/10,Chromium,5.433333333
2010/2/7,Chromium,3.233333333
2010/3/12,Chromium,3.7
2010/4/8,Chromium,2.633333333
2010/5/14,Chromium,6
2010/6/19,Chromium,3.066666667
2010/7/18,Chromium,2.1
2010/8/14,Chromium,2.6
2010/9/2,Chromium,2.566666667
2010/10/15,Chromium,2.033333333
2010/11/9,Chromium,3.733333333
2010/12/11,Chromium,3.8
2011/1/15,Chromium,3.8
2011/2/10,Chromium,2.6
2011/2/12,Chromium,3.3
2011/3/11,Chromium,4.433333333
2011/4/6,Chromium,1.666666667
2011/5/12,Chromium,1.6
2011/6/18,Chromium,2.1
2011/7/14,Chromium,2.066666667
2011/8/6,Chromium,1.933333333
2011/9/9,Chromium,2.3
2011/10/14,Chromium,2.7
2011/11/11,Chromium,2.5
2011/12/9,Chromium,2.666666667
2012/1/14,Chromium,1.666666667
2012/2/11,Chromium,1.766666667
2012/6/8,Chromium,1.966666667
2014/1/11,Chromium,2.3
2014/6/12,Chromium,2.633333333
2014/9/6,Chromium,0
2014/9/11,Chromium,1.083666667
2014/10/9,Chromium,0.463333333
2014/11/6,Chromium,0.816666667
2014/12/11,Chromium,0
2015/1/8,Chromium,1.982
2015/2/12,Chromium,0
2015/3/12,Chromium,4.111666667
2015/4/2,Chromium,1.453333333
2015/5/14,Chromium,2.333333333
2015/6/4,Chromium,0
2015/7/2,Chromium,3.911666667
2015/8/19,Chromium,0
2015/9/24,Chromium,3.516666667
2015/10/8,Chromium,2.036666667
2015/11/19,Chromium,0
2015/12/10,Chromium,2.533666667
2016/1/9,Chromium,1.306666667
2016/2/11,Chromium,1.673333333
2016/3/11,Chromium,1.38
2016/4/1,Chromium,0.7
2016/5/13,Chromium,1.22
2016/6/3,Chromium,1.68
2016/7/1,Chromium,4.09
2016/8/7,Chromium,1.03
2016/9/16,Chromium,4.55
2016/10/2,Chromium,2.223333333
2016/11/11,Chromium,5.23
2016/12/2,Chromium,1.37
1998/1/26,Copper,10
1998/2/24,Copper,0
1998/3/21,Copper,0
1998/4/18,Copper,43.33333333
1998/5/26,Copper,10
1998/6/29,Copper,11.33333333
1998/7/26,Copper,10
1998/8/15,Copper,62.2
1998/8/25,Copper,1
1998/9/20,Copper,10
1998/10/23,Copper,24
1998/11/20,Copper,20
1998/12/17,Copper,26
1999/1/21,Copper,35.66666667
1999/2/26,Copper,24.66666667
1999/3/24,Copper,16.33333333
1999/4/23,Copper,22
1999/5/28,Copper,26.66666667
1999/6/23,Copper,14
1999/7/15,Copper,39.4
1999/7/25,Copper,11.33333333
1999/8/15,Copper,42.1
1999/8/30,Copper,13.33333333
1999/9/19,Copper,14.33333333
1999/10/22,Copper,21.33333333
1999/11/26,Copper,30
1999/12/16,Copper,37.33333333
2000/1/19,Copper,17.39
2000/2/18,Copper,41.57
2000/3/24,Copper,35.71666667
2000/4/29,Copper,5.666666667
2000/5/27,Copper,36.28333333
2000/6/25,Copper,20.66666667
2000/7/15,Copper,34
2000/7/28,Copper,17.66666667
2000/8/15,Copper,48.1
2000/8/28,Copper,17.66666667
2000/9/23,Copper,8.333333333
2000/10/18,Copper,41.33333333
2000/11/25,Copper,18.66666667
2000/12/30,Copper,43
2001/1/27,Copper,29.66666667
2001/2/24,Copper,18.33333333
2001/3/25,Copper,40.66666667
2001/4/29,Copper,19.33333333
2001/5/27,Copper,13.66666667
2001/6/21,Copper,10.13333333
2001/7/27,Copper,50.83666667
2001/8/28,Copper,22.51666667
2001/9/25,Copper,20.3
2001/11/23,Copper,23.54666667
2001/12/21,Copper,34.07666667
2002/3/26,Copper,55.32
2002/4/27,Copper,55.52
2002/6/22,Copper,15.94666667
2002/8/21,Copper,30.63333333
2002/9/21,Copper,10.45
2002/10/12,Copper,11.02333333
2002/10/15,Copper,57.2
2002/10/26,Copper,3.816666667
2002/11/21,Copper,2.4
2002/12/18,Copper,9.016666667
2003/1/24,Copper,7.596666667
2003/2/21,Copper,6.486666667
2003/3/21,Copper,3.78
2003/4/25,Copper,9.44
2003/5/21,Copper,10.72333333
2003/6/26,Copper,10.39333333
2003/7/24,Copper,5.346666667
2003/8/15,Copper,184.935
2003/8/27,Copper,5.506666667
2003/9/17,Copper,6.38
2003/10/25,Copper,8.026666667
2003/11/20,Copper,9.016666667
2004/2/19,Copper,10.39333333
2004/4/24,Copper,12.17666667
2004/5/22,Copper,9.814333333
2004/6/12,Copper,5.346333333
2004/7/10,Copper,8.535
2004/8/19,Copper,6.32
2004/9/3,Copper,6.026666667
2004/10/9,Copper,4.605666667
2004/11/12,Copper,8.008666667
2004/12/11,Copper,7.440333333
2005/1/16,Copper,20.946666
2005/2/11,Copper,14.20666667
2005/3/11,Copper,9.784666667
2005/4/8,Copper,4.621333333
2005/5/13,Copper,7.248
2005/6/10,Copper,2.627666667
2005/7/8,Copper,6.935666667
2005/8/12,Copper,4.794333333
2005/9/9,Copper,6.928333333
2005/10/14,Copper,6.545
2005/11/11,Copper,5.922666667
2005/12/9,Copper,21.26333367
2006/1/13,Copper,19.004
2006/2/10,Copper,8.180333333
2006/3/9,Copper,6.250333333
2006/4/15,Copper,7.438333333
2006/5/11,Copper,5.439666667
2006/6/26,Copper,18.72933333
2006/7/11,Copper,8.874666667
2006/8/10,Copper,6.213
2006/9/14,Copper,5.964
2006/10/12,Copper,10.60766667
2006/11/9,Copper,8.054333333
2006/12/7,Copper,5.196666667
2007/1/11,Copper,6.806333333
2007/2/8,Copper,23.78966667
2007/3/15,Copper,8.959666667
2007/4/12,Copper,11.58266667
2007/5/10,Copper,6.736666667
2007/6/9,Copper,17.326
2007/7/7,Copper,18.82
2007/8/11,Copper,4.608
2007/9/30,Copper,12.05433333
2007/10/13,Copper,15.01966667
2007/11/21,Copper,5.843333333
2007/12/13,Copper,19.69333333
2008/1/10,Copper,18.93333333
2008/4/14,Copper,3.833333333
2008/6/15,Copper,8.8
2008/9/7,Copper,18.33333333
2008/10/12,Copper,1.5
2008/11/7,Copper,3.433333333
2008/12/12,Copper,2.066666667
2009/4/17,Copper,4
2009/5/8,Copper,6.7
2009/6/12,Copper,4.833333333
2009/7/11,Copper,5.2
2009/8/8,Copper,4.866666667
2009/9/9,Copper,7.033333333
2009/10/10,Copper,3.966666667
2009/11/13,Copper,5.133333333
2009/12/5,Copper,3.8
2010/1/10,Copper,4.066666667
2010/2/7,Copper,5.366666667
2010/3/12,Copper,5.366666667
2010/4/8,Copper,2.3
2010/5/14,Copper,2.366666667
2010/6/19,Copper,3.2
2010/7/18,Copper,3.533333333
2010/8/14,Copper,3.4
2010/9/2,Copper,4.4
2010/10/15,Copper,2.966666667
2010/11/9,Copper,3.333333333
2010/12/11,Copper,2.7
2011/1/15,Copper,3.933333333
2011/2/10,Copper,3.4
2011/2/12,Copper,8.8
2011/3/11,Copper,3.933333333
2011/4/6,Copper,6.966666667
2011/5/12,Copper,6
2011/6/18,Copper,5.466666667
2011/7/14,Copper,2.733333333
2011/8/6,Copper,2.233333333
2011/9/9,Copper,4.333333333
2011/10/14,Copper,2.466666667
2011/11/11,Copper,3.433333333
2011/12/9,Copper,2.433333333
2012/1/14,Copper,3.233333333
2012/2/11,Copper,2.733333333
2012/6/8,Copper,5.8
2014/1/11,Copper,2.033333333
2014/6/12,Copper,2.366666667
2014/9/6,Copper,28.91533333
2014/9/11,Copper,19.24433333
2014/10/9,Copper,29.19
2014/11/6,Copper,7.396666667
2014/12/11,Copper,14.40333333
2015/1/8,Copper,22.34333333
2015/2/12,Copper,23.93333333
2015/3/12,Copper,7.143333333
2015/4/2,Copper,7.553333333
2015/5/14,Copper,6.573333333
2015/6/4,Copper,5.081666667
2015/7/2,Copper,9.05
2015/8/19,Copper,5.896666667
2015/9/24,Copper,9.433333333
2015/10/8,Copper,8.083333333
2015/11/19,Copper,13.52
2015/12/10,Copper,7.953333333
2016/1/9,Copper,4.813333333
2016/2/11,Copper,12.57333333
2016/3/11,Copper,9.493333333
2016/4/1,Copper,6.143333333
2016/5/13,Copper,14.03666667
2016/6/3,Copper,9.6
2016/7/1,Copper,10.79666667
2016/8/7,Copper,5.98
2016/9/16,Copper,7.253333333
2016/10/2,Copper,7.2
2016/11/11,Copper,11.17666667
2016/12/2,Copper,6.6
1998/1/26,Lead,0
1998/2/24,Lead,0
1998/3/21,Lead,10
1998/4/18,Lead,16.66666667
1998/5/26,Lead,0
1998/6/29,Lead,10
1998/7/26,Lead,0
1998/8/15,Lead,22.25
1998/8/25,Lead,20
1998/9/20,Lead,0
1998/10/23,Lead,48.66666667
1998/11/20,Lead,33.33333333
1998/12/17,Lead,20
1999/1/21,Lead,32.33333333
1999/2/26,Lead,8.5
1999/3/24,Lead,8.333333333
1999/4/23,Lead,29.66666667
1999/5/28,Lead,14.66666667
1999/6/23,Lead,26
1999/7/15,Lead,61.5
1999/7/25,Lead,31.66666667
1999/8/15,Lead,34.92
1999/8/30,Lead,20.33333333
1999/9/19,Lead,24.33333333
1999/10/22,Lead,41.66666667
1999/11/26,Lead,21.33333333
1999/12/16,Lead,27
2000/1/19,Lead,14.85333333
2000/2/18,Lead,25.41333333
2000/3/24,Lead,57.73333333
2000/4/29,Lead,20
2000/5/27,Lead,16.3
2000/6/25,Lead,19.33333333
2000/7/15,Lead,46.22
2000/7/28,Lead,22.66666667
2000/8/15,Lead,12
2000/8/28,Lead,38.66666667
2000/9/23,Lead,12.66666667
2000/10/18,Lead,22
2000/11/25,Lead,14
2000/12/30,Lead,13.33333333
2001/1/27,Lead,2.666666667
2001/2/24,Lead,3
2001/3/25,Lead,3
2001/4/29,Lead,26.66666667
2001/5/27,Lead,15.66666667
2001/6/21,Lead,8.666666667
2001/7/27,Lead,31.27666667
2001/8/28,Lead,21.84
2001/9/25,Lead,4.783333333
2002/3/26,Lead,3.82
2002/4/27,Lead,3.976666667
2002/6/22,Lead,1.833333333
2002/8/21,Lead,6.67
2002/9/21,Lead,7.346666667
2002/10/12,Lead,3.926666667
2002/10/15,Lead,51.2
2002/10/26,Lead,6.993333333
2002/11/21,Lead,16.11
2003/1/24,Lead,8.296666667
2003/2/21,Lead,10.37
2003/3/21,Lead,7.406666667
2003/4/25,Lead,7.983333333
2003/5/21,Lead,6.563333333
2003/6/26,Lead,7.61
2003/7/24,Lead,1.897666667
2003/8/15,Lead,42.84
2003/8/27,Lead,0.220666667
2003/9/17,Lead,4.558
2003/10/25,Lead,3.45
2003/11/20,Lead,2.686666667
2004/2/19,Lead,4.87
2004/4/24,Lead,2.444
2004/5/22,Lead,0.607666667
2004/6/12,Lead,6.417
2004/7/10,Lead,3.085333333
2004/8/19,Lead,5.242
2004/9/3,Lead,1.954666667
2004/10/9,Lead,3.137666667
2004/11/12,Lead,1.286333333
2004/12/11,Lead,2.645666667
2005/1/16,Lead,1.837333333
2005/2/11,Lead,5.463
2005/3/11,Lead,6.684
2005/4/8,Lead,2.868666667
2005/5/13,Lead,6.135
2005/6/10,Lead,7.158666667
2005/7/8,Lead,2.198
2005/8/12,Lead,2.961333333
2005/9/9,Lead,0.828333333
2005/10/14,Lead,3.317
2005/11/11,Lead,1.533333333
2005/12/9,Lead,6.303666667
2006/1/13,Lead,2.301
