sampleTime,name,value
1998/4/16,Chromium,4
1998/6/27,Chromium,12
1998/8/22,Chromium,13
1998/10/1,Chromium,0
1998/11/14,Chromium,27
1998/12/13,Chromium,39
1999/1/16,Chromium,46
1999/2/13,Chromium,37
1999/3/13,Chromium,8.6
1999/4/22,Chromium,10
1999/5/15,Chromium,3
1999/6/18,Chromium,15
1999/7/15,Chromium,29.8
1999/7/24,Chromium,12
1999/8/15,Chromium,26.9
1999/8/28,Chromium,18
1999/9/18,Chromium,15
1999/10/20,Chromium,20
1999/11/7,Chromium,20
1999/12/11,Chromium,25
2000/1/16,Chromium,20.14
2000/2/12,Chromium,27.55
2000/3/12,Chromium,32.15
2000/4/16,Chromium,3
2000/5/14,Chromium,24.81
2000/6/29,Chromium,15
2000/7/15,Chromium,10.6
2000/7/16,Chromium,8
2000/8/15,Chromium,28.8
2000/8/25,Chromium,51
2000/9/10,Chromium,2
2000/10/15,Chromium,18
2000/11/12,Chromium,20
2000/12/10,Chromium,9
2001/1/28,Chromium,9
2001/2/18,Chromium,18
2001/3/18,Chromium,60
2001/4/27,Chromium,30
2001/5/13,Chromium,41
2001/6/19,Chromium,14.3
2001/7/27,Chromium,23.14
2001/8/26,Chromium,28.8
2001/10/14,Chromium,8.56
2001/11/15,Chromium,15.66
2001/12/9,Chromium,26.38
2002/3/23,Chromium,11.74
2002/4/27,Chromium,15.32
2002/5/25,Chromium,4.58
2002/6/29,Chromium,3.66
2002/8/24,Chromium,12.01
2002/9/21,Chromium,0.11
2002/10/10,Chromium,10.38
2002/10/15,Chromium,84.8
2002/10/26,Chromium,5.99
2002/11/23,Chromium,1.78
2002/12/22,Chromium,3.8
2003/1/26,Chromium,3.09
2003/2/28,Chromium,1.44
2003/3/23,Chromium,3.53
2003/4/26,Chromium,3.08
2003/5/24,Chromium,1.43
2003/6/21,Chromium,3.13
2003/7/26,Chromium,0.525
2003/8/9,Chromium,1.9
2003/8/15,Chromium,161.27
2003/9/13,Chromium,1.054
2003/11/29,Chromium,3.22
2003/12/20,Chromium,0.975
2004/2/28,Chromium,2.123
2004/3/28,Chromium,4.95
2004/4/25,Chromium,0.59
2004/5/30,Chromium,10.743
2004/6/27,Chromium,2.069
2004/7/25,Chromium,11.29
2004/8/29,Chromium,1.372
2004/9/27,Chromium,3.542
2004/10/24,Chromium,2.544
2004/11/28,Chromium,2.232
2004/12/19,Chromium,0.963
2005/1/30,Chromium,4.96
2005/2/27,Chromium,1.389
2005/3/27,Chromium,8.34
2005/4/25,Chromium,22.139999
2005/5/29,Chromium,0.553
2005/6/26,Chromium,4.292
2005/7/24,Chromium,17
2005/8/28,Chromium,1.95
2005/10/23,Chromium,2.491
2005/11/27,Chromium,2.617
2005/12/18,Chromium,2.847
2006/1/29,Chromium,6.201
2006/2/26,Chromium,0.26
2006/3/25,Chromium,11.44
2006/4/29,Chromium,0.374
2006/5/27,Chromium,0.844
2006/6/26,Chromium,1.295
2006/7/29,Chromium,5.443
2006/8/26,Chromium,4.466
2006/9/23,Chromium,3.402
2006/10/28,Chromium,0.402
2006/11/25,Chromium,3.849
2006/12/23,Chromium,2.383
2007/1/27,Chromium,1.979
2007/2/24,Chromium,10.11
2007/3/24,Chromium,2.985
2007/4/21,Chromium,1.786
2007/5/26,Chromium,4.567
2007/6/23,Chromium,9.306
2007/7/21,Chromium,17.16
2007/8/25,Chromium,2.342
2007/9/23,Chromium,4.605
2007/10/27,Chromium,18.2
2007/12/22,Chromium,25.67
2010/1/28,Chromium,4.3
2010/2/18,Chromium,4.2
2010/3/24,Chromium,7.8
2010/4/21,Chromium,9.1
2010/5/26,Chromium,4.3
2010/6/23,Chromium,6.5
2010/7/28,Chromium,3.9
2010/8/26,Chromium,3.9
2010/9/29,Chromium,5.8
2010/10/20,Chromium,5.2
2010/11/24,Chromium,4.2
2010/12/15,Chromium,3.7
2011/1/26,Chromium,8.59
2011/2/25,Chromium,4.293
2011/3/30,Chromium,4.1
2011/4/27,Chromium,10.2
2011/5/18,Chromium,3.8
2011/6/30,Chromium,3.9
2011/7/13,Chromium,2.5
2011/8/31,Chromium,2.87
2011/9/28,Chromium,3.4
2011/10/26,Chromium,3.2
2011/11/23,Chromium,4.6
2011/12/7,Chromium,4
2012/1/25,Chromium,3.9
2012/2/23,Chromium,18
2012/3/29,Chromium,19.8
2012/4/27,Chromium,15.1
2012/5/25,Chromium,12.9
2012/6/21,Chromium,17.3
2012/7/26,Chromium,13.5
2012/8/23,Chromium,18
2012/10/25,Chromium,17
2012/11/24,Chromium,7.7
2012/12/15,Chromium,1.5
2013/1/25,Chromium,2.2
2013/2/22,Chromium,9.3
2013/3/15,Chromium,2.91
2013/4/19,Chromium,2.4
2013/5/23,Chromium,2.1
2013/6/27,Chromium,3.6
2013/7/25,Chromium,7.5
2013/8/22,Chromium,1.6
2013/9/26,Chromium,1
2013/10/24,Chromium,0
2013/11/21,Chromium,0
2013/12/12,Chromium,2.8
2014/1/23,Chromium,1.1
2014/2/28,Chromium,2.1
2014/3/26,Chromium,1.5
2014/4/23,Chromium,0
2014/5/28,Chromium,2.1
2014/6/25,Chromium,2.6
2014/7/23,Chromium,1.6
2014/8/27,Chromium,1.6
2014/9/24,Chromium,2
2014/10/29,Chromium,1
2014/11/26,Chromium,2.5
2014/12/17,Chromium,1.4
1998/4/16,Copper,24
1998/6/27,Copper,12
1998/8/22,Copper,108
1998/10/1,Copper,0
1998/11/14,Copper,29
1998/12/13,Copper,35
1999/1/16,Copper,55
1999/2/13,Copper,32
1999/3/13,Copper,18
1999/4/22,Copper,12
1999/5/15,Copper,14
1999/6/18,Copper,29
1999/7/15,Copper,43.9
1999/7/24,Copper,20
1999/8/15,Copper,45.9
1999/8/28,Copper,17
1999/9/18,Copper,23
1999/10/20,Copper,8
1999/11/7,Copper,34
1999/12/11,Copper,37
2000/1/16,Copper,17.7
2000/2/12,Copper,31.63
2000/3/12,Copper,23.86
2000/4/16,Copper,2
2000/5/14,Copper,71.22
2000/6/29,Copper,40
2000/7/15,Copper,40
2000/7/16,Copper,9.85
2000/8/15,Copper,26
2000/8/25,Copper,24
2000/9/10,Copper,14
2000/10/15,Copper,16
2000/11/12,Copper,13
2000/12/10,Copper,12
2001/1/28,Copper,6
2001/2/18,Copper,26
2001/3/18,Copper,25
2001/4/27,Copper,14
2001/5/13,Copper,16
2001/6/19,Copper,18.3
2001/7/27,Copper,35.48
2001/8/26,Copper,37.52
2001/10/14,Copper,20.54
2001/11/15,Copper,16.81
2001/12/9,Copper,15.03
2002/3/23,Copper,17.97
2002/4/27,Copper,10.24
2002/5/25,Copper,10.24
2002/6/29,Copper,16.93
2002/8/24,Copper,31.6
2002/9/21,Copper,36.3
2002/10/10,Copper,10.42
2002/10/15,Copper,90.4
2002/10/26,Copper,1.85
2002/11/23,Copper,2.95
2002/12/22,Copper,10.83
2003/1/26,Copper,4.48
2003/2/28,Copper,6.35
2003/3/23,Copper,12.45
2003/4/26,Copper,9.79
2003/5/24,Copper,21.56
2003/6/21,Copper,11.35
2003/7/26,Copper,9.997
2003/8/9,Copper,5.484
2003/8/15,Copper,1123.13
2003/9/13,Copper,4.9
2003/11/29,Copper,7.98
2003/12/20,Copper,14.64
2004/2/28,Copper,23.34
2004/3/28,Copper,16.26
2004/4/25,Copper,15.77
2004/5/30,Copper,1.911
2004/6/27,Copper,11.3
2004/7/25,Copper,12.792
2004/8/29,Copper,2.47
2004/9/27,Copper,17.86
2004/10/24,Copper,4.087
2004/11/28,Copper,10.88
2004/12/19,Copper,1.846
2005/1/30,Copper,3.035
2005/2/27,Copper,16.120001
2005/3/27,Copper,8.732
2005/4/25,Copper,6.501
2005/5/29,Copper,1.887
2005/6/26,Copper,1.884
2005/7/24,Copper,2.205
2005/8/28,Copper,1.964
2005/10/23,Copper,20.17
2005/11/27,Copper,8.356
2005/12/18,Copper,5.473
2006/1/29,Copper,3.02
2006/2/26,Copper,4.892
2006/3/25,Copper,0.41
2006/4/29,Copper,2.875
2006/5/27,Copper,4.735
2006/6/26,Copper,7.937
2006/7/29,Copper,2.423
2006/8/26,Copper,7.754
2006/9/23,Copper,1.93
2006/10/28,Copper,21.16
2006/11/25,Copper,10.56
2006/12/23,Copper,12.06
2007/1/27,Copper,4.249
2007/2/24,Copper,1.839
2007/3/24,Copper,3.2
2007/4/21,Copper,4.883
2007/5/26,Copper,3.193
2007/6/23,Copper,27.78
2007/7/21,Copper,4.104
2007/8/25,Copper,15.72
2007/9/23,Copper,35.105
2007/10/27,Copper,27.83
2007/12/22,Copper,21.24
2010/1/28,Copper,2
2010/2/18,Copper,6.5
2010/3/24,Copper,19.1
2010/4/21,Copper,17.2
2010/5/26,Copper,10
2010/6/23,Copper,14.8
2010/7/28,Copper,6.2
2010/8/26,Copper,12.5
2010/9/29,Copper,12.6
2010/10/20,Copper,15.8
2010/11/24,Copper,8.8
2010/12/15,Copper,7.3
2011/1/26,Copper,32.47
2011/2/25,Copper,138.07
2011/3/30,Copper,10.4
2011/4/27,Copper,47
2011/5/18,Copper,5.4
2011/6/30,Copper,6.5
2011/7/13,Copper,15.4
2011/8/31,Copper,17.8
2011/9/28,Copper,21.2
2011/10/26,Copper,18.6
2011/11/23,Copper,22.4
2011/12/7,Copper,17.6
2012/1/25,Copper,11.8
2012/2/23,Copper,32.8
2012/3/29,Copper,22
2012/4/27,Copper,17.8
2012/5/25,Copper,32
2012/6/21,Copper,16.7
2012/7/26,Copper,14.3
2012/8/23,Copper,10
2012/10/25,Copper,14
2012/11/24,Copper,8.6
2012/12/15,Copper,2.8
2013/1/25,Copper,4.3
2013/2/22,Copper,5.5
2013/3/15,Copper,2.4
2013/4/19,Copper,4.9
2013/5/23,Copper,2.9
2013/6/27,Copper,4.1
2013/7/25,Copper,6
2013/8/22,Copper,2.6
2013/9/26,Copper,2.5
2013/10/24,Copper,1.5
2013/11/21,Copper,1.4
2013/12/12,Copper,2
2014/1/23,Copper,1.9
2014/2/28,Copper,2.5
2014/3/26,Copper,2.9
2014/4/23,Copper,2.2
2014/5/28,Copper,6
2014/6/25,Copper,6.1
2014/7/23,Copper,5.9
2014/8/27,Copper,1.3
2014/9/24,Copper,4.4
2014/10/29,Copper,2
2014/11/26,Copper,2.8
2014/12/17,Copper,1.5
1998/4/16,Lead,90
1998/6/27,Lead,34
1998/8/22,Lead,52
1998/10/1,Lead,0
1998/11/14,Lead,92
1998/12/13,Lead,40
1999/1/16,Lead,2
1999/2/13,Lead,18
1999/3/13,Lead,7
1999/4/22,Lead,18
1999/5/15,Lead,11
1999/6/18,Lead,31
1999/7/15,Lead,41.38
1999/7/24,Lead,50
1999/8/15,Lead,35.83
1999/8/28,Lead,25
1999/9/18,Lead,28
1999/10/20,Lead,87
1999/11/7,Lead,47
1999/12/11,Lead,40
2000/1/16,Lead,26.4
2000/2/12,Lead,33.61
2000/3/12,Lead,74.62
2000/4/16,Lead,77
2000/5/14,Lead,29.65
2000/6/29,Lead,39
2000/7/15,Lead,24.32
2000/7/16,Lead,39.05
2000/8/15,Lead,12
2000/8/25,Lead,96
2000/9/10,Lead,33
2000/10/15,Lead,16
2000/11/12,Lead,17
2000/12/10,Lead,16
2001/1/28,Lead,3
2001/2/18,Lead,3
2001/3/18,Lead,2
2001/4/27,Lead,20
2001/5/13,Lead,14
2001/6/19,Lead,30
2001/7/27,Lead,44.52
2001/8/26,Lead,41.46
2001/10/14,Lead,5.67
2001/11/15,Lead,11.45
2001/12/9,Lead,1.61
2002/3/23,Lead,1.91
2002/4/27,Lead,2.15
2002/5/25,Lead,17.71
2002/6/29,Lead,1.12
2002/8/24,Lead,7.05
2002/9/21,Lead,8.68
2002/10/10,Lead,0.81
2002/10/15,Lead,35.7
2002/10/26,Lead,9.18
2002/11/23,Lead,23.64
2003/1/26,Lead,6.06
2003/2/28,Lead,9.69
2003/3/23,Lead,7.65
2003/4/26,Lead,9.64
2003/5/24,Lead,8.21
2003/6/21,Lead,7.47
2003/7/26,Lead,9.21
2003/8/15,Lead,222.94
2003/9/13,Lead,4.409
2003/11/29,Lead,1.68
2003/12/20,Lead,6.52
2004/2/28,Lead,7.52
2004/3/28,Lead,4.638
2004/4/25,Lead,4.679
2004/5/30,Lead,3.942
2004/6/27,Lead,9.058
2004/7/25,Lead,6.125
2004/8/29,Lead,2.14
2004/9/27,Lead,6.129
2004/10/24,Lead,4.435
2004/11/28,Lead,1.073
2004/12/19,Lead,0.367
2005/1/30,Lead,0.574
2005/2/27,Lead,4.915
2005/3/27,Lead,5.177
2005/4/25,Lead,14.92
2005/5/29,Lead,5.325
2005/6/26,Lead,11.33
2005/7/24,Lead,7.355
2005/8/28,Lead,7.622
2005/10/23,Lead,9.688
2005/11/27,Lead,8.889
2005/12/18,Lead,7.741
2006/1/29,Lead,0.718
2006/2/26,Lead,3.906
2006/3/25,Lead,10.45
2006/4/29,Lead,2.588
2006/5/27,Lead,12.03
2006/6/26,Lead,9.827
2006/7/29,Lead,18.39
2006/8/26,Lead,15.76
2006/9/23,Lead,3.938
2006/10/28,Lead,17.89
2006/11/25,Lead,34.9
2006/12/23,Lead,10.893
2007/1/27,Lead,3.865
2007/2/24,Lead,12.8
2007/3/24,Lead,3.08
2007/4/21,Lead,1.947
2007/5/26,Lead,2.103
2007/6/23,Lead,7.39
2007/7/21,Lead,1.758
2007/8/25,Lead,8.883
2007/9/23,Lead,2.029
2007/10/27,Lead,7.1
2007/12/22,Lead,5.626
2010/1/28,Lead,2.3
2010/2/18,Lead,4.3
2010/3/24,Lead,2.3
2010/4/21,Lead,10.2
2010/5/26,Lead,3.7
2010/6/23,Lead,2.6
2010/7/28,Lead,2.7
2010/8/26,Lead,3.8
2010/9/29,Lead,8.6
2010/10/20,Lead,4
2010/11/24,Lead,6.8
2010/12/15,Lead,4.5
2011/1/26,Lead,7.21
2011/2/25,Lead,5.153
2011/3/30,Lead,1.2
2011/4/27,Lead,4.7
2011/5/18,Lead,2.1
2011/6/30,Lead,2.5
2011/7/13,Lead,1.86
2011/8/31,Lead,2.75
2011/9/28,Lead,1.74
2011/10/26,Lead,2.31
2011/11/23,Lead,4
2011/12/7,Lead,3.2
2012/1/25,Lead,0.87
2012/2/23,Lead,4.6
2012/3/29,Lead,3.8
2012/4/27,Lead,4.6
2012/5/25,Lead,7.8
2012/6/21,Lead,2.6
2012/7/26,Lead,3.7
2012/8/23,Lead,5.8
2012/10/25,Lead,5.8
2012/11/24,Lead,3.3
2012/12/15,Lead,0.92
2013/1/25,Lead,1.2
2013/2/22,Lead,5.9
2013/3/15,Lead,5.4
2013/4/19,Lead,1.9
2013/5/23,Lead,1.3
2013/6/27,Lead,1.7
2013/7/25,Lead,3.1
2013/8/22,Lead,0.89
2013/9/26,Lead,0.78
2013/10/24,Lead,0.57
2013/11/21,Lead,0
2013/12/12,Lead,0.4
2014/1/23,Lead,0
2014/2/28,Lead,1.1
2014/3/26,Lead,0.52
2014/4/23,Lead,0.52
2014/5/28,Lead,0.85
2014/6/25,Lead,1.8
2014/7/23,Lead,0
2014/8/27,Lead,0
2014/9/24,Lead,0
2014/10/29,Lead,0
2014/11/26,Lead,0.62
2014/12/17,Lead,0.42
1998/4/16,Manganese,0.004
1998/6/27,Manganese,0.64
1998/8/22,Manganese,0.24
1998/10/1,Manganese,0
1998/11/14,Manganese,0.3
1998/12/13,Manganese,0.02
1999/1/16,Manganese,0.4
1999/2/13,Manganese,1.17
1999/3/13,Manganese,0.11
1999/4/22,Manganese,0.005
1999/5/15,Manganese,0.07
1999/6/18,Manganese,0.3
1999/7/15,Manganese,368
1999/7/24,Manganese,0.06
1999/8/15,Manganese,350
1999/8/28,Manganese,0.06
1999/9/18,Manganese,0.06
1999/10/20,Manganese,0.12
1999/11/7,Manganese,0.09
1999/12/11,Manganese,0.11
2000/1/16,Manganese,0.09
2000/2/12,Manganese,0.16
2000/3/12,Manganese,0.15
