sampleTime,name,value
1998/4/18,Chromium,147
1998/6/30,Chromium,10
1998/8/15,Chromium,14.9
1998/8/26,Chromium,9
1998/10/24,Chromium,6.333333333
1998/11/20,Chromium,12.63333333
1998/12/10,Chromium,7
1999/1/16,Chromium,10.33333333
1999/2/27,Chromium,15.66666667
1999/3/25,Chromium,3.133333333
1999/4/26,Chromium,14.33333333
1999/5/26,Chromium,21
1999/6/25,Chromium,6.333333333
1999/7/15,Chromium,49.7
1999/7/26,Chromium,22.62
1999/7/28,Chromium,8.333333333
1999/8/15,Chromium,25.3
1999/8/31,Chromium,7.333333333
1999/9/21,Chromium,9.666666667
1999/10/23,Chromium,14
1999/11/26,Chromium,6.333333333
1999/12/15,Chromium,9
2000/1/19,Chromium,16.94
2000/2/19,Chromium,30.9
2000/3/23,Chromium,30.34
2000/4/29,Chromium,1
2000/5/26,Chromium,27.20666667
2000/6/24,Chromium,5.333333333
2000/7/15,Chromium,3
2000/7/29,Chromium,7.666666667
2000/8/15,Chromium,23.2
2000/8/29,Chromium,15.33333333
2000/9/21,Chromium,15
2000/10/19,Chromium,18
2000/11/23,Chromium,16.33333333
2000/12/30,Chromium,14
2001/1/25,Chromium,39.33333333
2001/2/22,Chromium,26.66666667
2001/3/22,Chromium,24
2001/4/30,Chromium,13
2001/5/27,Chromium,11.66666667
2001/6/21,Chromium,14.6
2001/7/27,Chromium,4.23
2001/8/29,Chromium,18.18
2001/9/25,Chromium,9.34
2001/11/23,Chromium,7.303333333
2001/12/21,Chromium,8.013333333
2002/3/28,Chromium,13.81666667
2002/4/27,Chromium,11.92666667
2002/6/22,Chromium,2.633333333
2002/8/23,Chromium,4.97
2002/9/21,Chromium,0.963333333
2002/10/12,Chromium,3.853333333
2002/10/15,Chromium,50.8
2002/10/26,Chromium,2.803333333
2002/11/21,Chromium,3.28
2002/12/14,Chromium,3.04
2003/1/24,Chromium,1.983333333
2003/2/21,Chromium,1.666666667
2003/3/20,Chromium,2.15
2003/4/26,Chromium,1.986666667
2003/5/22,Chromium,1.263333333
2003/6/26,Chromium,1.443666667
2003/7/24,Chromium,1.533333333
2003/8/15,Chromium,43.42
2003/8/28,Chromium,3.116333333
2003/9/18,Chromium,1.9
2003/10/23,Chromium,1.424333333
2003/11/20,Chromium,0.94
2004/1/29,Chromium,13.63
2004/2/19,Chromium,2.93
2004/3/19,Chromium,2.363333333
2004/4/23,Chromium,1.278333333
2004/5/22,Chromium,2.535666667
2004/6/12,Chromium,5.551666667
2004/7/10,Chromium,3.88
2004/8/19,Chromium,1.86
2004/9/3,Chromium,1.106666667
2004/10/9,Chromium,4.403
2004/11/12,Chromium,1.527
2004/12/11,Chromium,1.065
2005/1/16,Chromium,2.665
2005/2/11,Chromium,2.567333333
2005/3/11,Chromium,2.679
2005/4/8,Chromium,4.239333333
2005/5/13,Chromium,1.064666667
2005/6/10,Chromium,1.829
2005/7/8,Chromium,1.050333333
2005/8/12,Chromium,1.134666667
2005/9/9,Chromium,1.256666667
2005/10/14,Chromium,0.707666667
2005/11/11,Chromium,4.402333333
2005/12/9,Chromium,5.687666667
2006/1/13,Chromium,2.798666667
2006/2/10,Chromium,5.450666667
2006/3/9,Chromium,1.532333333
2006/4/15,Chromium,3.165
2006/5/11,Chromium,1.07
2006/6/8,Chromium,4.406666667
2006/7/13,Chromium,1.668666667
2006/8/10,Chromium,0.191
2006/9/7,Chromium,1.092
2006/10/12,Chromium,0.838
2006/11/9,Chromium,3.008333333
2006/12/7,Chromium,0.734666667
2007/1/11,Chromium,1.113666667
2007/2/15,Chromium,1.401666667
2007/3/15,Chromium,6.316
2007/4/12,Chromium,2.657
2007/5/10,Chromium,1.734
2007/6/7,Chromium,3.246333333
2007/7/7,Chromium,1.525333333
2007/8/11,Chromium,0.991666667
2007/9/6,Chromium,1.759
2007/10/13,Chromium,6.480666667
2007/11/10,Chromium,1.639
2007/12/8,Chromium,5.486
2008/1/12,Chromium,2.366666667
2008/2/23,Chromium,1.066666667
2008/4/11,Chromium,2.633333333
2008/6/13,Chromium,0.97
2008/9/6,Chromium,9.666666667
2008/10/12,Chromium,2.466666667
2008/11/7,Chromium,3.5
2008/12/12,Chromium,1.5
2009/4/17,Chromium,10.9
2009/5/8,Chromium,3.8
2009/6/12,Chromium,5.8
2009/7/11,Chromium,3.7
2009/8/8,Chromium,3.7
2009/9/7,Chromium,3.866666667
2009/10/8,Chromium,3.766666667
2009/11/13,Chromium,2.533333333
2009/12/5,Chromium,2.333333333
2010/1/10,Chromium,4.066666667
2010/2/7,Chromium,3.866666667
2010/3/12,Chromium,6.633333333
2010/4/8,Chromium,2.033333333
2010/5/14,Chromium,4.333333333
2010/6/19,Chromium,4.366666667
2010/7/18,Chromium,4.766666667
2010/8/14,Chromium,4.9
2010/9/2,Chromium,4.1
2010/10/15,Chromium,3.366666667
2010/11/10,Chromium,2.766666667
2010/12/11,Chromium,2.766666667
2011/1/13,Chromium,2.766666667
2011/2/10,Chromium,2.3
2011/3/10,Chromium,2.666666667
2011/4/7,Chromium,4.066666667
2011/5/12,Chromium,4.933333333
2011/6/18,Chromium,3.9
2011/7/8,Chromium,2.366666667
2011/8/6,Chromium,2.533333333
2011/9/9,Chromium,2.8
2011/10/15,Chromium,4.3
2011/11/11,Chromium,2.2
2011/12/9,Chromium,2.6
2012/1/14,Chromium,2.833333333
2012/2/11,Chromium,1.5
2014/8/22,Chromium,1.443666667
2014/9/6,Chromium,1.356666667
2014/9/12,Chromium,0.433333333
2014/10/15,Chromium,0
2014/11/6,Chromium,0.336666667
2014/12/11,Chromium,0
2015/1/8,Chromium,0.369333333
2015/2/12,Chromium,0.356666667
2015/3/12,Chromium,5.05
2015/4/2,Chromium,1.72
2015/5/14,Chromium,2.01
2015/6/18,Chromium,2.142333333
2015/7/10,Chromium,0
2015/8/20,Chromium,0
2015/9/25,Chromium,2.108666667
2015/10/8,Chromium,1.936666667
2015/11/19,Chromium,0
2015/12/10,Chromium,2.143333333
2016/1/9,Chromium,1.576666667
2016/2/11,Chromium,1.495
2016/3/11,Chromium,1.746666667
2016/4/1,Chromium,0.583333333
2016/5/13,Chromium,2.17
2016/6/11,Chromium,2.05
2016/7/8,Chromium,0.64
2016/8/19,Chromium,2.71
2016/9/3,Chromium,1.213333333
2016/10/1,Chromium,0.943333333
2016/11/4,Chromium,3.106666667
2016/12/2,Chromium,1.34
1998/4/18,Copper,29
1998/6/30,Copper,11
1998/8/15,Copper,19.7
1998/8/26,Copper,34
1998/10/24,Copper,27.66666667
1998/11/20,Copper,22.33333333
1998/12/10,Copper,24
1999/1/16,Copper,44.33333333
1999/2/27,Copper,28
1999/3/25,Copper,13.66666667
1999/4/26,Copper,17
1999/5/26,Copper,36.23666667
1999/6/25,Copper,11.66666667
1999/7/15,Copper,46.4
1999/7/26,Copper,67.67
1999/7/28,Copper,15
1999/8/15,Copper,45.4
1999/8/31,Copper,12.33333333
1999/9/21,Copper,17
1999/10/23,Copper,15.33333333
1999/11/26,Copper,37
1999/12/15,Copper,65.33333333
2000/1/19,Copper,64.43333333
2000/2/19,Copper,42.8
2000/3/23,Copper,36.38
2000/4/29,Copper,2
2000/5/26,Copper,50.79333333
2000/6/24,Copper,20.33333333
2000/7/15,Copper,34
2000/7/29,Copper,20
2000/8/15,Copper,45.3
2000/8/29,Copper,16.66666667
2000/9/21,Copper,16
2000/10/19,Copper,32
2000/11/23,Copper,19
2000/12/30,Copper,10.66666667
2001/1/25,Copper,26
2001/2/22,Copper,24.66666667
2001/3/22,Copper,28.33333333
2001/4/30,Copper,23.33333333
