sampleTime,name,value
1998/4/17,Chromium,42
1998/6/29,Chromium,21
1998/8/24,Chromium,10
1998/10/30,Chromium,11
1998/11/28,Chromium,7
1998/12/19,Chromium,37
1999/1/27,Chromium,13
1999/2/20,Chromium,18
1999/3/19,Chromium,1.6
1999/4/23,Chromium,13
1999/5/27,Chromium,4
1999/6/22,Chromium,12
1999/7/15,Chromium,19.5
1999/7/24,Chromium,19
1999/8/15,Chromium,24.9
1999/8/29,Chromium,14
1999/9/18,Chromium,12
1999/10/21,Chromium,31
1999/11/20,Chromium,20
1999/12/10,Chromium,10
2000/1/15,Chromium,21.67
2000/2/19,Chromium,24.6
2000/3/19,Chromium,25.16
2000/4/28,Chromium,3
2000/5/20,Chromium,38
2000/6/27,Chromium,5
2000/7/15,Chromium,6.2
2000/7/27,Chromium,3
2000/8/15,Chromium,33.6
2000/8/27,Chromium,20
2000/9/24,Chromium,6
2000/10/17,Chromium,26
2000/11/23,Chromium,15
2000/12/4,Chromium,20
2001/1/17,Chromium,11
2001/2/18,Chromium,37
2001/3/31,Chromium,21
2001/4/29,Chromium,31
2001/5/28,Chromium,12
2001/6/21,Chromium,13.6
2001/7/28,Chromium,5.5
2001/8/28,Chromium,14.16
2001/11/18,Chromium,6.51
2002/3/29,Chromium,7.57
2002/4/20,Chromium,7.61
2002/6/22,Chromium,1.51
2002/8/22,Chromium,8.83
2002/9/12,Chromium,5.47
2002/10/12,Chromium,8.54
2002/10/15,Chromium,80.8
2002/10/26,Chromium,1.98
2002/12/15,Chromium,8.35
2003/1/24,Chromium,1.64
2003/2/28,Chromium,2.78
2003/3/30,Chromium,0.94
2003/4/26,Chromium,3.12
2003/5/22,Chromium,1.82
2003/6/28,Chromium,0.968
2003/7/12,Chromium,9.56
2003/8/15,Chromium,18.33
2003/8/20,Chromium,0.317
2003/9/15,Chromium,3.18
2003/10/9,Chromium,1.029
2003/11/22,Chromium,2.26
2004/1/23,Chromium,1.83
