sampleTime,name,value
2009/5/16,Chromium,0.5
2009/7/3,Chromium,1.4
2009/9/5,Chromium,1.2
2009/10/4,Chromium,1
2010/1/23,Chromium,1
2010/2/7,Chromium,1
2010/3/11,Chromium,1
2010/4/11,Chromium,1
2010/6/5,Chromium,2.64
2010/7/9,Chromium,4.81
2010/7/22,Chromium,1
2010/8/14,Chromium,1
2011/4/9,Chromium,3.56
2009/5/16,Copper,8.9
2009/7/3,Copper,7.9
2009/9/5,Copper,1.6
2009/10/4,Copper,1.5
2010/1/23,Copper,7.45
2010/2/7,Copper,9.14
2010/3/11,Copper,6.46
2010/4/11,Copper,4.28
2010/6/5,Copper,3.87
2010/7/9,Copper,3.71
2010/7/22,Copper,3.49
2010/8/14,Copper,6.27
2011/4/9,Copper,5.62
2011/6/10,Copper,13.43
2011/9/11,Copper,11.27
2011/11/12,Copper,9.27
2012/3/25,Copper,4.1
2010/3/11,Lead,1.5
2010/4/11,Lead,5.49
2010/6/5,Lead,1.5
2010/7/9,Lead,1.5
2010/7/22,Lead,1.5
2010/8/14,Lead,3.36
2011/4/9,Lead,0
2009/1/12,Manganese,0.005
2009/3/13,Manganese,0
2009/4/25,Manganese,0.072
2009/5/16,Manganese,0.06
2009/6/6,Manganese,0.28
2009/7/3,Manganese,0.381
2009/9/5,Manganese,0.238
2009/10/4,Manganese,0.113
2009/11/16,Manganese,0.071
2009/12/6,Manganese,0.047
2010/2/7,Manganese,0.089
2010/4/11,Manganese,0.05
2010/5/15,Manganese,0.131
2010/6/5,Manganese,0.05
2010/7/22,Manganese,0.05
2010/8/14,Manganese,0.369
2010/9/10,Manganese,0.048
2010/10/15,Manganese,0.05
2010/11/19,Manganese,0.05
2010/12/4,Manganese,0.172
2011/2/18,Manganese,0.595
2011/4/9,Manganese,0.142
2011/6/10,Manganese,0.238
2011/7/21,Manganese,0.292
2011/9/11,Manganese,0.101
2011/11/12,Manganese,0.488
2012/1/7,Manganese,0.404
2012/3/25,Manganese,0.152
2012/5/27,Manganese,0.133
2012/7/20,Manganese,0.29
2012/9/15,Manganese,0.308
2012/11/30,Manganese,0.082
2013/2/9,Manganese,0.038
2013/4/14,Manganese,0
2013/6/17,Manganese,0.074
2013/7/12,Manganese,0.073
2013/9/8,Manganese,0.043
2013/11/18,Manganese,0.056
2014/1/6,Manganese,0.087
2014/3/28,Manganese,0.149
2014/6/27,Manganese,0.074
2014/9/3,Manganese,0.279
2014/9/14,Manganese,0.037
2014/10/17,Manganese,0.037
2014/10/25,Manganese,0
2014/11/7,Manganese,0.087
2014/11/22,Manganese,0.043
2014/12/3,Manganese,0
2014/12/10,Manganese,0.037
2015/1/22,Manganese,0.124
2015/2/5,Manganese,0.05
2015/3/20,Manganese,0
2015/4/3,Manganese,0
2015/5/14,Manganese,0
2015/6/13,Manganese,0
2015/7/10,Manganese,0.056
2015/8/13,Manganese,0
2015/9/5,Manganese,0
2015/10/17,Manganese,0
2015/11/14,Manganese,0.043
2015/12/4,Manganese,0
2015/2/5,Mercury,0.015
2015/3/20,Mercury,0.032
2015/4/3,Mercury,0
2015/8/13,Mercury,0
2009/4/25,Zinc,3
2009/5/16,Zinc,3
2009/7/3,Zinc,21
2009/9/5,Zinc,3
2009/10/4,Zinc,3
2010/1/23,Zinc,25
2010/2/7,Zinc,25
2010/3/11,Zinc,25
2010/4/11,Zinc,25
2010/6/5,Zinc,25
2010/7/9,Zinc,25
2010/7/22,Zinc,25
2010/8/14,Zinc,25
2011/4/9,Zinc,25
2011/6/10,Zinc,25
2011/9/11,Zinc,25
2011/11/12,Zinc,25
2012/3/25,Zinc,25
2015/1/22,Zinc,15
2015/2/5,Zinc,15
2015/3/20,Zinc,154
2015/4/3,Zinc,58
2015/5/14,Zinc,15
2015/6/13,Zinc,23
2015/7/10,Zinc,75
2015/8/13,Zinc,33
2015/9/5,Zinc,58
2015/10/17,Zinc,15
2015/11/14,Zinc,36
2015/12/4,Zinc,44
