spot,sampleTime,name,value
Achara,2013/1/17,Atrazine,0
Achara,2013/2/15,Atrazine,0
Achara,2013/3/14,Atrazine,0
Achara,2013/4/12,Atrazine,0
Achara,2013/5/16,Atrazine,0
Achara,2013/6/14,Atrazine,0
Achara,2013/7/18,Atrazine,0
Achara,2013/8/16,Atrazine,0
Achara,2013/9/21,Atrazine,0
Achara,2014/1/16,Atrazine,0
Achara,2014/2/15,Atrazine,0
Achara,2014/3/19,Atrazine,0
Achara,2014/4/18,Atrazine,0.213
Achara,2014/5/16,Atrazine,0
Achara,2014/6/20,Atrazine,0
Achara,2014/7/18,Atrazine,0
Achara,2014/8/16,Atrazine,0
Achara,2014/9/19,Atrazine,0
Achara,2014/10/17,Atrazine,0
Achara,2014/11/21,Atrazine,0
Achara,2014/12/12,Atrazine,0
Achara,2015/1/17,Atrazine,0
Achara,2015/2/21,Atrazine,0
Achara,2015/3/13,Atrazine,0
Achara,2015/4/18,Atrazine,0
Achara,2015/5/15,Atrazine,0
Achara,2015/6/20,Atrazine,0
Achara,2015/7/16,Atrazine,0
Achara,2015/8/22,Atrazine,0
Achara,2015/9/18,Atrazine,0
Achara,2015/10/16,Atrazine,0
Achara,2015/11/20,Atrazine,0
Achara,2015/12/9,Atrazine,0
Achara,2016/1/15,Atrazine,0
Achara,2016/2/12,Atrazine,0
Achara,2016/3/12,Atrazine,0
Achara,2016/4/16,Atrazine,0
Achara,2016/5/13,Atrazine,0
Achara,2016/6/11,Atrazine,0
Achara,2016/7/16,Atrazine,0
Achara,2016/8/20,Atrazine,0
Achara,2016/9/16,Atrazine,0
Achara,2016/10/22,Atrazine,0
Achara,2016/11/19,Atrazine,0
Achara,2016/12/10,Atrazine,0
Achara,2012/2/17,gamma-Hexachlorocyclohexane,0
Achara,2012/8/16,gamma-Hexachlorocyclohexane,0
Achara,2013/1/17,gamma-Hexachlorocyclohexane,0
Achara,2013/2/15,gamma-Hexachlorocyclohexane,0
Achara,2013/3/14,gamma-Hexachlorocyclohexane,0
Achara,2013/4/12,gamma-Hexachlorocyclohexane,0
Achara,2013/5/16,gamma-Hexachlorocyclohexane,0
Achara,2013/6/14,gamma-Hexachlorocyclohexane,0
Achara,2013/7/18,gamma-Hexachlorocyclohexane,0
Achara,2013/8/16,gamma-Hexachlorocyclohexane,0
Achara,2013/9/21,gamma-Hexachlorocyclohexane,0
Achara,2013/10/18,gamma-Hexachlorocyclohexane,0
Achara,2013/11/15,gamma-Hexachlorocyclohexane,0
Achara,2013/12/13,gamma-Hexachlorocyclohexane,0
Achara,2014/1/16,gamma-Hexachlorocyclohexane,0
Achara,2014/2/15,gamma-Hexachlorocyclohexane,0
Achara,2014/3/19,gamma-Hexachlorocyclohexane,0
Achara,2014/4/18,gamma-Hexachlorocyclohexane,0
Achara,2014/5/16,gamma-Hexachlorocyclohexane,0
Achara,2014/6/20,gamma-Hexachlorocyclohexane,0
Achara,2014/7/18,gamma-Hexachlorocyclohexane,0
Achara,2014/8/16,gamma-Hexachlorocyclohexane,0
Achara,2014/9/19,gamma-Hexachlorocyclohexane,0
Achara,2014/10/17,gamma-Hexachlorocyclohexane,0
Achara,2014/11/21,gamma-Hexachlorocyclohexane,0
Achara,2014/12/12,gamma-Hexachlorocyclohexane,0
Achara,2015/1/17,gamma-Hexachlorocyclohexane,0
Achara,2015/2/21,gamma-Hexachlorocyclohexane,0
Achara,2015/3/13,gamma-Hexachlorocyclohexane,0
Achara,2015/4/18,gamma-Hexachlorocyclohexane,0
Achara,2015/5/15,gamma-Hexachlorocyclohexane,0
Achara,2015/6/20,gamma-Hexachlorocyclohexane,0
Achara,2015/7/16,gamma-Hexachlorocyclohexane,0
Achara,2015/8/22,gamma-Hexachlorocyclohexane,0
Achara,2015/9/18,gamma-Hexachlorocyclohexane,0
Achara,2015/10/16,gamma-Hexachlorocyclohexane,0
Achara,2015/11/20,gamma-Hexachlorocyclohexane,0
Achara,2015/12/9,gamma-Hexachlorocyclohexane,0
Achara,2016/1/15,gamma-Hexachlorocyclohexane,0
Achara,2016/2/12,gamma-Hexachlorocyclohexane,0
Achara,2016/3/12,gamma-Hexachlorocyclohexane,0
Achara,2016/4/16,gamma-Hexachlorocyclohexane,0
Achara,2016/5/13,gamma-Hexachlorocyclohexane,0
Achara,2016/6/11,gamma-Hexachlorocyclohexane,0
Achara,2016/7/16,gamma-Hexachlorocyclohexane,0
Achara,2016/8/20,gamma-Hexachlorocyclohexane,0
Achara,2016/9/16,gamma-Hexachlorocyclohexane,0
Achara,2016/10/22,gamma-Hexachlorocyclohexane,0
Achara,2016/11/19,gamma-Hexachlorocyclohexane,0
Achara,2016/12/10,gamma-Hexachlorocyclohexane,0
Achara,2013/1/17,"p,p-DDT",0
Achara,2013/2/15,"p,p-DDT",0
Achara,2013/3/14,"p,p-DDT",0
Achara,2013/4/12,"p,p-DDT",0
Achara,2013/5/16,"p,p-DDT",0
Achara,2013/6/14,"p,p-DDT",0
Achara,2013/7/18,"p,p-DDT",0
Achara,2013/8/16,"p,p-DDT",0
Achara,2013/9/21,"p,p-DDT",0
Achara,2013/10/18,"p,p-DDT",0
Achara,2013/11/15,"p,p-DDT",0
Achara,2013/12/13,"p,p-DDT",0
Achara,2014/1/16,"p,p-DDT",0
Achara,2014/2/15,"p,p-DDT",0
Achara,2014/3/19,"p,p-DDT",0
Achara,2014/4/18,"p,p-DDT",0
Achara,2014/5/16,"p,p-DDT",0
Achara,2014/6/20,"p,p-DDT",0
Achara,2014/7/18,"p,p-DDT",0
Achara,2014/8/16,"p,p-DDT",0
Achara,2014/9/19,"p,p-DDT",0
Achara,2014/10/17,"p,p-DDT",0
Achara,2014/11/21,"p,p-DDT",0
Achara,2014/12/12,"p,p-DDT",0
Achara,2015/1/17,"p,p-DDT",0
Achara,2015/2/21,"p,p-DDT",0
Achara,2015/3/13,"p,p-DDT",0
Achara,2015/4/18,"p,p-DDT",0
Achara,2015/5/15,"p,p-DDT",0
Achara,2015/6/20,"p,p-DDT",0
Achara,2015/7/16,"p,p-DDT",0
Achara,2015/8/22,"p,p-DDT",0
Achara,2015/9/18,"p,p-DDT",0
Achara,2015/10/16,"p,p-DDT",0
Achara,2015/11/20,"p,p-DDT",0
Achara,2015/12/9,"p,p-DDT",0
Achara,2016/1/15,"p,p-DDT",0
Achara,2016/2/12,"p,p-DDT",0
Achara,2016/3/12,"p,p-DDT",0
Achara,2016/4/16,"p,p-DDT",0
Achara,2016/5/13,"p,p-DDT",0
Achara,2016/6/11,"p,p-DDT",0
Achara,2016/7/16,"p,p-DDT",0
Achara,2016/8/20,"p,p-DDT",0
Achara,2016/9/16,"p,p-DDT",0
Achara,2016/10/22,"p,p-DDT",0
Achara,2016/11/19,"p,p-DDT",0
Achara,2016/12/10,"p,p-DDT",0
Boonsri,1998/1/11,Atrazine,0
Boonsri,1998/2/15,Atrazine,0
Boonsri,1998/3/12,Atrazine,0
Boonsri,1998/4/11,Atrazine,0
Boonsri,1998/5/9,Atrazine,0
Boonsri,1998/6/6,Atrazine,0
Boonsri,1998/7/11,Atrazine,0
Boonsri,1998/8/8,Atrazine,0
Boonsri,1998/9/5,Atrazine,0
Boonsri,1998/10/3,Atrazine,0
Boonsri,1998/11/7,Atrazine,0
Boonsri,1998/12/5,Atrazine,0
Boonsri,2000/1/14,Atrazine,0.025
Boonsri,2000/2/10,Atrazine,0.02
Boonsri,2000/3/10,Atrazine,0.026666667
Boonsri,2000/4/14,Atrazine,0.053333333
Boonsri,2000/5/12,Atrazine,0.056666667
Boonsri,2000/6/9,Atrazine,0.036666667
Boonsri,2001/4/19,Atrazine,0.013333333
Boonsri,2001/5/4,Atrazine,0.02
Boonsri,2001/6/6,Atrazine,0.016666667
Boonsri,2002/3/21,Atrazine,0
Boonsri,2002/5/9,Atrazine,0
Boonsri,2002/5/23,Atrazine,0
Boonsri,2002/8/8,Atrazine,0
Boonsri,2002/8/22,Atrazine,0
Boonsri,2002/9/12,Atrazine,0
Boonsri,2002/9/27,Atrazine,0
Boonsri,2002/10/10,Atrazine,0
Boonsri,2002/10/24,Atrazine,0
Boonsri,2002/11/21,Atrazine,0
Boonsri,2002/12/12,Atrazine,0
Boonsri,2003/1/23,Atrazine,0
Boonsri,2003/2/13,Atrazine,0
Boonsri,2003/3/20,Atrazine,0
Boonsri,2004/7/9,Atrazine,0.047
