sampleTime,name,value
1998/1/11,Atrazine,0
1998/2/15,Atrazine,0
1998/3/12,Atrazine,0
1998/4/11,Atrazine,0
1998/5/9,Atrazine,0
1998/6/6,Atrazine,0
1998/7/11,Atrazine,0
1998/8/8,Atrazine,0
1998/9/5,Atrazine,0
1998/10/3,Atrazine,0
1998/11/7,Atrazine,0
1998/12/5,Atrazine,0
2000/1/14,Atrazine,0.025
2000/2/10,Atrazine,0.02
2000/3/10,Atrazine,0.026666667
2000/4/14,Atrazine,0.053333333
2000/5/12,Atrazine,0.056666667
2000/6/9,Atrazine,0.036666667
2001/4/19,Atrazine,0.013333333
2001/5/4,Atrazine,0.02
2001/6/6,Atrazine,0.016666667
2002/3/21,Atrazine,0
2002/5/9,Atrazine,0
2002/5/23,Atrazine,0
2002/8/8,Atrazine,0
2002/8/22,Atrazine,0
2002/9/12,Atrazine,0
2002/9/27,Atrazine,0
2002/10/10,Atrazine,0
2002/10/24,Atrazine,0
2002/11/21,Atrazine,0
2002/12/12,Atrazine,0
2003/1/23,Atrazine,0
2003/2/13,Atrazine,0
2003/3/20,Atrazine,0
2004/7/9,Atrazine,0.047
2004/7/23,Atrazine,0.049
2005/1/14,Atrazine,0.158666667
2005/1/28,Atrazine,0.077333333
2005/2/24,Atrazine,0
2005/3/11,Atrazine,0
2005/3/25,Atrazine,0
2005/4/22,Atrazine,0
2005/5/13,Atrazine,0.025
2005/5/27,Atrazine,0.054
2005/6/10,Atrazine,0.055333333
2005/6/24,Atrazine,0.164333333
2005/7/8,Atrazine,0.137666667
2005/7/22,Atrazine,0.202
2005/8/12,Atrazine,0.159333333
2005/8/26,Atrazine,0.126333333
2005/9/9,Atrazine,0.114666667
2005/9/23,Atrazine,0.234
2006/1/13,Atrazine,0.06
2006/2/10,Atrazine,0.085666667
2006/2/24,Atrazine,0.115666667
2006/3/9,Atrazine,0.118666667
2006/3/23,Atrazine,0.088
2006/4/6,Atrazine,0.0755
2006/4/27,Atrazine,0.0845
2006/5/3,Atrazine,0.096666667
2006/5/25,Atrazine,0.190333333
2006/6/8,Atrazine,0.103333333
2006/6/22,Atrazine,0.091666667
2006/7/13,Atrazine,0.168
2006/7/27,Atrazine,0.256333333
2006/8/10,Atrazine,0.260333333
2006/8/24,Atrazine,0.380333333
2006/9/21,Atrazine,0.305333333
2006/10/12,Atrazine,0.091
2006/10/26,Atrazine,0.085333333
2006/11/9,Atrazine,0.172
2006/11/23,Atrazine,0.236333333
2006/12/21,Atrazine,0.246
2007/1/11,Atrazine,0.06
2007/1/25,Atrazine,0.136666667
2007/2/22,Atrazine,0.163333333
2007/3/9,Atrazine,0.119666667
2007/3/22,Atrazine,0.127666667
2007/4/6,Atrazine,0.064
2007/4/19,Atrazine,0.06
2007/5/10,Atrazine,0.076333333
2007/5/24,Atrazine,0.06
2007/6/7,Atrazine,0.06
2007/6/21,Atrazine,0.06
2007/7/5,Atrazine,0.06
2007/7/19,Atrazine,0.06
2007/8/23,Atrazine,0.06
2007/9/20,Atrazine,0.06
2007/10/25,Atrazine,0.06
2007/11/22,Atrazine,0.06
2007/12/20,Atrazine,0.06
2008/1/24,Atrazine,0.5
2008/2/21,Atrazine,0.5
2008/3/21,Atrazine,0.5
2008/6/20,Atrazine,0.5
2008/7/11,Atrazine,0.5
2008/7/25,Atrazine,0.5
2008/11/28,Atrazine,0.5
2013/1/17,Atrazine,0
2013/2/21,Atrazine,0
2013/3/15,Atrazine,0
2013/4/14,Atrazine,0
2013/5/17,Atrazine,0
2013/6/20,Atrazine,0
2013/8/16,Atrazine,0
2013/9/26,Atrazine,0
2013/10/18,Atrazine,0
2013/11/14,Atrazine,0
2013/12/14,Atrazine,0
2014/1/23,Atrazine,0
2014/2/24,Atrazine,0
2014/3/20,Atrazine,0
2014/4/23,Atrazine,0
2014/5/22,Atrazine,0
2014/6/21,Atrazine,0
2014/7/16,Atrazine,0
2014/8/27,Atrazine,0
2014/9/17,Atrazine,0
2014/10/23,Atrazine,0
2014/11/19,Atrazine,0
2014/11/27,Atrazine,0
2015/1/21,Atrazine,0
2015/2/18,Atrazine,0
2015/3/19,Atrazine,0
2015/4/22,Atrazine,0
2015/5/15,Atrazine,0
2015/6/17,Atrazine,0
2015/7/16,Atrazine,0
2015/8/20,Atrazine,0
2015/9/9,Atrazine,0
2015/10/21,Atrazine,0
2015/11/11,Atrazine,0
2015/12/9,Atrazine,0
2016/1/8,Atrazine,0
2016/2/17,Atrazine,0
2016/3/17,Atrazine,0
2016/4/28,Atrazine,0
2016/5/28,Atrazine,0
2016/6/16,Atrazine,0
2016/7/21,Atrazine,0
2016/8/21,Atrazine,0
2016/9/22,Atrazine,0
2016/10/22,Atrazine,0
2016/11/17,Atrazine,0
2016/12/10,Atrazine,0
1998/4/11,gamma-Hexachlorocyclohexane,0
1998/6/6,gamma-Hexachlorocyclohexane,0.005
1999/1/9,gamma-Hexachlorocyclohexane,0.013333333
1999/2/11,gamma-Hexachlorocyclohexane,0.009333333
1999/3/11,gamma-Hexachlorocyclohexane,0.033333333
1999/4/16,gamma-Hexachlorocyclohexane,0.010666667
1999/5/13,gamma-Hexachlorocyclohexane,0.02
1999/6/6,gamma-Hexachlorocyclohexane,0.013333333
1999/7/22,gamma-Hexachlorocyclohexane,0.023333333
1999/8/19,gamma-Hexachlorocyclohexane,0.015
1999/9/16,gamma-Hexachlorocyclohexane,0.03
1999/10/10,gamma-Hexachlorocyclohexane,0.025
1999/11/5,gamma-Hexachlorocyclohexane,0.035
1999/12/9,gamma-Hexachlorocyclohexane,0.03
2000/1/14,gamma-Hexachlorocyclohexane,0.075
2000/2/10,gamma-Hexachlorocyclohexane,0.033333333
2000/3/10,gamma-Hexachlorocyclohexane,0.016666667
2000/4/14,gamma-Hexachlorocyclohexane,0.01
2000/5/12,gamma-Hexachlorocyclohexane,0.013333333
2000/6/9,gamma-Hexachlorocyclohexane,0.12
2001/4/19,gamma-Hexachlorocyclohexane,0.323333333
2001/5/4,gamma-Hexachlorocyclohexane,0.04
2001/6/6,gamma-Hexachlorocyclohexane,0.016666667
2001/8/4,gamma-Hexachlorocyclohexane,0.043333333
2001/10/12,gamma-Hexachlorocyclohexane,0.02
2001/11/15,gamma-Hexachlorocyclohexane,0.01
2001/12/7,gamma-Hexachlorocyclohexane,0.01
2002/3/21,gamma-Hexachlorocyclohexane,0.01
2002/4/25,gamma-Hexachlorocyclohexane,0.03
2002/5/9,gamma-Hexachlorocyclohexane,0.01
2002/5/23,gamma-Hexachlorocyclohexane,0.02
2002/6/13,gamma-Hexachlorocyclohexane,0.035
2002/6/27,gamma-Hexachlorocyclohexane,0.03
2002/9/27,gamma-Hexachlorocyclohexane,0
2002/10/10,gamma-Hexachlorocyclohexane,0
2002/10/15,gamma-Hexachlorocyclohexane,0
2002/10/24,gamma-Hexachlorocyclohexane,0
2002/11/21,gamma-Hexachlorocyclohexane,0.013333333
2002/12/12,gamma-Hexachlorocyclohexane,0.01
2003/2/13,gamma-Hexachlorocyclohexane,0.041666667
2004/2/12,gamma-Hexachlorocyclohexane,0
2004/2/26,gamma-Hexachlorocyclohexane,0
2004/3/12,gamma-Hexachlorocyclohexane,0
2004/5/7,gamma-Hexachlorocyclohexane,0.026
2004/5/28,gamma-Hexachlorocyclohexane,0.022666667
2004/6/11,gamma-Hexachlorocyclohexane,0.1
2004/6/25,gamma-Hexachlorocyclohexane,0.134
2004/7/9,gamma-Hexachlorocyclohexane,0.025
2004/7/23,gamma-Hexachlorocyclohexane,0.019
2004/8/13,gamma-Hexachlorocyclohexane,0.032666667
2004/8/27,gamma-Hexachlorocyclohexane,0.026333333
2004/9/10,gamma-Hexachlorocyclohexane,0.033666667
2004/9/24,gamma-Hexachlorocyclohexane,0.017666667
2004/10/8,gamma-Hexachlorocyclohexane,0.042
2004/11/5,gamma-Hexachlorocyclohexane,0.036666667
2004/11/26,gamma-Hexachlorocyclohexane,0.040666667
2004/12/3,gamma-Hexachlorocyclohexane,0.013
2005/1/14,gamma-Hexachlorocyclohexane,0.019
2005/1/28,gamma-Hexachlorocyclohexane,0.014666667
2005/2/24,gamma-Hexachlorocyclohexane,0.052333333
2005/3/11,gamma-Hexachlorocyclohexane,0.043333333
2005/3/25,gamma-Hexachlorocyclohexane,0.043333333
2005/4/8,gamma-Hexachlorocyclohexane,0.049666667
2005/4/22,gamma-Hexachlorocyclohexane,0.347
2005/5/13,gamma-Hexachlorocyclohexane,0.056666667
2005/5/27,gamma-Hexachlorocyclohexane,0.050666667
2005/6/10,gamma-Hexachlorocyclohexane,0.236333333
2005/6/24,gamma-Hexachlorocyclohexane,0.178666667
2005/7/8,gamma-Hexachlorocyclohexane,0.111
2005/7/22,gamma-Hexachlorocyclohexane,0.084666667
2005/8/12,gamma-Hexachlorocyclohexane,0.072333333
2005/8/26,gamma-Hexachlorocyclohexane,0.056333333
2005/9/9,gamma-Hexachlorocyclohexane,0.139666667
2005/9/23,gamma-Hexachlorocyclohexane,0.136666667
2005/10/2,gamma-Hexachlorocyclohexane,0.057
2005/10/21,gamma-Hexachlorocyclohexane,0.021333333
2005/11/6,gamma-Hexachlorocyclohexane,0.07
2005/11/25,gamma-Hexachlorocyclohexane,0.093666667
2005/12/2,gamma-Hexachlorocyclohexane,0.143
2005/12/16,gamma-Hexachlorocyclohexane,0.085
2006/1/27,gamma-Hexachlorocyclohexane,0.1115
2006/2/10,gamma-Hexachlorocyclohexane,0.037666667
2006/2/24,gamma-Hexachlorocyclohexane,0.030333333
2006/3/9,gamma-Hexachlorocyclohexane,0.071333333
2006/3/23,gamma-Hexachlorocyclohexane,0.021666667
2006/4/6,gamma-Hexachlorocyclohexane,0.063333333
2006/4/27,gamma-Hexachlorocyclohexane,0.0955
2006/5/3,gamma-Hexachlorocyclohexane,0.079666667
2006/5/25,gamma-Hexachlorocyclohexane,0.03
2006/6/8,gamma-Hexachlorocyclohexane,0.025333333
2006/6/22,gamma-Hexachlorocyclohexane,0.0575
2006/7/13,gamma-Hexachlorocyclohexane,0.005333333
2006/7/27,gamma-Hexachlorocyclohexane,0.011666667
2006/8/10,gamma-Hexachlorocyclohexane,0.042333333
2006/8/24,gamma-Hexachlorocyclohexane,0.031333333
2006/9/21,gamma-Hexachlorocyclohexane,0.065333333
2006/10/12,gamma-Hexachlorocyclohexane,0.18
2006/10/26,gamma-Hexachlorocyclohexane,0.034
2006/11/9,gamma-Hexachlorocyclohexane,0.054666667
2006/11/23,gamma-Hexachlorocyclohexane,0.022333333
2006/12/21,gamma-Hexachlorocyclohexane,0.016333333
2007/1/11,gamma-Hexachlorocyclohexane,0.006666667
2007/1/25,gamma-Hexachlorocyclohexane,0.011333333
2007/2/8,gamma-Hexachlorocyclohexane,0.01
2007/2/22,gamma-Hexachlorocyclohexane,0.011
2007/3/9,gamma-Hexachlorocyclohexane,0.005
2007/3/22,gamma-Hexachlorocyclohexane,0.016
2007/4/6,gamma-Hexachlorocyclohexane,0.008333333
2007/4/19,gamma-Hexachlorocyclohexane,0.005
2007/5/10,gamma-Hexachlorocyclohexane,0.005
2007/5/24,gamma-Hexachlorocyclohexane,0.005
2007/6/7,gamma-Hexachlorocyclohexane,0.006666667
2007/6/21,gamma-Hexachlorocyclohexane,0.006666667
2007/7/5,gamma-Hexachlorocyclohexane,0.009
2007/7/19,gamma-Hexachlorocyclohexane,0.018666667
2007/8/23,gamma-Hexachlorocyclohexane,0.005666667
2007/9/20,gamma-Hexachlorocyclohexane,0.009333333
2007/10/25,gamma-Hexachlorocyclohexane,0.01
2007/11/22,gamma-Hexachlorocyclohexane,0.011666667
2007/12/20,gamma-Hexachlorocyclohexane,0.005666667
2008/1/24,gamma-Hexachlorocyclohexane,0.04
2008/2/21,gamma-Hexachlorocyclohexane,0.04
2008/3/21,gamma-Hexachlorocyclohexane,0.04
2008/6/20,gamma-Hexachlorocyclohexane,0.04
2008/7/11,gamma-Hexachlorocyclohexane,0.04
2008/7/25,gamma-Hexachlorocyclohexane,0.04
2008/8/22,gamma-Hexachlorocyclohexane,0.04
2008/9/26,gamma-Hexachlorocyclohexane,0.04
2008/10/24,gamma-Hexachlorocyclohexane,0.04
2008/11/28,gamma-Hexachlorocyclohexane,0.04
