sampleTime,name,value
1998/10/29,Atrazine,0
1998/11/28,Atrazine,0
1998/12/19,Atrazine,0
2000/3/19,Atrazine,0.06
2000/4/29,Atrazine,0.06
2000/5/27,Atrazine,0.05
2000/6/26,Atrazine,0.03
2001/2/18,Atrazine,0.02
2001/3/31,Atrazine,0.02
2001/4/29,Atrazine,0.01
2001/5/28,Atrazine,0.01
2001/6/21,Atrazine,0.01
2002/3/29,Atrazine,0
2002/5/18,Atrazine,0
2002/8/22,Atrazine,0
2002/9/12,Atrazine,0
2002/10/26,Atrazine,0
2002/12/15,Atrazine,0
2003/1/24,Atrazine,0
2005/1/22,Atrazine,0
2005/2/20,Atrazine,0
2005/3/24,Atrazine,0.061
2005/4/24,Atrazine,0
2005/5/29,Atrazine,0.118
2005/6/21,Atrazine,0
2005/7/24,Atrazine,0.082
2005/8/26,Atrazine,0.067
2005/9/24,Atrazine,0.136
2006/1/28,Atrazine,0.072
2006/3/23,Atrazine,0.117
2006/4/27,Atrazine,0.06
2006/6/25,Atrazine,0.121
2006/7/16,Atrazine,0.125
2006/8/13,Atrazine,0.109
2006/9/22,Atrazine,0.315
2006/10/6,Atrazine,0.202
2006/11/22,Atrazine,0.16
2006/12/13,Atrazine,0.258
2007/1/24,Atrazine,0.092
2007/2/22,Atrazine,0.25
2007/3/28,Atrazine,0.06
2007/4/20,Atrazine,0.06
2007/5/26,Atrazine,0.06
2007/6/23,Atrazine,0.06
2007/7/25,Atrazine,0.06
2007/8/25,Atrazine,0.06
2007/9/29,Atrazine,0.06
2007/10/26,Atrazine,0.06
2007/11/28,Atrazine,0.06
2007/12/22,Atrazine,0.06
2008/5/3,Atrazine,0.5
2008/5/30,Atrazine,0.5
2008/6/26,Atrazine,0.5
2008/7/12,Atrazine,0.5
2008/8/11,Atrazine,0.5
2008/9/21,Atrazine,0.5
2008/10/19,Atrazine,0.5
2008/11/17,Atrazine,0.5
2008/12/5,Atrazine,0.5
2008/12/15,Atrazine,0.5
2009/1/24,Atrazine,0.5
2009/2/14,Atrazine,0.5
2009/3/27,Atrazine,0.5
2009/4/25,Atrazine,0.5
2009/5/25,Atrazine,0.5
2009/6/28,Atrazine,0.5
2009/7/26,Atrazine,0.5
2009/8/28,Atrazine,0.5
2009/9/25,Atrazine,0.5
2009/10/30,Atrazine,0.5
2010/1/24,Atrazine,0.5
2010/2/14,Atrazine,0.5
2010/3/20,Atrazine,0.5
2010/4/18,Atrazine,0.5
2010/5/22,Atrazine,0.5
2010/6/13,Atrazine,0.5
2010/7/22,Atrazine,0.5
2010/8/28,Atrazine,0.5
2010/9/30,Atrazine,0.5
2010/10/29,Atrazine,0.5
2010/11/27,Atrazine,0.5
2010/12/9,Atrazine,0.5
2012/2/18,Atrazine,0
2013/2/16,Atrazine,0
2013/3/24,Atrazine,0
2013/8/8,Atrazine,0
2013/9/26,Atrazine,0
2013/11/17,Atrazine,0
2013/12/9,Atrazine,0
2014/1/24,Atrazine,0
2014/3/12,Atrazine,0
2014/3/15,Atrazine,0
2014/4/18,Atrazine,0
2014/5/14,Atrazine,0
2014/6/5,Atrazine,0
2014/8/9,Atrazine,0
2014/9/18,Atrazine,0
2014/10/10,Atrazine,0
2014/11/2,Atrazine,0
2014/12/6,Atrazine,0
2015/1/16,Atrazine,0
2015/3/15,Atrazine,0
2015/4/10,Atrazine,0
2015/5/10,Atrazine,0
2015/6/6,Atrazine,0
2015/7/12,Atrazine,0
2015/9/9,Atrazine,0
2015/9/22,Atrazine,0
2015/10/8,Atrazine,0
2015/11/11,Atrazine,0
2015/12/9,Atrazine,0
2016/1/14,Atrazine,0
2016/2/6,Atrazine,0
2016/3/11,Atrazine,0
2016/4/8,Atrazine,0
2016/5/14,Atrazine,0
2016/6/16,Atrazine,0
2016/7/14,Atrazine,0
2016/8/11,Atrazine,0
2016/9/9,Atrazine,0
2016/10/15,Atrazine,0
2016/11/12,Atrazine,0
2016/12/8,Atrazine,0
1999/1/27,gamma-Hexachlorocyclohexane,0.08
1999/2/20,gamma-Hexachlorocyclohexane,0.03
1999/3/19,gamma-Hexachlorocyclohexane,0.06
1999/4/23,gamma-Hexachlorocyclohexane,0.04
1999/5/27,gamma-Hexachlorocyclohexane,0.02
1999/6/22,gamma-Hexachlorocyclohexane,0.006
1999/7/24,gamma-Hexachlorocyclohexane,0.02
1999/8/30,gamma-Hexachlorocyclohexane,0.02
1999/9/18,gamma-Hexachlorocyclohexane,0.01
