sampleTime,name,value
1998/1/31,Atrazine,0
1998/2/20,Atrazine,0
1998/3/19,Atrazine,0
1998/4/17,Atrazine,0
1998/5/20,Atrazine,0
1998/6/28,Atrazine,0
1998/7/23,Atrazine,0
1998/8/23,Atrazine,0
1998/9/27,Atrazine,0
1998/10/30,Atrazine,0
1998/11/26,Atrazine,0
1998/12/18,Atrazine,0
2000/3/18,Atrazine,0.066666667
2000/4/28,Atrazine,0.02
2000/5/19,Atrazine,0.023333333
2000/6/28,Atrazine,0.04
2001/1/16,Atrazine,0.05
2001/2/17,Atrazine,0.013333333
2001/3/31,Atrazine,0.03
2001/4/27,Atrazine,0.008666667
2001/5/27,Atrazine,0.01
2001/6/19,Atrazine,0.01
2002/3/16,Atrazine,0
2002/3/31,Atrazine,0
2002/5/11,Atrazine,0
2002/5/25,Atrazine,0
2002/8/10,Atrazine,0
2002/8/21,Atrazine,0
2002/9/13,Atrazine,0
2002/9/25,Atrazine,0
2002/10/24,Atrazine,0
2002/10/30,Atrazine,0
2002/11/7,Atrazine,0
2002/12/5,Atrazine,0
2002/12/13,Atrazine,0
2003/1/17,Atrazine,0
2003/1/29,Atrazine,0
2004/7/12,Atrazine,0.058
2004/7/18,Atrazine,0.056
2005/1/31,Atrazine,0
2005/2/21,Atrazine,0
2005/3/31,Atrazine,0
2005/4/11,Atrazine,0
2005/4/21,Atrazine,0
2005/5/16,Atrazine,0
2005/5/23,Atrazine,0.0505
2005/6/13,Atrazine,0
2005/6/20,Atrazine,0
2005/7/23,Atrazine,0.024
2005/7/31,Atrazine,0.120333333
2005/8/18,Atrazine,0
2005/8/25,Atrazine,0.073
2005/9/22,Atrazine,0.083
2005/9/29,Atrazine,0.103666667
2006/1/19,Atrazine,0.083
2006/1/28,Atrazine,0.097666667
2006/2/24,Atrazine,0.142333333
2006/2/28,Atrazine,0.094333333
2006/3/17,Atrazine,0.173666667
2006/3/29,Atrazine,0.1475
2006/4/23,Atrazine,0.122
2006/4/30,Atrazine,0.13
2006/6/1,Atrazine,0.182
2006/6/18,Atrazine,0.138
2006/7/9,Atrazine,0.105666667
2006/7/15,Atrazine,0.097
2006/8/18,Atrazine,0.093666667
2006/8/27,Atrazine,0.124666667
2006/9/2,Atrazine,0.122666667
2006/9/29,Atrazine,0.105
2006/10/8,Atrazine,0.094333333
2006/11/15,Atrazine,0.100333333
2006/11/25,Atrazine,0.107333333
2006/12/10,Atrazine,0.154666667
2006/12/20,Atrazine,0.191333333
2007/1/18,Atrazine,0.091
2007/1/27,Atrazine,0.081666667
2007/2/16,Atrazine,0.126333333
2007/3/23,Atrazine,0.06
2007/3/31,Atrazine,0.082333333
2007/4/12,Atrazine,0.06
2007/4/25,Atrazine,0.06
2007/5/31,Atrazine,0.06
2007/6/21,Atrazine,0.06
2007/7/7,Atrazine,0.06
2007/7/19,Atrazine,0.06
2007/8/4,Atrazine,0.06
2007/8/29,Atrazine,0.06
2007/9/12,Atrazine,0.06
2007/9/21,Atrazine,0.06
2007/10/7,Atrazine,0.06
2007/10/28,Atrazine,0.06
2007/11/23,Atrazine,0.06
2007/11/30,Atrazine,0.06
2007/12/20,Atrazine,0.06
2007/12/28,Atrazine,0.06
2008/4/28,Atrazine,0.5
2008/5/31,Atrazine,0.5
2008/6/12,Atrazine,0.5
2008/7/7,Atrazine,0.5
2008/8/23,Atrazine,0.5
2008/9/11,Atrazine,0.5
2008/10/17,Atrazine,0.5
2008/11/15,Atrazine,0.5
2008/12/12,Atrazine,0.5
2009/1/11,Atrazine,0.5
2009/2/8,Atrazine,0.5
2009/3/20,Atrazine,0.5
2009/4/18,Atrazine,0.5
2009/5/21,Atrazine,0.5
2009/6/14,Atrazine,0.5
2009/7/9,Atrazine,0.5
2009/8/23,Atrazine,0.5
2009/9/22,Atrazine,0.5
2009/10/19,Atrazine,0.5
2010/2/20,Atrazine,0.5
2010/3/18,Atrazine,0.5
2010/4/16,Atrazine,0.5
2010/5/9,Atrazine,0.5
2010/6/17,Atrazine,0.5
2010/7/15,Atrazine,0.5
2010/8/11,Atrazine,0.5
2010/9/4,Atrazine,0.5
2010/10/13,Atrazine,0.5
2010/11/13,Atrazine,0.5
2010/12/11,Atrazine,0.5
2012/1/11,Atrazine,0
2012/2/17,Atrazine,0
