sampleTime,name,value
2012/1/20,Atrazine,0
2012/1/20,gamma-Hexachlorocyclohexane,0
2012/1/20,"p,p-DDT",0
2012/2/17,Atrazine,0
2012/2/17,gamma-Hexachlorocyclohexane,0
2012/2/17,"p,p-DDT",0
2012/3/16,Atrazine,0
2012/3/16,gamma-Hexachlorocyclohexane,0
2012/3/16,"p,p-DDT",0
2012/4/19,Atrazine,0
2012/4/19,gamma-Hexachlorocyclohexane,0
2012/4/19,"p,p-DDT",0
2012/5/19,Atrazine,0
2012/5/19,gamma-Hexachlorocyclohexane,0
2012/5/19,"p,p-DDT",0.0025
2012/6/17,Atrazine,0
2012/6/17,gamma-Hexachlorocyclohexane,0
2012/6/17,"p,p-DDT",0.0025
2012/7/20,Atrazine,0
2012/7/20,gamma-Hexachlorocyclohexane,0
2012/7/20,"p,p-DDT",0.0025
2012/8/17,Atrazine,0
2012/8/17,gamma-Hexachlorocyclohexane,0
2012/8/17,"p,p-DDT",0.0025
2012/9/20,Atrazine,0
2012/9/20,gamma-Hexachlorocyclohexane,0
2012/9/20,"p,p-DDT",0.0025
2012/10/19,Atrazine,0
2012/10/19,gamma-Hexachlorocyclohexane,0
2012/10/19,"p,p-DDT",0.0025
2012/11/18,Atrazine,0
2012/11/18,gamma-Hexachlorocyclohexane,0
2012/11/18,"p,p-DDT",0.0025
2012/12/15,Atrazine,0
2012/12/15,gamma-Hexachlorocyclohexane,0
2012/12/15,"p,p-DDT",0.0025
2013/1/20,Atrazine,0
2013/1/20,gamma-Hexachlorocyclohexane,0
2013/1/20,"p,p-DDT",0
2013/3/17,Atrazine,0
2013/3/17,gamma-Hexachlorocyclohexane,0
2013/3/17,"p,p-DDT",0
2013/8/18,Atrazine,0
2013/8/18,gamma-Hexachlorocyclohexane,0
2013/8/18,"p,p-DDT",0
2014/4/19,Atrazine,0
2014/4/19,gamma-Hexachlorocyclohexane,0
2014/4/19,"p,p-DDT",0
2014/6/21,Atrazine,0
2014/6/21,gamma-Hexachlorocyclohexane,0
2014/6/21,"p,p-DDT",0
2014/11/20,Atrazine,0
2014/11/20,gamma-Hexachlorocyclohexane,0
2014/11/20,"p,p-DDT",0
2015/4/18,gamma-Hexachlorocyclohexane,0
2015/4/18,"p,p-DDT",0
2015/6/18,gamma-Hexachlorocyclohexane,0
2015/6/18,"p,p-DDT",0
2015/11/20,gamma-Hexachlorocyclohexane,0
2015/11/20,"p,p-DDT",0
2016/2/18,Atrazine,0
2016/2/18,gamma-Hexachlorocyclohexane,0
2016/2/18,"p,p-DDT",0
2016/5/19,Atrazine,0
2016/5/19,gamma-Hexachlorocyclohexane,0
2016/5/19,"p,p-DDT",0
2016/9/17,Atrazine,0
2016/9/17,gamma-Hexachlorocyclohexane,0
2016/9/17,"p,p-DDT",0
2016/10/14,Atrazine,0
2016/10/14,gamma-Hexachlorocyclohexane,0
2016/10/14,"p,p-DDT",0
