sampleTime,name,value
1998/4/16,Atrazine,0
1998/6/27,Atrazine,0
1998/8/22,Atrazine,0
1998/10/1,Atrazine,0
1998/11/14,Atrazine,0
1998/12/13,Atrazine,0
2000/1/16,Atrazine,0.08
2000/2/12,Atrazine,0.06
2000/3/12,Atrazine,0.04
2000/4/16,Atrazine,0.05
2000/5/14,Atrazine,0.06
2000/6/29,Atrazine,0.04
2001/1/28,Atrazine,0.07
2001/2/18,Atrazine,0.03
2001/3/18,Atrazine,0.03
2001/4/27,Atrazine,0.01
2001/5/13,Atrazine,0.01
2001/6/19,Atrazine,0.01
2002/3/23,Atrazine,0
2002/5/25,Atrazine,0
2002/8/24,Atrazine,0
2002/9/21,Atrazine,0
2002/10/26,Atrazine,0
2002/11/23,Atrazine,0
2002/12/22,Atrazine,0
2003/1/26,Atrazine,0
2005/1/30,Atrazine,0.126
2005/2/27,Atrazine,0
2005/3/27,Atrazine,0
2005/4/25,Atrazine,0
2005/5/28,Atrazine,0.118
2005/6/26,Atrazine,0.096
2005/7/29,Atrazine,0.122
2005/8/24,Atrazine,0.071
2005/9/25,Atrazine,0.309
2006/1/29,Atrazine,0.295
2006/2/26,Atrazine,0.107
2006/3/25,Atrazine,0.201
2006/4/29,Atrazine,0.087
2006/5/27,Atrazine,0.133
2006/6/26,Atrazine,0.087
2006/7/29,Atrazine,0.127
2006/8/26,Atrazine,0.1
2006/9/23,Atrazine,0.188
2006/10/28,Atrazine,0.216
2006/11/25,Atrazine,0.188
2006/12/23,Atrazine,0.509
2007/1/27,Atrazine,0.062
2007/2/24,Atrazine,0.22
2007/3/24,Atrazine,0.177
2007/4/20,Atrazine,0.06
2007/5/26,Atrazine,0.06
2007/6/23,Atrazine,0.06
2007/7/21,Atrazine,0.06
2007/8/25,Atrazine,0.06
2007/9/23,Atrazine,0.06
2007/10/27,Atrazine,0.06
2007/11/24,Atrazine,0.06
2007/12/22,Atrazine,0.06
2008/2/23,Atrazine,0.5
2008/3/23,Atrazine,0.5
2008/5/26,Atrazine,0.5
2008/6/29,Atrazine,0.5
2008/7/27,Atrazine,0.5
2008/10/26,Atrazine,0.5
2008/11/27,Atrazine,0.5
2013/1/25,Atrazine,0
2013/2/22,Atrazine,0
2013/3/15,Atrazine,0
2013/4/19,Atrazine,0
2013/5/23,Atrazine,0
2013/6/27,Atrazine,0
2013/8/22,Atrazine,0
2013/9/26,Atrazine,0
2013/10/24,Atrazine,0
2013/11/21,Atrazine,0
2013/12/12,Atrazine,0
2014/1/23,Atrazine,0.097
2014/2/28,Atrazine,1.04
2014/3/26,Atrazine,0.672
2014/4/23,Atrazine,0
2014/5/28,Atrazine,0
2014/6/25,Atrazine,0
2014/7/23,Atrazine,0
2014/8/27,Atrazine,0
2014/9/24,Atrazine,0
2014/10/29,Atrazine,0
2014/11/26,Atrazine,0
2015/1/28,Atrazine,0
2015/2/25,Atrazine,0
2015/3/25,Atrazine,0
2015/8/22,Atrazine,0
2015/9/19,Atrazine,0
2015/10/24,Atrazine,0
2015/11/14,Atrazine,0
2015/12/12,Atrazine,0
2016/1/23,Atrazine,0
2016/2/20,Atrazine,0
2016/3/20,Atrazine,0
2016/4/29,Atrazine,0
2016/5/28,Atrazine,0
2016/6/19,Atrazine,0
2016/7/23,Atrazine,0
2016/8/21,Atrazine,0
2016/9/22,Atrazine,0
2016/10/21,Atrazine,0
2016/11/18,Atrazine,0
2016/12/12,Atrazine,0
1998/4/16,gamma-Hexachlorocyclohexane,0
1998/6/27,gamma-Hexachlorocyclohexane,0.002
1999/1/16,gamma-Hexachlorocyclohexane,0.03
1999/2/13,gamma-Hexachlorocyclohexane,0.02
1999/3/13,gamma-Hexachlorocyclohexane,0.01
1999/4/22,gamma-Hexachlorocyclohexane,0.02
1999/5/15,gamma-Hexachlorocyclohexane,0.0011
1999/6/18,gamma-Hexachlorocyclohexane,0.01
1999/7/24,gamma-Hexachlorocyclohexane,0.01
1999/8/28,gamma-Hexachlorocyclohexane,0.01
1999/9/18,gamma-Hexachlorocyclohexane,0.06
1999/10/20,gamma-Hexachlorocyclohexane,0.14
1999/11/7,gamma-Hexachlorocyclohexane,0.17
1999/12/11,gamma-Hexachlorocyclohexane,0.09
2000/1/16,gamma-Hexachlorocyclohexane,0.07
2000/2/12,gamma-Hexachlorocyclohexane,0.04
2000/3/12,gamma-Hexachlorocyclohexane,0.04
2000/4/16,gamma-Hexachlorocyclohexane,0.03
2000/5/14,gamma-Hexachlorocyclohexane,0.01
2000/6/29,gamma-Hexachlorocyclohexane,0.12
2001/1/28,gamma-Hexachlorocyclohexane,0.3
2001/2/18,gamma-Hexachlorocyclohexane,0.45
2001/3/18,gamma-Hexachlorocyclohexane,0.1
2001/4/27,gamma-Hexachlorocyclohexane,0.2
2001/5/13,gamma-Hexachlorocyclohexane,0.03
2001/6/19,gamma-Hexachlorocyclohexane,0.02
2001/8/26,gamma-Hexachlorocyclohexane,0.01
2001/10/14,gamma-Hexachlorocyclohexane,0.02
2001/11/15,gamma-Hexachlorocyclohexane,0.03
2001/12/9,gamma-Hexachlorocyclohexane,0.05
2002/3/23,gamma-Hexachlorocyclohexane,0.15
2002/4/27,gamma-Hexachlorocyclohexane,0.01
2002/5/25,gamma-Hexachlorocyclohexane,0.01
2002/6/29,gamma-Hexachlorocyclohexane,0.02
2002/9/21,gamma-Hexachlorocyclohexane,0.02
2002/10/15,gamma-Hexachlorocyclohexane,0.01
2002/10/26,gamma-Hexachlorocyclohexane,0
2002/11/23,gamma-Hexachlorocyclohexane,0.01
2002/12/22,gamma-Hexachlorocyclohexane,0.01
2003/1/26,gamma-Hexachlorocyclohexane,0.001
2003/2/28,gamma-Hexachlorocyclohexane,0.105
2003/8/15,gamma-Hexachlorocyclohexane,0.003
2003/9/13,gamma-Hexachlorocyclohexane,0.003
2004/3/28,gamma-Hexachlorocyclohexane,0
2004/5/30,gamma-Hexachlorocyclohexane,0.045
2004/6/27,gamma-Hexachlorocyclohexane,0.058
2004/7/25,gamma-Hexachlorocyclohexane,0.018
2004/8/29,gamma-Hexachlorocyclohexane,0.027
2004/9/27,gamma-Hexachlorocyclohexane,0.116
2004/10/24,gamma-Hexachlorocyclohexane,0.026
2004/11/28,gamma-Hexachlorocyclohexane,0.04
2004/12/19,gamma-Hexachlorocyclohexane,0.019
2005/2/27,gamma-Hexachlorocyclohexane,0.02
2005/3/27,gamma-Hexachlorocyclohexane,0.098
2005/4/25,gamma-Hexachlorocyclohexane,0.061
2005/5/28,gamma-Hexachlorocyclohexane,0.021
2005/7/29,gamma-Hexachlorocyclohexane,0.089
2005/8/24,gamma-Hexachlorocyclohexane,0.057
2005/9/25,gamma-Hexachlorocyclohexane,0.275
2005/11/27,gamma-Hexachlorocyclohexane,0.122
2005/12/18,gamma-Hexachlorocyclohexane,0.116
2006/2/26,gamma-Hexachlorocyclohexane,0.054
2006/3/25,gamma-Hexachlorocyclohexane,0.023
2006/5/27,gamma-Hexachlorocyclohexane,0.034
2006/6/26,gamma-Hexachlorocyclohexane,0.022
2006/7/29,gamma-Hexachlorocyclohexane,0.051
2006/8/26,gamma-Hexachlorocyclohexane,0.005
2006/9/23,gamma-Hexachlorocyclohexane,0.023
2006/10/28,gamma-Hexachlorocyclohexane,0.01
