sampleTime,name,value
1998/4/18,Atrazine,0
1998/6/30,Atrazine,0
1998/8/26,Atrazine,0
1998/10/24,Atrazine,0
1998/11/20,Atrazine,0
1998/12/10,Atrazine,0
1999/5/26,Atrazine,0.05
1999/7/26,Atrazine,0.03
2000/3/23,Atrazine,0.06
2000/4/29,Atrazine,0.03
2000/5/26,Atrazine,0.043333333
2000/6/24,Atrazine,0.04
2001/1/25,Atrazine,0.026666667
2001/2/22,Atrazine,0.02
2001/3/22,Atrazine,0.043333333
2001/4/30,Atrazine,0.009666667
2001/5/27,Atrazine,0.016666667
2001/6/21,Atrazine,0.016666667
2002/3/28,Atrazine,0
2002/5/18,Atrazine,0
2002/8/23,Atrazine,0
2002/9/21,Atrazine,0
2002/10/26,Atrazine,0
2002/11/21,Atrazine,0
2002/12/14,Atrazine,0
2003/1/24,Atrazine,0
2004/7/10,Atrazine,0.073
2005/1/16,Atrazine,0
2005/2/11,Atrazine,0.038
2005/4/8,Atrazine,0.035
2005/5/13,Atrazine,0.109
2005/6/12,Atrazine,0.084666667
2005/7/8,Atrazine,0.136
2005/8/12,Atrazine,0.126
2005/9/9,Atrazine,0.108333333
2006/1/13,Atrazine,0.102333333
2006/2/10,Atrazine,0.096666667
2006/3/9,Atrazine,0.123
2006/4/15,Atrazine,0.130666667
2006/5/11,Atrazine,0.087
2006/6/8,Atrazine,0.288333333
2006/7/13,Atrazine,0.100333333
2006/8/10,Atrazine,0.134666667
2006/9/7,Atrazine,0.310666667
2006/10/12,Atrazine,0.195333333
2006/11/9,Atrazine,0.088333333
2006/12/7,Atrazine,0.192
2007/1/11,Atrazine,0.118333333
2007/2/15,Atrazine,0.176666667
2007/3/15,Atrazine,0.063666667
2007/4/12,Atrazine,0.078666667
2007/5/10,Atrazine,0.073333333
2007/6/7,Atrazine,0.06
2007/7/7,Atrazine,0.067333333
2007/8/11,Atrazine,0.06
2007/9/6,Atrazine,0.06
2007/10/13,Atrazine,0.06
2007/11/10,Atrazine,0.06
2007/12/8,Atrazine,0.06
2008/4/11,Atrazine,0.5
2008/5/9,Atrazine,0.5
2008/6/13,Atrazine,0.5
2008/7/11,Atrazine,0.5
2008/8/8,Atrazine,0.5
2008/9/6,Atrazine,0.5
2008/10/12,Atrazine,0.5
2008/11/7,Atrazine,0.5
2008/12/12,Atrazine,0.5
2009/1/9,Atrazine,0.5
2009/2/13,Atrazine,0.5
2009/3/13,Atrazine,0.5
2009/4/17,Atrazine,0.5
2009/5/8,Atrazine,0.5
2009/6/12,Atrazine,0.5
2009/7/11,Atrazine,0.5
2009/8/8,Atrazine,0.5
2009/9/28,Atrazine,0.5
2010/1/10,Atrazine,0.5
2010/2/7,Atrazine,0.5
2010/3/12,Atrazine,0.5
2010/4/8,Atrazine,0.5
2010/5/14,Atrazine,0.5
2010/6/19,Atrazine,0.5
2010/7/18,Atrazine,0.5
2010/8/14,Atrazine,0.5
2010/9/2,Atrazine,0.5
2010/10/15,Atrazine,0.5
2010/11/10,Atrazine,0.5
2010/12/11,Atrazine,0.5
2012/1/14,Atrazine,0
2012/2/11,Atrazine,0
2013/2/10,Atrazine,0
2013/3/10,Atrazine,0
2013/4/15,Atrazine,0
