sampleTime,name,value
2009/7/3,Atrazine,0.05
2015/1/22,Atrazine,0
2015/2/5,Atrazine,0
2015/3/20,Atrazine,0
2015/4/3,Atrazine,0
2015/5/14,Atrazine,0
2015/6/13,Atrazine,0
2015/7/10,Atrazine,0
2015/8/13,Atrazine,0
2015/9/5,Atrazine,0
2015/10/17,Atrazine,0
2015/11/14,Atrazine,0
2015/12/4,Atrazine,0
2016/2/17,Atrazine,0
2016/2/26,Atrazine,0
2016/4/2,Atrazine,0
2016/5/14,Atrazine,0
2016/6/13,Atrazine,0
2016/7/16,Atrazine,0
2016/8/12,Atrazine,0
2016/9/4,Atrazine,0
2016/10/21,Atrazine,0
2016/11/12,Atrazine,0
2009/7/3,gamma-Hexachlorocyclohexane,0.02
2015/1/22,gamma-Hexachlorocyclohexane,0
2015/2/5,gamma-Hexachlorocyclohexane,0
2015/3/20,gamma-Hexachlorocyclohexane,0
2015/4/3,gamma-Hexachlorocyclohexane,0
2015/5/14,gamma-Hexachlorocyclohexane,0
2015/6/13,gamma-Hexachlorocyclohexane,0
2015/7/10,gamma-Hexachlorocyclohexane,0
2015/8/13,gamma-Hexachlorocyclohexane,0
2015/9/5,gamma-Hexachlorocyclohexane,0
2015/10/17,gamma-Hexachlorocyclohexane,0
2015/11/14,gamma-Hexachlorocyclohexane,0
2015/12/4,gamma-Hexachlorocyclohexane,0
2016/2/17,gamma-Hexachlorocyclohexane,0
2016/2/26,gamma-Hexachlorocyclohexane,0
2016/3/20,gamma-Hexachlorocyclohexane,0
2016/4/2,gamma-Hexachlorocyclohexane,0
2016/5/14,gamma-Hexachlorocyclohexane,0
2016/6/13,gamma-Hexachlorocyclohexane,0
2016/7/16,gamma-Hexachlorocyclohexane,0
2016/8/12,gamma-Hexachlorocyclohexane,0
2016/9/4,gamma-Hexachlorocyclohexane,0
2016/10/21,gamma-Hexachlorocyclohexane,0
2016/11/12,gamma-Hexachlorocyclohexane,0
2015/1/22,"p,p-DDT",0
2015/2/5,"p,p-DDT",0
2015/3/20,"p,p-DDT",0
2015/4/3,"p,p-DDT",0
2015/5/14,"p,p-DDT",0
2015/6/13,"p,p-DDT",0
2015/7/10,"p,p-DDT",0
2015/8/13,"p,p-DDT",0
2015/9/5,"p,p-DDT",0
2015/10/17,"p,p-DDT",0
2015/11/14,"p,p-DDT",0
2015/12/4,"p,p-DDT",0
2016/2/17,"p,p-DDT",0
2016/2/26,"p,p-DDT",0
2016/3/20,"p,p-DDT",0
2016/4/2,"p,p-DDT",0
2016/5/14,"p,p-DDT",0
2016/6/13,"p,p-DDT",0
2016/7/16,"p,p-DDT",0
2016/8/12,"p,p-DDT",0
2016/9/4,"p,p-DDT",0
2016/10/21,"p,p-DDT",0
2016/11/12,"p,p-DDT",0
