sampleTime,name,value
2009/1/15,Ammonium,0.552
2009/2/13,Ammonium,0.086
2009/3/19,Ammonium,0.07
2009/4/17,Ammonium,0.125
2009/5/17,Ammonium,0.211
2009/6/12,Ammonium,0.016
2009/7/11,Ammonium,0.039
2009/8/13,Ammonium,0.093
2009/9/10,Ammonium,0.132
2009/10/11,Ammonium,0.031
2009/11/19,Ammonium,0.39
2009/12/10,Ammonium,0.234
2010/1/16,Ammonium,0.451
2010/2/11,Ammonium,0.07
2010/2/20,Ammonium,0.062
2010/2/21,Ammonium,0.062
2010/3/13,Ammonium,0.528
2010/3/19,Ammonium,0.023
2010/4/7,Ammonium,0.023
2010/4/8,Ammonium,0.07
2010/4/10,Ammonium,0.031
2010/4/16,Ammonium,0.28
2010/5/15,Ammonium,0.093
2010/5/20,Ammonium,0.218
2010/6/17,Ammonium,0.047
2010/6/30,Ammonium,0.006
2010/7/8,Ammonium,0.085
2010/7/16,Ammonium,0.085
2010/8/12,Ammonium,0.163
2010/8/18,Ammonium,0.101
2010/9/9,Ammonium,0.039
2010/9/17,Ammonium,0.109
2010/10/14,Ammonium,0.023
2010/10/16,Ammonium,0.016
2010/10/22,Ammonium,0.148
2010/11/13,Ammonium,0.054
2010/11/19,Ammonium,0.109
2010/12/10,Ammonium,0.155
2010/12/11,Ammonium,0.155
2011/1/21,Ammonium,0.105
2011/1/22,Ammonium,0.219
2011/2/11,Ammonium,0.216
2011/2/18,Ammonium,0.139
2011/3/18,Ammonium,0.157
2011/3/31,Ammonium,0.038
2011/4/16,Ammonium,0
2011/4/22,Ammonium,0.028
2011/5/13,Ammonium,0.108
2011/5/27,Ammonium,0.073
2011/6/11,Ammonium,0.076
2011/6/17,Ammonium,0.041
2011/7/9,Ammonium,0.028
2011/7/14,Ammonium,0
2011/8/4,Ammonium,0.069
2011/8/11,Ammonium,0.027
2011/9/14,Ammonium,0
2011/9/28,Ammonium,0
2011/10/8,Ammonium,0.078
2011/10/13,Ammonium,0.097
2011/11/11,Ammonium,0.279
2011/11/26,Ammonium,0.041
2011/12/10,Ammonium,0.089
2011/12/15,Ammonium,0.053
2012/1/20,Ammonium,0.146
2012/1/21,Ammonium,0.131
2012/2/10,Ammonium,0.275
2012/2/17,Ammonium,0.097
2012/3/15,Ammonium,0.912
2012/3/17,Ammonium,0.322
2012/4/21,Ammonium,0
2012/4/29,Ammonium,0
2012/5/19,Ammonium,0
2012/5/27,Ammonium,0.15
2012/6/16,Ammonium,0.288
2012/6/28,Ammonium,0.065
2012/7/8,Ammonium,0.066
