sampleTime,name,value
1998/1/11,Ammonium,0.33
1998/2/15,Ammonium,0.14
1998/3/12,Ammonium,0.2
1998/4/11,Ammonium,0.13
1998/5/9,Ammonium,0.21
1998/6/6,Ammonium,0.14
1998/7/11,Ammonium,0.13
1998/8/8,Ammonium,0.2
1998/9/5,Ammonium,0.265
1998/10/3,Ammonium,0.18
1998/11/7,Ammonium,0.065
1998/12/5,Ammonium,0.125
1999/1/9,Ammonium,0.45
1999/2/11,Ammonium,0.656666667
1999/3/11,Ammonium,0.56
1999/4/16,Ammonium,0.18
1999/5/13,Ammonium,0.296666667
1999/6/6,Ammonium,0.163333333
1999/7/22,Ammonium,0.153333333
1999/8/19,Ammonium,0.165
1999/9/16,Ammonium,0.11
1999/10/10,Ammonium,0.105
1999/11/5,Ammonium,0.155
1999/12/9,Ammonium,0.35
2000/1/14,Ammonium,0.25
2000/2/10,Ammonium,0.37
2000/3/10,Ammonium,0.3
2000/4/14,Ammonium,0.523333333
2000/5/12,Ammonium,0.366666667
2000/6/9,Ammonium,0.25
2000/7/14,Ammonium,0.373333333
2000/8/17,Ammonium,0.26
2000/9/8,Ammonium,0.566666667
2000/10/6,Ammonium,0.32
2000/11/10,Ammonium,0.503333333
2000/12/8,Ammonium,0.57
2001/1/20,Ammonium,0.373333333
2001/3/10,Ammonium,0.25
2001/4/19,Ammonium,0.21
2001/5/4,Ammonium,0.226666667
2001/6/6,Ammonium,0.136666667
2001/7/27,Ammonium,0.07
2001/8/4,Ammonium,0.116666667
2001/9/14,Ammonium,0.19
2001/10/12,Ammonium,0.213333333
2001/12/7,Ammonium,0.49
2002/2/15,Ammonium,0.5
2002/2/16,Ammonium,0.545
2002/2/17,Ammonium,0.365
2002/3/21,Ammonium,0.663333333
2002/4/25,Ammonium,0.313333333
2002/5/9,Ammonium,0.336666667
2002/5/23,Ammonium,0.29
2002/6/13,Ammonium,0.293333333
2002/6/27,Ammonium,0.293333333
2002/7/12,Ammonium,0.613333333
2002/7/25,Ammonium,0.32
2002/8/8,Ammonium,0.526666667
2002/8/22,Ammonium,0.586666667
2002/9/12,Ammonium,0.413333333
2002/9/19,Ammonium,0.313333333
2002/9/27,Ammonium,0.133333333
2002/10/10,Ammonium,0.513333333
2002/10/24,Ammonium,0.47
2002/11/7,Ammonium,0.643333333
2002/11/21,Ammonium,0.276666667
2002/12/12,Ammonium,0.803333333
2002/12/19,Ammonium,0.74
2003/1/23,Ammonium,0.446666667
2003/2/13,Ammonium,0.153333333
2003/3/6,Ammonium,0.104333333
2003/3/20,Ammonium,0.301333333
2003/4/10,Ammonium,0.236
2003/4/24,Ammonium,0.28
2003/5/8,Ammonium,0.113666667
2003/5/22,Ammonium,0.593333333
2003/6/6,Ammonium,0.667333333
2003/6/19,Ammonium,0.356666667
2003/7/10,Ammonium,0.419333333
2003/7/25,Ammonium,0.217
2003/8/7,Ammonium,0.66
2003/9/5,Ammonium,0.17
2003/10/9,Ammonium,0.175666667
2003/10/23,Ammonium,0.326666667
2003/11/13,Ammonium,0.124
2003/11/27,Ammonium,0.21
2003/12/4,Ammonium,0.326
2003/12/18,Ammonium,0.204
2004/1/8,Ammonium,0.435
2004/1/29,Ammonium,0.157666667
2004/2/12,Ammonium,0.193666667
2004/2/26,Ammonium,0.194
2004/3/12,Ammonium,0.219666667
2004/3/26,Ammonium,0.103333333
2004/4/9,Ammonium,0.134
2004/4/23,Ammonium,0.121
2004/5/7,Ammonium,0.248333333
2004/5/28,Ammonium,0.209333333
2004/6/11,Ammonium,0.238
2004/6/25,Ammonium,0.263666667
2004/7/9,Ammonium,0.121
2004/7/23,Ammonium,0.108
2004/8/13,Ammonium,0.323666667
2004/8/27,Ammonium,0.176666667
2004/9/10,Ammonium,0.129
2004/9/24,Ammonium,0.134333333
2004/10/8,Ammonium,0.187666667
2004/10/22,Ammonium,0.286666667
2004/11/5,Ammonium,0.869666667
2004/11/26,Ammonium,0.414
2004/12/3,Ammonium,0.516666667
2004/12/17,Ammonium,0.209
2005/1/14,Ammonium,0.571666667
2005/1/28,Ammonium,0.293333333
2005/2/11,Ammonium,0.341666667
2005/2/24,Ammonium,0.571333333
2005/3/11,Ammonium,0.253333333
2005/3/25,Ammonium,0.308
2005/4/8,Ammonium,0.403333333
