sampleTime,name,value
1998/10/29,Ammonium,0.49
1998/11/28,Ammonium,0.57
1998/12/19,Ammonium,0.47
1999/1/27,Ammonium,1.76
1999/2/20,Ammonium,0.55
1999/3/19,Ammonium,0.13
1999/4/23,Ammonium,0.24
1999/5/27,Ammonium,0.86
1999/6/22,Ammonium,0.2
1999/7/24,Ammonium,0.4
1999/8/30,Ammonium,0.29
1999/9/18,Ammonium,1.1
1999/10/22,Ammonium,0.28
1999/11/20,Ammonium,1.38
1999/12/10,Ammonium,1.26
2000/1/15,Ammonium,0.76
2000/2/19,Ammonium,4.54
2000/3/19,Ammonium,2.89
2000/4/29,Ammonium,0.59
2000/5/27,Ammonium,1.11
2000/6/26,Ammonium,0.05
2000/7/28,Ammonium,1.05
2000/8/28,Ammonium,0.16
2000/9/24,Ammonium,1.49
2000/10/18,Ammonium,0.2
2000/11/24,Ammonium,0.42
2000/12/4,Ammonium,0.49
2001/1/17,Ammonium,0.39
2001/2/18,Ammonium,0.69
2001/3/31,Ammonium,0.24
2001/4/29,Ammonium,0.31
2001/5/28,Ammonium,0.2
2001/6/21,Ammonium,0.29
2001/7/28,Ammonium,0.45
2001/8/28,Ammonium,0.23
2001/9/23,Ammonium,0.31
2001/11/18,Ammonium,0.46
2002/1/24,Ammonium,0.66
2002/1/25,Ammonium,0.73
2002/1/26,Ammonium,0.71
2002/2/2,Ammonium,0.42
2002/3/29,Ammonium,0.3
2002/4/20,Ammonium,0.11
2002/5/18,Ammonium,0.36
2002/6/22,Ammonium,0.66
2002/7/26,Ammonium,0.31
2002/8/22,Ammonium,0.46
2002/9/12,Ammonium,0.37
2002/10/12,Ammonium,0.24
2002/10/26,Ammonium,0.79
2002/12/15,Ammonium,0.31
2003/1/24,Ammonium,0.46
2003/2/28,Ammonium,0.32
2003/3/30,Ammonium,0.28
2003/4/26,Ammonium,0.42
2003/5/22,Ammonium,0.74
2003/6/28,Ammonium,0.5
2003/7/12,Ammonium,1
2003/8/20,Ammonium,0.85
2003/9/16,Ammonium,0.27
2003/10/9,Ammonium,1.41
2003/11/22,Ammonium,0.64
2003/12/19,Ammonium,0.55
2004/1/23,Ammonium,1.08
2004/2/14,Ammonium,1.06
2004/3/14,Ammonium,0.16
2004/4/16,Ammonium,0.37
2004/5/30,Ammonium,0.282
2004/6/19,Ammonium,0.22
2004/7/2,Ammonium,0.881
2004/8/14,Ammonium,0.274
2004/9/4,Ammonium,0.217
2004/10/21,Ammonium,0.54
2004/12/3,Ammonium,0.26
2005/1/22,Ammonium,0.744
2005/2/20,Ammonium,0.568
2005/3/24,Ammonium,0.293
2005/4/24,Ammonium,0.099
2005/5/29,Ammonium,0.035
2005/6/17,Ammonium,1.03
2005/7/24,Ammonium,0.535
2005/8/14,Ammonium,0.539
2005/9/24,Ammonium,0.113
2005/10/23,Ammonium,0.278
2005/11/24,Ammonium,0.276
2005/12/22,Ammonium,0.389
2006/1/28,Ammonium,0.146
2006/2/25,Ammonium,0.768
2006/3/23,Ammonium,0.784
2006/4/27,Ammonium,0.162
2006/5/31,Ammonium,0.672
2006/6/25,Ammonium,0.772
2006/7/16,Ammonium,0.292
2006/8/13,Ammonium,1.37
2006/9/22,Ammonium,1.22
2006/10/6,Ammonium,4
2006/11/22,Ammonium,0.348
2006/12/13,Ammonium,1.12
2007/1/24,Ammonium,0.37
2007/2/22,Ammonium,0.714
2007/3/28,Ammonium,0.515
2007/4/20,Ammonium,0.118
2007/5/26,Ammonium,0.434
2007/6/23,Ammonium,0.71
2007/7/22,Ammonium,0.684
2007/8/25,Ammonium,0.638
2007/9/29,Ammonium,0.261
2007/10/26,Ammonium,1.06
2007/11/28,Ammonium,1.2
2007/12/22,Ammonium,1.32
2008/2/3,Ammonium,0.96
2008/3/30,Ammonium,0.929
2008/5/3,Ammonium,0.65
2008/5/30,Ammonium,0.304
2008/6/26,Ammonium,0.193
2008/7/12,Ammonium,0.138
2008/8/11,Ammonium,0.96
2008/9/21,Ammonium,0.175
2008/10/19,Ammonium,0.901
2008/11/17,Ammonium,0.322
2008/12/5,Ammonium,0.224
2008/12/15,Ammonium,0.2053
2009/1/24,Ammonium,0.426
2009/2/14,Ammonium,0.318
2009/3/27,Ammonium,0.38
2009/4/25,Ammonium,0.271
2009/5/25,Ammonium,0.08
2009/6/28,Ammonium,0.367
2009/7/26,Ammonium,0.088
2009/8/28,Ammonium,0.278
2009/9/24,Ammonium,0.214
2009/10/30,Ammonium,0.204
2009/11/14,Ammonium,0.067
2009/12/19,Ammonium,0.094
2010/1/24,Ammonium,0.115
2010/2/14,Ammonium,0.108
2010/3/20,Ammonium,0.124
2010/4/18,Ammonium,0.099
2010/5/22,Ammonium,0.135
2010/6/13,Ammonium,0.356
2010/7/22,Ammonium,0.367
2010/8/28,Ammonium,0.332
2010/9/30,Ammonium,0.1
2010/10/29,Ammonium,0.059
2010/11/27,Ammonium,0.508
2010/12/9,Ammonium,0.324
2011/1/30,Ammonium,0.217
2011/2/26,Ammonium,0.329
2011/3/26,Ammonium,0.593
2011/4/13,Ammonium,0.131
2011/5/27,Ammonium,0.322
2011/6/29,Ammonium,0.685
2011/8/3,Ammonium,0.158
2011/8/28,Ammonium,0.129
2011/9/23,Ammonium,1.05
2011/11/3,Ammonium,0.15
2011/11/16,Ammonium,0.126
2011/12/8,Ammonium,0.072
2012/2/4,Ammonium,0.244
2012/2/11,Ammonium,0.8547
2012/2/18,Ammonium,0.2075
2012/2/24,Ammonium,0.1655
2012/3/16,Ammonium,0.1476
2012/3/25,Ammonium,0.0948
2012/4/26,Ammonium,0.042
2012/4/29,Ammonium,0.0963
2012/5/26,Ammonium,0.1033
2012/5/31,Ammonium,0.1725
2012/7/20,Ammonium,0.1624
2012/7/23,Ammonium,0.1826
2012/7/27,Ammonium,0
2012/7/30,Ammonium,0.3061
2012/8/25,Ammonium,0
2012/10/7,Ammonium,0.042
2012/10/11,Ammonium,0.0528
2012/10/27,Ammonium,0.1849
2012/10/29,Ammonium,0.1748
2012/11/4,Ammonium,0.108
2012/11/15,Ammonium,0.1943
2012/11/22,Ammonium,0.0637
2012/12/8,Ammonium,0.4025
2012/12/30,Ammonium,0.1127
2013/1/11,Ammonium,0.084
2013/2/4,Ammonium,0.134
2013/2/16,Ammonium,0.07
2013/2/25,Ammonium,0.064
2013/3/24,Ammonium,0.065
2013/3/30,Ammonium,0.2
2013/4/20,Ammonium,0.35
2013/4/29,Ammonium,0.085
2013/5/19,Ammonium,0.094
2013/6/2,Ammonium,0.416
2013/6/21,Ammonium,0.185
2013/6/30,Ammonium,0.118
2013/7/19,Ammonium,0.1235
2013/7/29,Ammonium,0.2836
2013/8/8,Ammonium,0.037
2013/8/23,Ammonium,0.089
2013/9/12,Ammonium,0
2013/9/26,Ammonium,0.073
2013/10/25,Ammonium,0.162
2013/11/2,Ammonium,0.085
2013/11/4,Ammonium,0.113
2013/11/17,Ammonium,0.099
2013/11/22,Ammonium,0.102
2013/12/9,Ammonium,0.106
2013/12/19,Ammonium,0.249
2013/12/27,Ammonium,0.251
2014/1/24,Ammonium,0.02886
2014/3/12,Ammonium,0.29016
2014/3/15,Ammonium,0.25194
2014/3/21,Ammonium,0.3822
2014/4/6,Ammonium,0.18954
2014/4/18,Ammonium,0.09594
2014/5/2,Ammonium,0.34242
2014/5/14,Ammonium,0.31824
2014/5/28,Ammonium,0.38376
2014/6/5,Ammonium,0.51636
2014/6/11,Ammonium,0.28158
2014/7/12,Ammonium,0.1755
2014/8/9,Ammonium,0.2028
2014/8/22,Ammonium,0.10062
2014/8/27,Ammonium,0.06318
2014/9/3,Ammonium,0.10764
2014/9/10,Ammonium,0.07254
2014/9/18,Ammonium,0.40014
2014/10/10,Ammonium,0.15054
2014/10/17,Ammonium,0.07176
2014/11/2,Ammonium,0.10296
2014/11/13,Ammonium,0.0468
2014/11/21,Ammonium,0.05928
2014/12/6,Ammonium,0.03588
2014/12/11,Ammonium,0.08892
2014/12/13,Ammonium,0.08502
2015/1/16,Ammonium,0.196
2015/1/31,Ammonium,0.196
2015/2/14,Ammonium,0.208
2015/2/27,Ammonium,0.197
2015/3/15,Ammonium,0.17
2015/3/21,Ammonium,0.04
2015/4/10,Ammonium,0.03
2015/4/23,Ammonium,0.058
2015/5/10,Ammonium,0.073
2015/5/27,Ammonium,0
2015/6/6,Ammonium,0.073
2015/6/17,Ammonium,0.088
2015/7/12,Ammonium,0.08
2015/7/23,Ammonium,0.204
2015/8/1,Ammonium,0.068
2015/8/9,Ammonium,0.067
2015/8/21,Ammonium,0.086
2015/9/9,Ammonium,0.054
2015/9/22,Ammonium,0.117
2015/10/8,Ammonium,0.493
2015/10/15,Ammonium,0.147
2015/11/11,Ammonium,0.082
2015/11/18,Ammonium,0.118
2015/11/28,Ammonium,0.087
2015/12/9,Ammonium,0.098
2015/12/19,Ammonium,0.105
2016/1/14,Ammonium,0.085
2016/2/6,Ammonium,0.458
2016/2/11,Ammonium,0.104
2016/2/26,Ammonium,0.06
2016/3/11,Ammonium,0.016
2016/3/20,Ammonium,0.136
2016/4/8,Ammonium,0.049
2016/4/24,Ammonium,0.091
2016/5/14,Ammonium,0.092
2016/5/26,Ammonium,0.085
2016/6/16,Ammonium,0.112
2016/6/26,Ammonium,0.163
2016/7/14,Ammonium,0.091
2016/7/20,Ammonium,0.127
2016/7/24,Ammonium,0.062
2016/8/11,Ammonium,0.045
2016/8/19,Ammonium,0.045
2016/9/9,Ammonium,0.061
2016/9/17,Ammonium,0.044
2016/9/24,Ammonium,0.055
2016/10/15,Ammonium,0.055
2016/10/27,Ammonium,0.055
2016/11/12,Ammonium,0.038
2016/11/25,Ammonium,0.063
2016/12/8,Ammonium,0.255
2016/12/17,Ammonium,0.153
1998/10/29,Arsenic,0
1998/11/28,Arsenic,0
1998/12/19,Arsenic,0
2004/3/14,Arsenic,2.227
2008/2/3,Arsenic,0.21
2008/5/3,Arsenic,0.39
