sampleTime,name,value
1998/1/31,Ammonium,0.403333333
1998/2/20,Ammonium,0.563333333
1998/3/19,Ammonium,1.173333333
1998/4/17,Ammonium,0.146666667
1998/5/20,Ammonium,0.34
1998/6/28,Ammonium,0.193333333
1998/7/23,Ammonium,0.953333333
1998/8/23,Ammonium,0.213333333
1998/9/27,Ammonium,0.18
1998/10/30,Ammonium,0.383333333
1998/11/26,Ammonium,0.243333333
1998/12/18,Ammonium,0.31
1999/1/30,Ammonium,0.656666667
1999/2/18,Ammonium,0.48
1999/3/17,Ammonium,0.15
1999/4/22,Ammonium,0.156666667
1999/5/20,Ammonium,0.213333333
1999/6/19,Ammonium,0.16
1999/7/22,Ammonium,0.416666667
1999/8/28,Ammonium,0.206666667
1999/9/16,Ammonium,0.386666667
1999/10/21,Ammonium,0.183333333
1999/11/18,Ammonium,0.706666667
1999/12/9,Ammonium,0.363333333
2000/1/14,Ammonium,0.28
2000/2/18,Ammonium,1.14
2000/3/18,Ammonium,0.453333333
2000/4/28,Ammonium,0.09
2000/5/19,Ammonium,0.86
2000/6/28,Ammonium,0.036666667
2000/7/21,Ammonium,1.073333333
2000/8/26,Ammonium,0.21
2000/9/23,Ammonium,0.326666667
2000/10/16,Ammonium,0.176666667
2000/11/18,Ammonium,0.306666667
2000/12/3,Ammonium,0.303333333
2001/1/16,Ammonium,0.486666667
2001/2/17,Ammonium,0.316666667
2001/3/31,Ammonium,0.42
2001/4/27,Ammonium,0.166666667
2001/5/27,Ammonium,0.46
2001/6/19,Ammonium,0.216666667
2001/7/7,Ammonium,0.306666667
2001/8/26,Ammonium,0.096666667
2001/9/22,Ammonium,0.323333333
2001/11/22,Ammonium,0.263333333
2002/2/1,Ammonium,0.576666667
2002/2/18,Ammonium,0.256666667
2002/3/16,Ammonium,0.413333333
2002/3/31,Ammonium,0.536666667
2002/4/25,Ammonium,0.28
2002/5/11,Ammonium,0.376666667
2002/5/25,Ammonium,0.29
2002/6/12,Ammonium,0.086666667
2002/6/21,Ammonium,0.343333333
2002/7/13,Ammonium,0.086666667
2002/7/24,Ammonium,0.373333333
2002/8/10,Ammonium,0.17
