sampleTime,name,value
2009/1/21,Ammonium,0.631
2009/2/17,Ammonium,0.081
2009/3/17,Ammonium,0.162
2009/4/23,Ammonium,0.021
2009/5/17,Ammonium,0.051
2009/6/20,Ammonium,0.051
2009/7/19,Ammonium,0.038
2009/8/17,Ammonium,0.177
2009/9/18,Ammonium,0.17
2009/10/10,Ammonium,0.059
2009/11/20,Ammonium,0.17
2009/12/12,Ammonium,0.113
2010/1/17,Ammonium,6.138
2010/2/19,Ammonium,0.331
2010/3/18,Ammonium,0.267
2010/4/17,Ammonium,0.286
2010/5/19,Ammonium,0.056
2010/6/17,Ammonium,0.115
2010/7/16,Ammonium,0.183
2010/8/21,Ammonium,0.03
2010/9/16,Ammonium,0.035
2010/10/19,Ammonium,0.019
2010/11/18,Ammonium,0.165
2010/12/16,Ammonium,0.197
2011/1/21,Ammonium,0.509
2011/2/19,Ammonium,0.24
2011/3/17,Ammonium,0.162
2011/4/15,Ammonium,0.06
2011/5/20,Ammonium,0.087
2011/6/17,Ammonium,0.07
2011/7/20,Ammonium,0.052
2011/8/18,Ammonium,0.065
2011/9/15,Ammonium,0.046
2011/10/13,Ammonium,0.148
2011/11/18,Ammonium,0.072
2011/12/17,Ammonium,0.111
2012/1/20,Ammonium,0.326
2012/2/17,Ammonium,0.389
2012/3/16,Ammonium,0.323
2012/4/19,Ammonium,0.258
2012/5/19,Ammonium,0.296
2012/6/17,Ammonium,0.117
2012/7/20,Ammonium,0.105
2012/8/17,Ammonium,0
2012/9/20,Ammonium,0.054
2012/10/19,Ammonium,0.036
2012/11/18,Ammonium,0.076
2012/12/15,Ammonium,0.171
2013/1/20,Ammonium,0.169
2013/1/25,Ammonium,0.177
2013/2/2,Ammonium,0.457
2013/2/17,Ammonium,0.282
2013/3/11,Ammonium,0.238
2013/3/17,Ammonium,0.207
2013/4/7,Ammonium,0.042
2013/4/18,Ammonium,0.163
2013/5/18,Ammonium,0
2013/6/15,Ammonium,0.04
2013/6/17,Ammonium,0
2013/7/18,Ammonium,0.075
2013/7/27,Ammonium,0.059
2013/8/3,Ammonium,0.071
2013/8/18,Ammonium,0
2013/9/7,Ammonium,0
2013/9/19,Ammonium,0.037
2013/10/19,Ammonium,0.041
2013/11/9,Ammonium,0.219
2013/11/21,Ammonium,0.24
2013/12/9,Ammonium,0.844
2013/12/13,Ammonium,0.752
2014/1/18,Ammonium,0.457
2014/1/23,Ammonium,0.84
2014/2/16,Ammonium,0.966
2014/2/21,Ammonium,1.05
2014/3/20,Ammonium,0.566
2014/3/26,Ammonium,0.56
2014/4/19,Ammonium,0.74
2014/4/25,Ammonium,0.317
2014/5/15,Ammonium,0
2014/5/23,Ammonium,0.297
2014/6/21,Ammonium,0.367
2014/6/27,Ammonium,0.063
2014/7/17,Ammonium,0.177
2014/7/23,Ammonium,0.1
2014/7/27,Ammonium,0.134
2014/8/16,Ammonium,0.112
