sampleTime,name,value
1998/1/26,Ammonium,0.283333333
1998/2/24,Ammonium,0.136666667
1998/3/21,Ammonium,0.236666667
1998/4/18,Ammonium,0.18
1998/5/26,Ammonium,0.296666667
1998/6/29,Ammonium,0.263333333
1998/7/26,Ammonium,0.21
1998/8/25,Ammonium,0.223333333
1998/9/20,Ammonium,0.17
1998/10/23,Ammonium,0.296666667
1998/11/20,Ammonium,0.233333333
1998/12/17,Ammonium,0.153333333
1999/1/21,Ammonium,0.456666667
1999/2/26,Ammonium,0.94
1999/3/24,Ammonium,0.55
1999/4/23,Ammonium,0.19
1999/5/28,Ammonium,0.32
1999/6/23,Ammonium,0.19
1999/7/25,Ammonium,0.37
1999/8/30,Ammonium,0.203333333
1999/9/19,Ammonium,0.383333333
1999/10/22,Ammonium,0.226666667
1999/11/26,Ammonium,0.833333333
1999/12/16,Ammonium,0.353333333
2000/1/19,Ammonium,2.27
2000/2/18,Ammonium,0.256666667
2000/3/24,Ammonium,0.51
2000/4/29,Ammonium,0.1
2000/5/27,Ammonium,1.183333333
2000/6/25,Ammonium,0.056666667
2000/7/28,Ammonium,0.406666667
2000/8/28,Ammonium,0.19
2000/9/23,Ammonium,0.47
2000/10/18,Ammonium,0.193333333
2000/11/25,Ammonium,0.256666667
2000/12/30,Ammonium,0.42
2001/1/27,Ammonium,0.543333333
2001/2/24,Ammonium,0.366666667
2001/3/25,Ammonium,0.3
2001/4/29,Ammonium,0.32
2001/5/27,Ammonium,0.23
2001/6/21,Ammonium,0.253333333
2001/7/27,Ammonium,0.343333333
2001/8/28,Ammonium,0.143333333
2001/9/25,Ammonium,0.29
2001/11/23,Ammonium,0.796666667
2001/12/21,Ammonium,0.42
2002/1/27,Ammonium,0.096666667
2002/2/25,Ammonium,0.42
2002/3/26,Ammonium,0.21
2002/4/27,Ammonium,0.4
2002/5/18,Ammonium,0.406666667
2002/6/22,Ammonium,0.02
2002/7/25,Ammonium,0.203333333
2002/8/21,Ammonium,0.02
2002/9/21,Ammonium,0.533333333
2002/10/12,Ammonium,0.383333333
2002/10/26,Ammonium,0.316666667
2002/11/21,Ammonium,0.146666667
2002/12/18,Ammonium,0.176666667
2003/1/24,Ammonium,0.103
2003/2/21,Ammonium,0.32
2003/3/21,Ammonium,0.286666667
2003/4/25,Ammonium,0.115
2003/5/21,Ammonium,0.269
2003/6/26,Ammonium,0.428
2003/7/24,Ammonium,0.573333333
2003/8/27,Ammonium,0.433333333
2003/9/17,Ammonium,0.13
2003/10/25,Ammonium,0.703333333
2003/11/20,Ammonium,0.38
2003/12/18,Ammonium,0.653333333
2004/2/19,Ammonium,0.826
2004/3/30,Ammonium,0.081333333
2004/4/24,Ammonium,0.224
2004/5/22,Ammonium,0.288666667
2004/6/12,Ammonium,0.096333333
2004/7/10,Ammonium,0.589666667
2004/8/19,Ammonium,0.093666667
2004/9/3,Ammonium,0.058666667
2004/10/9,Ammonium,0.02
2004/12/11,Ammonium,0.147666667
2005/1/16,Ammonium,0.765333333
2005/2/11,Ammonium,0.055333333
2005/3/11,Ammonium,0.487666667
2005/4/8,Ammonium,0.178333333
2005/5/13,Ammonium,0.258666667
2005/6/10,Ammonium,0.26
2005/7/8,Ammonium,0.296666667
2005/8/12,Ammonium,0.011
2005/9/9,Ammonium,0.229
2005/10/14,Ammonium,0.109
2005/11/11,Ammonium,0.209333333
2005/12/9,Ammonium,0.066666667
2006/1/13,Ammonium,0.059566667
2006/2/10,Ammonium,0.776666667
2006/3/9,Ammonium,0.821
2006/4/15,Ammonium,0.337
2006/5/11,Ammonium,0.353
2006/6/26,Ammonium,0.651333333
2006/7/11,Ammonium,0.697
2006/8/10,Ammonium,0.611333333
2006/9/14,Ammonium,0.602
2006/10/12,Ammonium,0.654
2006/11/9,Ammonium,0.286666667
2006/12/7,Ammonium,0.713666667
2007/1/11,Ammonium,0.275666667
2007/2/8,Ammonium,0.135
2007/3/15,Ammonium,0.176
2007/4/12,Ammonium,0.102666667
2007/5/10,Ammonium,0.070333333
2007/6/9,Ammonium,0.306333333
2007/7/7,Ammonium,0.252666667
2007/8/11,Ammonium,0.028
2007/9/30,Ammonium,0.166333333
2007/10/13,Ammonium,0.506
2007/11/21,Ammonium,0.390333333
2007/12/13,Ammonium,0.131333333
2008/1/10,Ammonium,0.418666667
2008/3/2,Ammonium,0.272333333
2008/4/14,Ammonium,0.256666667
2008/5/9,Ammonium,0.096
2008/6/15,Ammonium,0.401666667
2008/7/12,Ammonium,0.132
2008/8/8,Ammonium,0.281333333
2008/9/7,Ammonium,0.053666667
2008/10/12,Ammonium,0.457766667
2008/11/7,Ammonium,0.139
2008/12/12,Ammonium,0.116933333
2009/1/9,Ammonium,0.3413
2009/2/13,Ammonium,0.064666667
2009/3/13,Ammonium,0.371
2009/4/17,Ammonium,0.093333333
2009/5/8,Ammonium,0.083666667
2009/6/12,Ammonium,0.197
2009/7/11,Ammonium,0.571
2009/8/8,Ammonium,0.078
2009/9/9,Ammonium,0.094
2009/9/27,Ammonium,0.0965
2009/10/10,Ammonium,0.097066667
2009/11/13,Ammonium,0.103333333
2009/12/5,Ammonium,0.096666667
2010/1/10,Ammonium,0.129666667
2010/2/7,Ammonium,0.120333333
2010/3/12,Ammonium,0.121333333
2010/4/8,Ammonium,0.052
2010/5/14,Ammonium,0.165
2010/6/19,Ammonium,0.336666667
2010/7/18,Ammonium,0.090333333
2010/8/14,Ammonium,0.336666667
2010/9/2,Ammonium,0.195
2010/10/15,Ammonium,0.1
2010/11/9,Ammonium,0.072333333
2010/12/11,Ammonium,0.075666667
2011/1/15,Ammonium,0.162
2011/2/10,Ammonium,0.336666667
2011/2/12,Ammonium,0.183666667
2011/3/11,Ammonium,0.188
2011/4/6,Ammonium,0.218333333
2011/5/12,Ammonium,0.07
2011/5/22,Ammonium,0.117666667
2011/6/18,Ammonium,0.118666667
2011/6/26,Ammonium,0.139666667
2011/7/14,Ammonium,0.236333333
2011/7/30,Ammonium,0.139666667
2011/8/6,Ammonium,0.095666667
2011/8/25,Ammonium,0.189333333
2011/9/9,Ammonium,0.080333333
2011/10/14,Ammonium,0.124
2011/10/23,Ammonium,0.144333333
2011/11/11,Ammonium,0.107333333
2011/11/26,Ammonium,0.305666667
2011/12/9,Ammonium,0.209666667
2011/12/17,Ammonium,0.203333333
2012/1/14,Ammonium,0.146866667
2012/2/11,Ammonium,0.177433333
2012/3/30,Ammonium,0.392666667
2012/4/15,Ammonium,0.066566667
2012/5/13,Ammonium,0.096866667
2012/6/8,Ammonium,0.095833333
2012/7/13,Ammonium,0.116533333
2012/9/1,Ammonium,0.0839
2012/9/23,Ammonium,0.063433333
2012/10/14,Ammonium,0.040433333
2012/11/9,Ammonium,0.1813
2012/12/9,Ammonium,0.108533333
2013/1/11,Ammonium,0.109
2013/2/10,Ammonium,0.052
2013/3/10,Ammonium,0.142
2013/4/14,Ammonium,0.210333333
2013/5/16,Ammonium,0.167666667
2013/6/22,Ammonium,0.093666667
2013/7/14,Ammonium,0.137333333
2013/8/12,Ammonium,0.032333333
2013/9/8,Ammonium,0.066666667
2013/10/11,Ammonium,0.103
2013/11/8,Ammonium,0.054666667
2013/12/7,Ammonium,0.167333333
2014/1/11,Ammonium,0.24154
2014/3/13,Ammonium,0.34216
2014/4/3,Ammonium,0.04472
2014/5/8,Ammonium,0.09334
2014/6/12,Ammonium,0.12974
2014/7/10,Ammonium,0.10764
2014/8/14,Ammonium,0.18434
2014/9/6,Ammonium,0.25792
2014/9/11,Ammonium,0.1547
2014/10/9,Ammonium,0.24752
2014/11/6,Ammonium,0.19396
2014/12/11,Ammonium,0.24492
2015/1/8,Ammonium,0.241333333
2015/2/12,Ammonium,0.192
2015/3/12,Ammonium,0.182333333
2015/4/2,Ammonium,0.130333333
2015/5/14,Ammonium,0.316333333
2015/6/4,Ammonium,0.053666667
2015/7/2,Ammonium,0.108333333
2015/8/19,Ammonium,0.222666667
2015/9/24,Ammonium,0.058666667
2015/10/8,Ammonium,0.107666667
2015/11/19,Ammonium,0.166666667
2015/12/10,Ammonium,0.136
2016/1/9,Ammonium,0.136333333
2016/2/11,Ammonium,0.181
2016/3/11,Ammonium,0.166333333
2016/4/1,Ammonium,0.113666667
2016/5/13,Ammonium,0.088
2016/6/3,Ammonium,0.131666667
