sampleTime,name,value
1998/4/16,Ammonium,14.2
1998/6/27,Ammonium,0.95
1998/8/22,Ammonium,1.15
1998/10/1,Ammonium,0.54
1998/11/14,Ammonium,0.6
1998/12/13,Ammonium,0.34
1999/1/16,Ammonium,0.4
1999/2/13,Ammonium,1.6
1999/3/13,Ammonium,0.24
1999/4/22,Ammonium,1.17
1999/5/15,Ammonium,0.5
1999/6/18,Ammonium,0.88
1999/7/24,Ammonium,0.56
1999/8/28,Ammonium,1.59
1999/9/18,Ammonium,2.4
1999/10/20,Ammonium,1.8
1999/11/7,Ammonium,5.5
1999/12/11,Ammonium,2.5
2000/1/16,Ammonium,2.2
2000/2/12,Ammonium,1.8
2000/3/12,Ammonium,3.4
2000/4/16,Ammonium,2.5
2000/5/14,Ammonium,2.9
2000/6/29,Ammonium,1.03
2000/7/16,Ammonium,1.48
2000/8/25,Ammonium,1.4
2000/9/10,Ammonium,2.4
2000/10/15,Ammonium,2
2000/11/12,Ammonium,1.9
2000/12/10,Ammonium,0.58
2001/1/28,Ammonium,2.6
2001/2/18,Ammonium,1.4
2001/3/18,Ammonium,0.95
2001/4/27,Ammonium,1.94
2001/5/13,Ammonium,1.66
2001/6/19,Ammonium,2.94
2001/7/27,Ammonium,1.8
2001/8/26,Ammonium,1.5
2001/9/16,Ammonium,1.82
2001/10/14,Ammonium,1.9
2001/12/9,Ammonium,1.55
2002/3/23,Ammonium,1.87
2002/4/27,Ammonium,3.2
2002/5/25,Ammonium,4.8
2002/6/29,Ammonium,2.28
2002/7/27,Ammonium,3.68
2002/8/24,Ammonium,2.8
2002/9/21,Ammonium,1.75
2002/10/10,Ammonium,4.76
2002/10/26,Ammonium,3.8
2002/11/23,Ammonium,3.3
2002/12/22,Ammonium,1.94
2003/2/28,Ammonium,1.78
2003/3/23,Ammonium,0.96
2003/4/26,Ammonium,1.05
2003/5/24,Ammonium,5.4
2003/6/21,Ammonium,2.5
2003/7/26,Ammonium,1.38
2003/8/9,Ammonium,4.18
2003/9/13,Ammonium,3.24
2003/10/25,Ammonium,1.53
2003/11/29,Ammonium,2.17
2003/12/20,Ammonium,1.13
2004/1/31,Ammonium,2.79
2004/2/28,Ammonium,1.81
2004/3/28,Ammonium,1.44
2004/4/25,Ammonium,1.19
2004/5/30,Ammonium,2.48
2004/6/27,Ammonium,1.34
2004/7/25,Ammonium,1.73
2004/8/29,Ammonium,1.45
2004/9/27,Ammonium,1.68
2004/10/24,Ammonium,1.77
2004/11/28,Ammonium,2.1
2004/12/19,Ammonium,1.51
2005/1/30,Ammonium,1.26
2005/2/27,Ammonium,5.4
2005/3/27,Ammonium,5.56
2005/4/25,Ammonium,3.07
2005/5/29,Ammonium,4.89
2005/6/26,Ammonium,3.79
2005/7/24,Ammonium,4.1
2005/8/28,Ammonium,3.01
2005/9/25,Ammonium,2.62
2005/10/23,Ammonium,1.91
2005/11/27,Ammonium,2.41
2005/12/18,Ammonium,4.16
2006/1/29,Ammonium,2.16
2006/2/26,Ammonium,3.82
2006/3/25,Ammonium,1.36
2006/4/29,Ammonium,1.16
2006/5/27,Ammonium,3.3
2006/6/26,Ammonium,1.39
2006/8/26,Ammonium,1.23
2006/9/23,Ammonium,1.43
2006/10/28,Ammonium,1.48
2006/11/25,Ammonium,2.21
2006/12/23,Ammonium,1.29
2007/1/27,Ammonium,1.09
2007/2/24,Ammonium,1.43
2007/3/24,Ammonium,0.6
2007/4/21,Ammonium,0.9
2007/5/26,Ammonium,1.27
2007/6/23,Ammonium,0.969
2007/7/21,Ammonium,0.88
2007/8/25,Ammonium,1.29
2007/9/23,Ammonium,0.945
2007/10/27,Ammonium,1.68
2007/11/24,Ammonium,2.43
2007/12/22,Ammonium,1.05
2008/1/26,Ammonium,2.74
2008/2/23,Ammonium,1.68
2008/3/23,Ammonium,1.04
2008/5/26,Ammonium,1.88
2008/6/29,Ammonium,2.39
2008/7/27,Ammonium,6.418
2008/8/31,Ammonium,4.969
2008/9/28,Ammonium,4.969
2008/10/26,Ammonium,4.145
2008/11/27,Ammonium,3.453
2008/12/19,Ammonium,3.74
2009/1/29,Ammonium,4.239
2009/2/26,Ammonium,4.89
2009/3/29,Ammonium,2.65
2009/4/24,Ammonium,3.15
2009/5/28,Ammonium,4.46
2009/6/25,Ammonium,4.75
2009/7/30,Ammonium,7.79
2009/8/20,Ammonium,4.99
2009/9/21,Ammonium,7.42
2009/10/29,Ammonium,3.751
2009/11/26,Ammonium,1.51
2009/12/10,Ammonium,2.81
2010/1/28,Ammonium,2.438
2010/2/18,Ammonium,3.174
2010/3/24,Ammonium,3.43
2010/4/21,Ammonium,1.926
2010/5/26,Ammonium,3.39
2010/6/23,Ammonium,5.58
2010/7/28,Ammonium,2.99
2010/8/26,Ammonium,2.64
2010/9/29,Ammonium,2.31
2010/10/20,Ammonium,4.43
2010/11/24,Ammonium,5.11
2010/12/15,Ammonium,4.01
2011/1/26,Ammonium,3.59
2011/2/25,Ammonium,3.08
2011/3/30,Ammonium,4.14
2011/4/27,Ammonium,2.39
2011/5/18,Ammonium,3.96
2011/6/30,Ammonium,3.31
2011/7/13,Ammonium,1.8715
2011/8/31,Ammonium,2.49
2011/9/28,Ammonium,1.962
2011/10/26,Ammonium,2.91
2011/11/23,Ammonium,2.47
2011/12/7,Ammonium,2.766
2012/1/25,Ammonium,2.221
2012/2/23,Ammonium,4.363
2012/3/29,Ammonium,3.39
2012/4/27,Ammonium,3.6
2012/5/25,Ammonium,2.658
2012/6/21,Ammonium,2.31
2012/7/26,Ammonium,1.81
2012/8/23,Ammonium,1.736
2012/10/25,Ammonium,1.962
2012/11/24,Ammonium,1.793
2012/12/15,Ammonium,0.325
2013/1/25,Ammonium,1.899
2013/2/22,Ammonium,1.529
2013/3/15,Ammonium,1.213
2013/4/19,Ammonium,0.8682
2013/5/23,Ammonium,1.257
2013/6/27,Ammonium,0.839
2013/7/25,Ammonium,2.21
2013/8/22,Ammonium,3.435
2013/9/26,Ammonium,4.108
2013/10/24,Ammonium,4.705
2013/11/21,Ammonium,3.387
2013/12/12,Ammonium,5.3
2014/1/23,Ammonium,3.663
2014/2/28,Ammonium,0.366
2014/3/26,Ammonium,1.033
2014/4/23,Ammonium,2.418
2014/5/28,Ammonium,1.365
2014/6/25,Ammonium,5.438
2014/7/23,Ammonium,1.776
2014/8/27,Ammonium,6.327
2014/9/24,Ammonium,6.706
2014/10/29,Ammonium,7.389
2014/11/26,Ammonium,4.032
2014/12/17,Ammonium,6.091
2015/1/28,Ammonium,4.141
2015/2/25,Ammonium,3.496
2015/3/25,Ammonium,1.0565
2015/4/22,Ammonium,1.9215
2015/5/29,Ammonium,2.629
2015/6/25,Ammonium,1.722
2015/7/18,Ammonium,1.8235
2015/8/22,Ammonium,5.075
2015/9/19,Ammonium,2.686
2015/10/24,Ammonium,0.4616
2015/11/14,Ammonium,0.5784
2015/12/12,Ammonium,3.342
2016/1/23,Ammonium,1.9535
2016/2/20,Ammonium,1.4195
2016/3/20,Ammonium,1.448
2016/4/29,Ammonium,0.7589
2016/5/28,Ammonium,0.4228
2016/6/19,Ammonium,2.746
2016/7/23,Ammonium,1.428
2016/8/21,Ammonium,0.8393
2016/9/22,Ammonium,1.888
2016/10/21,Ammonium,0.827
2016/11/18,Ammonium,2.639
2016/12/12,Ammonium,0.376
1998/4/16,Arsenic,0
1998/6/27,Arsenic,0
1998/8/22,Arsenic,0
1998/10/1,Arsenic,0
1998/11/14,Arsenic,0
1998/12/13,Arsenic,0
2004/3/28,Arsenic,0.819
2008/7/27,Arsenic,1.1
2010/1/28,Arsenic,2.6
2010/2/18,Arsenic,2.1
2010/3/24,Arsenic,1.12
2010/4/21,Arsenic,2.5
2010/5/26,Arsenic,2
2010/6/23,Arsenic,2.6
2010/7/28,Arsenic,2.79
2010/8/26,Arsenic,5
2010/9/29,Arsenic,2.8
2010/10/20,Arsenic,2.6
2010/11/24,Arsenic,2.3
2010/12/15,Arsenic,2.6
2011/1/26,Arsenic,2.7
2011/2/25,Arsenic,2
2011/3/30,Arsenic,2.1
2011/4/27,Arsenic,2.1
2011/5/18,Arsenic,2.6
2011/6/30,Arsenic,2.4
2011/7/13,Arsenic,3.9
2011/8/31,Arsenic,3.4
2011/9/28,Arsenic,3.1
2011/10/26,Arsenic,4.2
2012/1/25,Arsenic,2.2
2012/2/23,Arsenic,2.3
2012/3/29,Arsenic,0
2012/4/27,Arsenic,0
2012/5/25,Arsenic,0
2012/6/21,Arsenic,2.7
2012/7/26,Arsenic,2.7
2012/8/23,Arsenic,2.3
2012/10/25,Arsenic,3
2012/11/24,Arsenic,2.6
