sampleTime,name,value
1998/4/18,Ammonium,0.16
1998/6/30,Ammonium,0.19
1998/8/26,Ammonium,0.21
1998/10/24,Ammonium,0.343333333
1998/11/20,Ammonium,0.106666667
1998/12/10,Ammonium,0.126666667
1999/1/16,Ammonium,0.486666667
1999/2/27,Ammonium,0.653333333
1999/3/25,Ammonium,0.24
1999/4/26,Ammonium,0.186666667
1999/5/26,Ammonium,0.893333333
1999/6/25,Ammonium,0.053333333
1999/7/26,Ammonium,0.8
1999/7/28,Ammonium,0.393333333
1999/8/31,Ammonium,0.18
1999/9/21,Ammonium,0.316666667
1999/10/23,Ammonium,0.21
1999/11/26,Ammonium,0.956666667
1999/12/15,Ammonium,0.46
2000/1/19,Ammonium,1.956666667
2000/2/19,Ammonium,0.3
2000/3/23,Ammonium,0.49
2000/4/29,Ammonium,0.09
2000/5/26,Ammonium,1.016666667
2000/6/24,Ammonium,0.04
2000/7/29,Ammonium,0.496666667
2000/8/29,Ammonium,0.223333333
2000/9/21,Ammonium,0.406666667
2000/10/19,Ammonium,0.163333333
2000/11/23,Ammonium,0.306666667
2000/12/30,Ammonium,0.41
2001/1/25,Ammonium,0.386666667
2001/2/22,Ammonium,0.496666667
2001/3/22,Ammonium,0.19
2001/4/30,Ammonium,0.316666667
2001/5/27,Ammonium,0.266666667
2001/6/21,Ammonium,0.336666667
2001/7/27,Ammonium,0.353333333
2001/8/29,Ammonium,0.116666667
2001/9/25,Ammonium,0.253333333
2001/11/23,Ammonium,0.296666667
2001/12/21,Ammonium,0.483333333
2002/1/27,Ammonium,0.08
2002/2/24,Ammonium,0.35
2002/3/28,Ammonium,0.253333333
2002/4/27,Ammonium,0.133333333
2002/5/18,Ammonium,0.26
2002/6/22,Ammonium,0.246666667
2002/7/20,Ammonium,0.243333333
2002/8/23,Ammonium,0.323333333
2002/9/21,Ammonium,0.1
2002/10/12,Ammonium,0.376666667
2002/10/26,Ammonium,0.396666667
2002/11/21,Ammonium,0.123333333
2002/12/14,Ammonium,0.153333333
2003/1/24,Ammonium,0.286666667
2003/2/21,Ammonium,0.23
2003/3/20,Ammonium,0.138
2003/4/26,Ammonium,0.521
2003/5/22,Ammonium,0.337666667
2003/6/26,Ammonium,0.419
2003/7/24,Ammonium,0.513333333
2003/8/28,Ammonium,0.65
2003/9/18,Ammonium,0.133333333
2003/10/23,Ammonium,0.4
2003/11/20,Ammonium,0.318
2003/12/18,Ammonium,1.319666667
2004/1/29,Ammonium,1.116666667
2004/2/19,Ammonium,0.801666667
2004/3/19,Ammonium,0.736666667
2004/4/23,Ammonium,0.245
2004/5/22,Ammonium,0.387666667
2004/6/12,Ammonium,0.228
2004/7/10,Ammonium,0.12
2004/8/19,Ammonium,0.067666667
2004/9/3,Ammonium,0.164
2004/10/9,Ammonium,0
2004/12/11,Ammonium,0.074
2005/1/16,Ammonium,0.901333333
2005/2/11,Ammonium,0.029
2005/3/11,Ammonium,0.121666667
2005/4/8,Ammonium,0.905
2005/5/13,Ammonium,0.448666667
2005/6/10,Ammonium,0.216666667
2005/7/8,Ammonium,0.335666667
2005/8/12,Ammonium,0.181
2005/9/9,Ammonium,0.323
2005/10/14,Ammonium,0.401333333
2005/11/11,Ammonium,0.238333333
2005/12/9,Ammonium,0.155333333
2006/1/13,Ammonium,0.168666667
2006/2/10,Ammonium,0.64
2006/3/9,Ammonium,0.391333333
2006/4/15,Ammonium,0.170666667
2006/5/11,Ammonium,0.264
2006/6/8,Ammonium,0.125333333
2006/7/13,Ammonium,0.439333333
2006/8/10,Ammonium,0.492666667
2006/9/7,Ammonium,0.642666667
2006/10/12,Ammonium,1.418333333
2006/11/9,Ammonium,0.211666667
2006/12/7,Ammonium,0.553666667
2007/1/11,Ammonium,0.286666667
2007/2/15,Ammonium,0.1372
2007/3/15,Ammonium,0.064666667
2007/4/12,Ammonium,0.085333333
2007/5/10,Ammonium,0.074666667
2007/6/7,Ammonium,0.603666667
2007/7/7,Ammonium,0.249666667
2007/8/11,Ammonium,0.064333333
2007/9/6,Ammonium,0.070666667
2007/10/13,Ammonium,0.474333333
2007/11/10,Ammonium,0.393
2007/12/8,Ammonium,0.182
2008/1/12,Ammonium,0.759
2008/2/23,Ammonium,0.02
2008/3/14,Ammonium,0.322666667
2008/4/11,Ammonium,0.37
2008/5/9,Ammonium,0.152333333
2008/6/13,Ammonium,0.443666667
2008/7/11,Ammonium,0.139333333
2008/8/8,Ammonium,0.24
2008/9/6,Ammonium,0.085333333
2008/10/12,Ammonium,0.524433333
2008/11/7,Ammonium,0.314666667
2008/12/12,Ammonium,0.2788
2009/1/9,Ammonium,0.114933333
2009/2/13,Ammonium,0.062666667
2009/3/13,Ammonium,0.358333333
2009/4/17,Ammonium,0.116666667
2009/5/8,Ammonium,0.055
2009/6/12,Ammonium,0.253333333
2009/7/11,Ammonium,0.428666667
2009/8/8,Ammonium,0.155333333
2009/9/7,Ammonium,0.073666667
2009/9/28,Ammonium,0.104333333
2009/10/8,Ammonium,0.0866
2009/11/13,Ammonium,0.107333333
2009/12/5,Ammonium,0.092
2010/1/10,Ammonium,0.075
2010/2/7,Ammonium,0.690333333
2010/3/12,Ammonium,0.101333333
2010/4/8,Ammonium,0.074333333
2010/5/14,Ammonium,0.215333333
2010/6/19,Ammonium,0.258666667
2010/7/18,Ammonium,0.092333333
2010/8/14,Ammonium,0.345
2010/9/2,Ammonium,0.169
2010/10/15,Ammonium,0.112333333
2010/11/10,Ammonium,0.246
2010/12/11,Ammonium,0.119666667
2011/1/13,Ammonium,0.189333333
2011/2/10,Ammonium,0.222666667
2011/3/10,Ammonium,0.123
2011/4/7,Ammonium,0.236666667
2011/5/12,Ammonium,0.088666667
2011/5/21,Ammonium,0.204
2011/6/18,Ammonium,0.125
2011/6/26,Ammonium,0.128
2011/7/8,Ammonium,0.163333333
2011/7/30,Ammonium,0.175
2011/8/6,Ammonium,0.121
2011/8/11,Ammonium,0.197
2011/9/9,Ammonium,0.088
2011/10/15,Ammonium,0.135
2011/10/27,Ammonium,0.091666667
2011/11/11,Ammonium,0.105
2011/11/26,Ammonium,0.246666667
2011/12/9,Ammonium,0.202666667
2012/1/14,Ammonium,0.121466667
2012/2/11,Ammonium,0.153833333
2012/3/11,Ammonium,0.407133333
2012/4/15,Ammonium,0.089333333
2012/5/13,Ammonium,0.067333333
2012/6/8,Ammonium,0.111133333
2012/7/13,Ammonium,0.0891
2012/9/1,Ammonium,0
2012/9/16,Ammonium,0.2621
2012/10/14,Ammonium,0.010366667
2012/11/5,Ammonium,0.179233333
2012/12/9,Ammonium,0.1119
2013/1/11,Ammonium,0.280666667
2013/2/10,Ammonium,0.060666667
2013/3/10,Ammonium,0.144333333
2013/4/15,Ammonium,0.168333333
2013/5/12,Ammonium,0.073666667
2013/6/23,Ammonium,0.149
2013/7/14,Ammonium,0.077
2013/8/13,Ammonium,0
2013/9/8,Ammonium,0.122333333
2013/10/12,Ammonium,0.11
2013/11/8,Ammonium,0.078
2013/12/7,Ammonium,0.241333333
2014/1/17,Ammonium,0.35256
2014/3/13,Ammonium,0.32968
2014/4/3,Ammonium,0.04082
2014/5/8,Ammonium,0.11752
2014/6/19,Ammonium,0.221
2014/7/4,Ammonium,0.13754
2014/8/22,Ammonium,0.11544
2014/9/6,Ammonium,0.25012
2014/9/12,Ammonium,0.16354
2014/10/15,Ammonium,0.2457
2014/11/6,Ammonium,0.16198
2014/12/11,Ammonium,0.15158
2015/1/8,Ammonium,0.232333333
2015/2/12,Ammonium,0.192
2015/3/12,Ammonium,0.165666667
2015/4/2,Ammonium,0.161333333
2015/5/14,Ammonium,0.264
2015/6/18,Ammonium,0.277
2015/7/10,Ammonium,0.129333333
2015/8/20,Ammonium,0.131666667
2015/9/25,Ammonium,0.110666667
2015/10/8,Ammonium,0.079
2015/11/19,Ammonium,0.134666667
2015/12/10,Ammonium,0.122
2016/1/9,Ammonium,0.113666667
2016/2/11,Ammonium,0.176
2016/3/11,Ammonium,0.147666667
2016/4/1,Ammonium,0.118
2016/5/13,Ammonium,0.280666667
2016/6/11,Ammonium,0.078
2016/7/8,Ammonium,0.086666667
2016/8/19,Ammonium,0.009666667
2016/9/3,Ammonium,0.008666667
2016/10/1,Ammonium,0
2016/11/4,Ammonium,0.009333333
2016/12/2,Ammonium,0.036
1998/4/18,Arsenic,0
1998/6/30,Arsenic,0
1998/8/26,Arsenic,0
1998/10/24,Arsenic,0
1998/11/20,Arsenic,0
1998/12/10,Arsenic,0
2004/3/19,Arsenic,0.622
2008/1/12,Arsenic,0.513333333
2008/2/23,Arsenic,0.38
2008/4/11,Arsenic,0.4
2008/6/13,Arsenic,0.39
2008/9/6,Arsenic,0.523333333
2008/10/12,Arsenic,0.091666667
2008/11/7,Arsenic,0.48
2008/12/12,Arsenic,0.876666667
2009/4/17,Arsenic,1.2
2009/5/8,Arsenic,1.266666667
2009/6/12,Arsenic,1.3
2009/8/8,Arsenic,1.1
2009/9/7,Arsenic,1.033333333
2009/10/8,Arsenic,0.943333333
2009/11/13,Arsenic,0.766666667
2009/12/5,Arsenic,0.79
2010/1/10,Arsenic,1.066666667
2010/2/7,Arsenic,0.876666667
2010/3/12,Arsenic,1.166666667
2010/4/8,Arsenic,1.233333333
2010/5/14,Arsenic,1.26
2010/6/19,Arsenic,0.9
2010/7/18,Arsenic,0.95
2010/8/14,Arsenic,1.133333333
2010/9/2,Arsenic,0.916666667
2010/10/15,Arsenic,0.94
2010/11/10,Arsenic,0.706666667
2010/12/11,Arsenic,0.77
2011/1/13,Arsenic,1.4
2011/2/10,Arsenic,1.3
2011/3/10,Arsenic,0
2011/4/7,Arsenic,1.233333333
2011/5/12,Arsenic,1.466666667
2011/6/18,Arsenic,1.433333333
2011/7/8,Arsenic,1.5
2011/8/6,Arsenic,1.5
2011/9/9,Arsenic,1.5
2011/11/11,Arsenic,1.266666667
2011/12/9,Arsenic,1.466666667
2012/1/14,Arsenic,1.733333333
2012/2/11,Arsenic,1.466666667
2014/8/22,Arsenic,1.933333333
2014/9/6,Arsenic,1.833333333
2014/9/12,Arsenic,1.933333333
2014/10/15,Arsenic,1.533333333
2014/11/6,Arsenic,1.5
2014/12/11,Arsenic,1.666666667
2015/1/8,Arsenic,2.066666667
2015/2/12,Arsenic,2
2015/3/12,Arsenic,2.466666667
2015/4/2,Arsenic,2.566666667
2016/1/9,Arsenic,1.933333333
2016/2/11,Arsenic,2.233333333
2016/3/11,Arsenic,2.466666667
2016/4/1,Arsenic,2.033333333
2016/5/13,Arsenic,2.433333333
2016/6/11,Arsenic,2.1
2016/7/8,Arsenic,2
2016/8/19,Arsenic,1.833333333
2016/9/3,Arsenic,2.2
2016/10/1,Arsenic,2
2016/11/4,Arsenic,2.466666667
2016/12/2,Arsenic,2.6
1998/4/18,Nitrates,3.59
1998/6/30,Nitrates,1.06
1998/8/26,Nitrates,0.77
1998/10/24,Nitrates,1.566666667
1998/11/20,Nitrates,1.636666667
1998/12/10,Nitrates,1.46
1999/1/16,Nitrates,1.356666667
1999/2/27,Nitrates,1.623333333
1999/3/25,Nitrates,1.83
1999/4/26,Nitrates,1.3
1999/5/26,Nitrates,1.283333333
1999/6/25,Nitrates,1.07
1999/7/26,Nitrates,1.51
1999/7/28,Nitrates,1.44
1999/8/31,Nitrates,0.793333333
1999/9/21,Nitrates,1.46
1999/10/23,Nitrates,1.48
1999/11/26,Nitrates,1.993333333
1999/12/15,Nitrates,2.246666667
2000/1/19,Nitrates,2.31
2000/2/19,Nitrates,2.686666667
2000/3/23,Nitrates,2.336666667
2000/4/29,Nitrates,2.263333333
2000/5/26,Nitrates,1.573333333
2000/6/24,Nitrates,1.133333333
2000/7/29,Nitrates,1.546666667
2000/8/29,Nitrates,0.81
2000/9/21,Nitrates,1.626666667
2000/10/19,Nitrates,1.163333333
2000/11/23,Nitrates,1.986666667
2000/12/30,Nitrates,2.296666667
2001/1/25,Nitrates,2.533333333
2001/2/22,Nitrates,2.723333333
2001/3/22,Nitrates,2.43
2001/4/30,Nitrates,1.016666667
2001/5/27,Nitrates,1.223333333
2001/6/21,Nitrates,0.99
2001/7/27,Nitrates,2.063333333
2001/8/29,Nitrates,0.943333333
2001/9/25,Nitrates,1.38
2001/11/23,Nitrates,2.42
2001/12/21,Nitrates,2.723333333
2002/1/27,Nitrates,2.636666667
2002/2/24,Nitrates,2.303333333
2002/3/28,Nitrates,2.09
2002/4/27,Nitrates,1.306666667
2002/5/18,Nitrates,0.893333333
2002/6/22,Nitrates,0.86
2002/7/20,Nitrates,0.83
2002/8/23,Nitrates,0.61
2002/9/21,Nitrates,1.353333333
2002/10/12,Nitrates,0.523333333
2002/10/26,Nitrates,1.483333333
2002/11/21,Nitrates,2.54
2002/12/14,Nitrates,1.396666667
2003/1/24,Nitrates,1.716666667
2003/2/21,Nitrates,2.433333333
2003/3/20,Nitrates,1.496666667
2003/4/26,Nitrates,1.5
2003/5/22,Nitrates,1.43
2003/6/26,Nitrates,1.513333333
2003/7/24,Nitrates,1.203333333
2003/8/28,Nitrates,1.236666667
2003/9/18,Nitrates,1.42
2003/10/23,Nitrates,1.81
