sampleTime,name,value
1998/4/17,Ammonium,1.52
1998/6/29,Ammonium,1.02
1998/8/24,Ammonium,1.14
1998/10/30,Ammonium,0.35
1998/11/28,Ammonium,1.2
1998/12/19,Ammonium,1.47
1999/1/27,Ammonium,2.62
1999/2/20,Ammonium,3.4
1999/3/19,Ammonium,3.1
1999/4/23,Ammonium,0.24
1999/5/27,Ammonium,0.86
1999/6/22,Ammonium,0.2
1999/7/24,Ammonium,0.8
1999/8/29,Ammonium,0.9
1999/9/18,Ammonium,0.57
1999/10/21,Ammonium,0.32
1999/11/20,Ammonium,2.61
1999/12/10,Ammonium,1.07
2000/1/15,Ammonium,1.19
2000/2/19,Ammonium,3.3
2000/3/19,Ammonium,1.78
2000/4/28,Ammonium,1.12
2000/5/20,Ammonium,1.73
2000/6/27,Ammonium,0.08
2000/7/27,Ammonium,1.44
2000/8/27,Ammonium,0.31
2000/9/24,Ammonium,1.64
2000/10/17,Ammonium,0.21
2000/11/23,Ammonium,0.58
2000/12/4,Ammonium,0.48
2001/1/17,Ammonium,0.53
2001/2/18,Ammonium,0.41
2001/3/31,Ammonium,0.66
2001/4/29,Ammonium,0.23
2001/5/28,Ammonium,0.27
2001/6/21,Ammonium,0.23
2001/7/28,Ammonium,0.35
2001/8/28,Ammonium,0.25
2001/9/23,Ammonium,0.42
2001/11/18,Ammonium,0.3
2002/2/2,Ammonium,1.45
2002/3/29,Ammonium,0.07
2002/4/20,Ammonium,0.17
2002/5/18,Ammonium,0.56
2002/6/22,Ammonium,0.61
2002/7/26,Ammonium,0.28
2002/8/22,Ammonium,0.4
2002/9/12,Ammonium,0.29
2002/10/12,Ammonium,0.34
2002/10/26,Ammonium,0.93
2002/12/15,Ammonium,0.36
2003/1/24,Ammonium,0.97
2003/2/28,Ammonium,1
2003/3/30,Ammonium,0.52
2003/4/26,Ammonium,0.24
2003/5/22,Ammonium,0.95
2003/6/28,Ammonium,0.76
2003/7/12,Ammonium,1.33
2003/8/20,Ammonium,1.61
2003/9/15,Ammonium,0.32
2003/10/9,Ammonium,0.47
2003/11/22,Ammonium,0.57
2003/12/19,Ammonium,0.38
2004/1/23,Ammonium,1.12
2004/3/14,Ammonium,0.329
2004/4/16,Ammonium,0.36
2004/5/30,Ammonium,0.332
2004/6/19,Ammonium,0.271
2004/7/2,Ammonium,1.14
2004/8/14,Ammonium,0.19
2004/9/4,Ammonium,0.225
2004/10/21,Ammonium,0.34
2004/12/3,Ammonium,0.241
2005/1/22,Ammonium,0.78
2005/2/20,Ammonium,1.27
2005/3/24,Ammonium,0.684
2005/4/24,Ammonium,0.263
2005/5/29,Ammonium,0.108
2005/6/17,Ammonium,0.53
2005/7/24,Ammonium,0.559
