sampleTime,name,value
2009/1/12,Ammonium,0.877
2009/2/7,Ammonium,0.475
2009/3/13,Ammonium,0.064
2009/4/25,Ammonium,0.136
2009/5/16,Ammonium,0.044
2009/6/6,Ammonium,0.026
2009/7/3,Ammonium,0.046
2009/8/2,Ammonium,0.057
2009/9/5,Ammonium,0.035
2009/10/4,Ammonium,3.995
2009/11/16,Ammonium,1.083
2009/12/6,Ammonium,0.644
2010/1/15,Ammonium,3.548
2010/1/23,Ammonium,2.731
2010/2/7,Ammonium,2.284
2010/2/22,Ammonium,2.325
2010/3/5,Ammonium,0.845
2010/3/11,Ammonium,2.698
2010/3/27,Ammonium,1.88
2010/4/11,Ammonium,4.254
2010/5/8,Ammonium,0.242
2010/5/15,Ammonium,0.306
2010/6/5,Ammonium,0.089
2010/6/24,Ammonium,0.053
2010/7/9,Ammonium,0.074
2010/7/16,Ammonium,0.193
2010/7/22,Ammonium,0.166
2010/8/5,Ammonium,0.01
2010/8/14,Ammonium,0.547
2010/9/5,Ammonium,0.943
2010/9/10,Ammonium,2.514
2010/10/13,Ammonium,0.01
2010/10/15,Ammonium,0.168
2010/11/12,Ammonium,0.318
2010/11/19,Ammonium,0.151
2010/12/4,Ammonium,0.484
2011/1/29,Ammonium,0.569
2011/2/13,Ammonium,0.364
2011/2/18,Ammonium,0.367
2011/3/4,Ammonium,0.949
2011/3/11,Ammonium,1.225
2011/3/23,Ammonium,0.338
2011/4/9,Ammonium,0.141
2011/5/8,Ammonium,0.357
2011/5/19,Ammonium,0.096
2011/6/1,Ammonium,0.045
2011/6/10,Ammonium,0.152
2011/7/8,Ammonium,0.128
2011/7/21,Ammonium,0.241
2011/8/5,Ammonium,0.113
2011/8/12,Ammonium,0.133
2011/9/3,Ammonium,0.058
2011/9/11,Ammonium,0.135
2011/10/8,Ammonium,0.036
2011/10/22,Ammonium,0.345
2011/11/9,Ammonium,0.252
2011/11/12,Ammonium,0.149
2011/12/4,Ammonium,0.141
2012/1/7,Ammonium,1.306
2012/1/13,Ammonium,1.183
2012/2/25,Ammonium,0.645
2012/3/4,Ammonium,0.778
2012/3/15,Ammonium,2.772
2012/3/25,Ammonium,2.848
2012/4/13,Ammonium,1.04
2012/4/23,Ammonium,0.527
2012/5/3,Ammonium,0.781
2012/5/13,Ammonium,0.331
2012/5/27,Ammonium,0.249
2012/7/6,Ammonium,0.284
2012/7/20,Ammonium,0.863
2012/8/10,Ammonium,0.149
2012/8/26,Ammonium,0.141
2012/9/15,Ammonium,0.119
2012/9/17,Ammonium,0.058
2012/10/8,Ammonium,1.364
2012/10/15,Ammonium,0.241
2012/11/26,Ammonium,0.142
2012/11/30,Ammonium,0.241
2012/12/3,Ammonium,1.136
2012/12/9,Ammonium,0.681
2013/1/19,Ammonium,0.339
2013/2/9,Ammonium,0.702
2013/3/16,Ammonium,0.201
2013/4/14,Ammonium,0.148
2013/5/17,Ammonium,0.109
2013/6/17,Ammonium,0.055
2013/7/12,Ammonium,0.025
2013/8/17,Ammonium,0.025
2013/9/8,Ammonium,0.068
2013/10/28,Ammonium,2.794
2013/11/7,Ammonium,0.1
2013/11/18,Ammonium,5.916
2013/12/14,Ammonium,5.245
2014/1/6,Ammonium,12.5
2014/1/9,Ammonium,5.014
2014/3/28,Ammonium,0.228
2014/5/16,Ammonium,0.059
2014/6/27,Ammonium,0.04
2014/7/26,Ammonium,3.972
2014/9/3,Ammonium,11.929
2014/9/14,Ammonium,4.742
2014/10/17,Ammonium,8.278
2014/10/25,Ammonium,7.454
2014/11/7,Ammonium,3.443
2014/11/22,Ammonium,14.869
2014/12/3,Ammonium,4.671
2014/12/10,Ammonium,4.039
2015/1/22,Ammonium,3.534
2015/2/5,Ammonium,4.662
2015/3/20,Ammonium,1.306
2015/4/3,Ammonium,0.755
2015/5/14,Ammonium,0.236
2015/6/13,Ammonium,0.221
2015/7/10,Ammonium,0.255
2015/8/13,Ammonium,0.238
2015/9/5,Ammonium,0.099
2015/10/17,Ammonium,0.296
2015/11/14,Ammonium,0.16
2015/12/4,Ammonium,0.9
2016/2/17,Ammonium,6.551
2016/2/26,Ammonium,0.619
2016/3/20,Ammonium,0.449
2016/4/2,Ammonium,0.135
2016/5/14,Ammonium,0.72
2016/6/13,Ammonium,0.115
2016/7/16,Ammonium,2.707
2016/8/12,Ammonium,0.03
2016/9/4,Ammonium,0.113
2016/10/21,Ammonium,0.015
2016/11/12,Ammonium,0.267
2016/12/8,Ammonium,1.002
2011/4/9,Arsenic,2.26
2015/1/22,Arsenic,0
2015/2/5,Arsenic,5.272
2015/4/3,Arsenic,3.048
2015/5/14,Arsenic,1.222
2015/6/13,Arsenic,3.533
2015/7/10,Arsenic,3.132
2015/8/13,Arsenic,17.138
2015/9/5,Arsenic,6.424
2015/11/14,Arsenic,2.404
2015/12/4,Arsenic,2.505
2009/1/12,Nitrates,2.935
2009/2/7,Nitrates,3.161
2009/3/13,Nitrates,1.445
2009/4/25,Nitrates,1.603
2009/5/16,Nitrates,1.423
2009/6/6,Nitrates,0.519
2009/7/3,Nitrates,0.181
2009/8/2,Nitrates,0.181
2009/9/5,Nitrates,0.542
