sampleTime,name,value
2014/1/16,Potassium,4
2014/4/18,Potassium,2.6
2014/6/20,Potassium,2.4
2014/8/16,Potassium,3.4
2014/10/17,Potassium,4
2014/12/12,Potassium,4.2
2015/2/21,Potassium,2.6
2015/4/18,Potassium,2.1
2015/6/20,Potassium,3.2
2015/8/22,Potassium,3.3
2015/10/16,Potassium,4
2015/12/9,Potassium,3.1
2016/2/12,Potassium,2.3
2016/4/16,Potassium,2.6
2016/6/11,Potassium,2.6
2016/8/20,Potassium,2.2
2016/10/22,Potassium,2.6
2016/12/10,Potassium,2.5
2009/1/15,Total nitrogen,1.99
2009/2/13,Total nitrogen,1.05
2009/3/19,Total nitrogen,0.9
2009/4/17,Total nitrogen,1.53
2009/5/17,Total nitrogen,2.85
2009/6/12,Total nitrogen,1.26
2009/7/11,Total nitrogen,0.9
2009/8/13,Total nitrogen,2.64
2009/9/10,Total nitrogen,2.7
2009/10/11,Total nitrogen,2.14
2009/11/19,Total nitrogen,2.8
2009/12/10,Total nitrogen,1.26
2010/1/16,Total nitrogen,1.82
2010/2/11,Total nitrogen,1.33
2010/2/20,Total nitrogen,0.96
2010/3/13,Total nitrogen,2.76
2010/3/19,Total nitrogen,1.48
2010/4/7,Total nitrogen,1.57
2010/4/8,Total nitrogen,1.59
2010/4/10,Total nitrogen,2.52
2010/4/16,Total nitrogen,2.47
2010/5/15,Total nitrogen,1.18
2010/5/20,Total nitrogen,1.89
2010/6/17,Total nitrogen,1.54
2010/6/30,Total nitrogen,1.4
2010/7/8,Total nitrogen,1.46
2010/7/16,Total nitrogen,2.71
2010/8/12,Total nitrogen,2.8
2010/8/18,Total nitrogen,2.37
2010/9/9,Total nitrogen,2.97
2010/9/17,Total nitrogen,2.62
2010/10/14,Total nitrogen,5.67
2010/10/16,Total nitrogen,4.79
2010/10/22,Total nitrogen,3.58
2010/11/19,Total nitrogen,2.43
2010/12/10,Total nitrogen,1.56
2010/12/11,Total nitrogen,1.43
2011/1/21,Total nitrogen,1.43
2011/1/22,Total nitrogen,1.67
2011/2/11,Total nitrogen,1.45
2011/2/18,Total nitrogen,1.67
2011/3/18,Total nitrogen,1.59
2011/3/31,Total nitrogen,1.29
2011/4/16,Total nitrogen,1.69
2011/4/22,Total nitrogen,2.19
2011/5/13,Total nitrogen,1.17
2011/5/27,Total nitrogen,1.72
2011/6/11,Total nitrogen,2.15
2011/6/17,Total nitrogen,2.21
2011/7/9,Total nitrogen,1
2011/7/14,Total nitrogen,1.5
2011/8/4,Total nitrogen,1.61
2011/8/11,Total nitrogen,1.8
2011/9/14,Total nitrogen,1.25
2011/9/28,Total nitrogen,1.28
2011/10/8,Total nitrogen,0
2011/10/13,Total nitrogen,1.47
2011/11/11,Total nitrogen,1.72
2011/11/26,Total nitrogen,1.75
2011/12/10,Total nitrogen,2.45
2011/12/15,Total nitrogen,0
2012/1/20,Total nitrogen,1.65
2012/1/21,Total nitrogen,1.45
2012/2/10,Total nitrogen,1.6
2012/2/17,Total nitrogen,1.65
2012/3/15,Total nitrogen,2.43
2012/3/17,Total nitrogen,1.61
2012/4/21,Total nitrogen,1.06
2012/4/29,Total nitrogen,1.94
2012/5/19,Total nitrogen,1.398
2012/5/27,Total nitrogen,1.09
2012/6/16,Total nitrogen,1.31
2012/6/28,Total nitrogen,1.17
2012/7/8,Total nitrogen,1.83
2012/7/21,Total nitrogen,1.14
2012/8/16,Total nitrogen,1.11
2012/8/26,Total nitrogen,1
2012/9/21,Total nitrogen,1
2012/9/27,Total nitrogen,1.14
2012/10/18,Total nitrogen,1.12
2012/10/21,Total nitrogen,1.28
