spot,sampleTime,name,value
Achara,2014/1/16,Potassium,4
Achara,2014/4/18,Potassium,2.6
Achara,2014/6/20,Potassium,2.4
Achara,2014/8/16,Potassium,3.4
Achara,2014/10/17,Potassium,4
Achara,2014/12/12,Potassium,4.2
Achara,2015/2/21,Potassium,2.6
Achara,2015/4/18,Potassium,2.1
Achara,2015/6/20,Potassium,3.2
Achara,2015/8/22,Potassium,3.3
Achara,2015/10/16,Potassium,4
Achara,2015/12/9,Potassium,3.1
Achara,2016/2/12,Potassium,2.3
Achara,2016/4/16,Potassium,2.6
Achara,2016/6/11,Potassium,2.6
Achara,2016/8/20,Potassium,2.2
Achara,2016/10/22,Potassium,2.6
Achara,2016/12/10,Potassium,2.5
Achara,2009/1/15,Total nitrogen,1.99
Achara,2009/2/13,Total nitrogen,1.05
Achara,2009/3/19,Total nitrogen,0.9
Achara,2009/4/17,Total nitrogen,1.53
Achara,2009/5/17,Total nitrogen,2.85
Achara,2009/6/12,Total nitrogen,1.26
Achara,2009/7/11,Total nitrogen,0.9
Achara,2009/8/13,Total nitrogen,2.64
Achara,2009/9/10,Total nitrogen,2.7
Achara,2009/10/11,Total nitrogen,2.14
Achara,2009/11/19,Total nitrogen,2.8
Achara,2009/12/10,Total nitrogen,1.26
Achara,2010/1/16,Total nitrogen,1.82
Achara,2010/2/11,Total nitrogen,1.33
Achara,2010/2/20,Total nitrogen,0.96
Achara,2010/3/13,Total nitrogen,2.76
Achara,2010/3/19,Total nitrogen,1.48
Achara,2010/4/7,Total nitrogen,1.57
Achara,2010/4/8,Total nitrogen,1.59
Achara,2010/4/10,Total nitrogen,2.52
Achara,2010/4/16,Total nitrogen,2.47
Achara,2010/5/15,Total nitrogen,1.18
Achara,2010/5/20,Total nitrogen,1.89
Achara,2010/6/17,Total nitrogen,1.54
Achara,2010/6/30,Total nitrogen,1.4
Achara,2010/7/8,Total nitrogen,1.46
Achara,2010/7/16,Total nitrogen,2.71
Achara,2010/8/12,Total nitrogen,2.8
Achara,2010/8/18,Total nitrogen,2.37
Achara,2010/9/9,Total nitrogen,2.97
Achara,2010/9/17,Total nitrogen,2.62
Achara,2010/10/14,Total nitrogen,5.67
Achara,2010/10/16,Total nitrogen,4.79
Achara,2010/10/22,Total nitrogen,3.58
Achara,2010/11/19,Total nitrogen,2.43
Achara,2010/12/10,Total nitrogen,1.56
Achara,2010/12/11,Total nitrogen,1.43
Achara,2011/1/21,Total nitrogen,1.43
Achara,2011/1/22,Total nitrogen,1.67
Achara,2011/2/11,Total nitrogen,1.45
Achara,2011/2/18,Total nitrogen,1.67
Achara,2011/3/18,Total nitrogen,1.59
Achara,2011/3/31,Total nitrogen,1.29
Achara,2011/4/16,Total nitrogen,1.69
Achara,2011/4/22,Total nitrogen,2.19
Achara,2011/5/13,Total nitrogen,1.17
Achara,2011/5/27,Total nitrogen,1.72
Achara,2011/6/11,Total nitrogen,2.15
Achara,2011/6/17,Total nitrogen,2.21
Achara,2011/7/9,Total nitrogen,1
Achara,2011/7/14,Total nitrogen,1.5
Achara,2011/8/4,Total nitrogen,1.61
Achara,2011/8/11,Total nitrogen,1.8
Achara,2011/9/14,Total nitrogen,1.25
Achara,2011/9/28,Total nitrogen,1.28
Achara,2011/10/8,Total nitrogen,0
Achara,2011/10/13,Total nitrogen,1.47
Achara,2011/11/11,Total nitrogen,1.72
Achara,2011/11/26,Total nitrogen,1.75
Achara,2011/12/10,Total nitrogen,2.45
Achara,2011/12/15,Total nitrogen,0
Achara,2012/1/20,Total nitrogen,1.65
Achara,2012/1/21,Total nitrogen,1.45
Achara,2012/2/10,Total nitrogen,1.6
Achara,2012/2/17,Total nitrogen,1.65
Achara,2012/3/15,Total nitrogen,2.43
Achara,2012/3/17,Total nitrogen,1.61
Achara,2012/4/21,Total nitrogen,1.06
Achara,2012/4/29,Total nitrogen,1.94
Achara,2012/5/19,Total nitrogen,1.398
Achara,2012/5/27,Total nitrogen,1.09
Achara,2012/6/16,Total nitrogen,1.31
Achara,2012/6/28,Total nitrogen,1.17
Achara,2012/7/8,Total nitrogen,1.83
Achara,2012/7/21,Total nitrogen,1.14
