sampleTime,name,value
1998/1/11,Potassium,3.5
1998/2/15,Potassium,3.2
1998/3/12,Potassium,3.7
1998/4/11,Potassium,3.4
1998/5/9,Potassium,3.5
1998/6/6,Potassium,3.39
1998/7/11,Potassium,2.4
1998/8/8,Potassium,2.8
1998/9/5,Potassium,2.6
1998/10/3,Potassium,2.8
1998/11/7,Potassium,2.9
1998/12/5,Potassium,2.45
1999/1/9,Potassium,3.133333333
1999/2/11,Potassium,2.4
1999/3/11,Potassium,2.6
1999/4/16,Potassium,3.3
1999/5/13,Potassium,2.3
1999/6/6,Potassium,2.266666667
1999/7/22,Potassium,2.3
1999/8/19,Potassium,3.4
1999/9/16,Potassium,2.4
1999/10/10,Potassium,3.8
1999/11/5,Potassium,3.25
1999/12/9,Potassium,3.05
2000/1/14,Potassium,2.7
2000/2/10,Potassium,3.533333333
2000/3/10,Potassium,2.4
2000/4/14,Potassium,2.266666667
2000/5/12,Potassium,2.566666667
2000/6/9,Potassium,2.666666667
2000/7/14,Potassium,2.133333333
2000/8/17,Potassium,3.9
2000/9/8,Potassium,2.2
2000/10/6,Potassium,3.033333333
2000/11/10,Potassium,2.466666667
2000/12/8,Potassium,2.766666667
2001/1/20,Potassium,2.6
2001/3/10,Potassium,2.733333333
2001/4/19,Potassium,2.933333333
2001/5/4,Potassium,3.066666667
2001/6/6,Potassium,3.166666667
2001/7/27,Potassium,3.19
2001/8/4,Potassium,4.266666667
2001/9/14,Potassium,3.733333333
2001/10/12,Potassium,4.25
2002/6/13,Potassium,3.266666667
2003/7/10,Potassium,2.933333333
2003/7/25,Potassium,3.333333333
2003/8/7,Potassium,2.833333333
2003/9/5,Potassium,2.8
2003/10/9,Potassium,3
2003/10/23,Potassium,3.666666667
2003/11/13,Potassium,3.333333333
2003/11/27,Potassium,2.333333333
2003/12/4,Potassium,2.333333333
2003/12/18,Potassium,3
2004/1/8,Potassium,3
2004/1/29,Potassium,3
2004/2/12,Potassium,3
2004/2/26,Potassium,3
2004/3/12,Potassium,3
2004/3/26,Potassium,2.666666667
2004/4/9,Potassium,3
2004/4/23,Potassium,2.333333333
2004/5/28,Potassium,2
2004/6/11,Potassium,2
2004/6/25,Potassium,2.666666667
2004/7/9,Potassium,2.333333333
2004/7/23,Potassium,2
2004/8/13,Potassium,3
2004/8/27,Potassium,4
2004/9/10,Potassium,3
2004/9/24,Potassium,3.333333333
2004/10/8,Potassium,2
2004/10/22,Potassium,2.666666667
2004/11/5,Potassium,3
