sampleTime,name,value
1998/10/29,Potassium,4.5
1998/11/28,Potassium,2.4
1998/12/19,Potassium,4.7
1999/1/27,Potassium,12.8
1999/2/20,Potassium,14.5
1999/3/19,Potassium,10
1999/4/23,Potassium,9.9
1999/5/27,Potassium,10.8
1999/6/22,Potassium,5.2
1999/7/24,Potassium,5.6
1999/8/30,Potassium,7
1999/9/18,Potassium,6.4
1999/10/22,Potassium,7.5
1999/11/20,Potassium,3.6
1999/12/10,Potassium,12.6
2000/1/15,Potassium,14
2000/2/19,Potassium,14.4
2000/3/19,Potassium,10.2
2000/4/29,Potassium,8.7
2000/5/27,Potassium,6.6
2000/6/26,Potassium,7.5
2000/7/28,Potassium,3
2000/8/28,Potassium,10.3
2000/9/24,Potassium,8.8
2000/10/18,Potassium,5
2000/11/24,Potassium,4.5
2000/12/4,Potassium,4
2001/1/17,Potassium,3.2
2001/2/18,Potassium,9.2
2001/3/31,Potassium,3.4
2001/4/29,Potassium,2.7
2001/5/28,Potassium,5
2001/6/21,Potassium,7.08
2001/7/28,Potassium,3.7
2001/8/28,Potassium,7.2
2001/9/23,Potassium,5.2
2001/11/18,Potassium,4.2
2002/1/24,Potassium,5.7
2002/1/25,Potassium,5.7
2002/1/26,Potassium,4.3
2007/2/22,Potassium,3
2007/3/28,Potassium,3.8
2007/4/20,Potassium,6.2
2007/6/23,Potassium,2.5
2007/8/25,Potassium,2.2
2007/9/29,Potassium,4.2
2007/12/22,Potassium,4.8
2008/5/3,Potassium,2.2
2008/5/30,Potassium,2.8
2008/6/26,Potassium,1.2
2008/11/17,Potassium,2.6
2008/12/5,Potassium,2
2008/12/15,Potassium,3.4
2009/1/24,Potassium,5.4
2009/2/14,Potassium,3.9
2009/3/27,Potassium,4
2009/4/25,Potassium,4
2009/5/25,Potassium,3.5
2009/6/28,Potassium,1.9
2009/7/26,Potassium,2.1
2009/8/28,Potassium,3
2009/10/30,Potassium,3.8
2009/11/14,Potassium,3
2009/12/19,Potassium,3.1
2010/1/24,Potassium,2.8
2010/6/13,Potassium,2.5
2011/1/30,Potassium,3.5
2011/6/29,Potassium,3.3
2011/8/3,Potassium,3.5
2011/9/23,Potassium,3.4
2012/2/4,Potassium,4.3
2012/2/18,Potassium,3.5
2012/4/26,Potassium,3.8
2012/5/26,Potassium,3
2012/8/25,Potassium,4
2012/10/7,Potassium,2.8
2012/10/27,Potassium,8.2
2012/11/4,Potassium,3.6
2012/12/8,Potassium,3.5
2013/1/11,Potassium,7.2
2013/2/16,Potassium,5
2013/3/24,Potassium,4.9
2013/8/8,Potassium,3.1
2013/10/25,Potassium,3.8
2014/4/6,Potassium,2.5
2014/5/2,Potassium,3.8
2014/6/5,Potassium,2.9
2014/9/3,Potassium,2.8
2014/10/10,Potassium,3.2
2015/5/10,Potassium,2.2
2015/11/11,Potassium,2.4
2005/5/29,Total nitrogen,2
2005/6/17,Total nitrogen,2.43
2005/7/24,Total nitrogen,3.05
2005/8/14,Total nitrogen,2.83
2005/11/24,Total nitrogen,2.73
2006/1/28,Total nitrogen,2.92
2006/2/25,Total nitrogen,3.65
2006/5/31,Total nitrogen,1.94
2006/7/16,Total nitrogen,1.9
2006/12/13,Total nitrogen,3.9
2007/1/24,Total nitrogen,3.04
2007/2/22,Total nitrogen,2.63
2007/3/28,Total nitrogen,3.7
2007/4/20,Total nitrogen,2.35
2007/5/26,Total nitrogen,1.89
2007/6/23,Total nitrogen,2
2007/7/22,Total nitrogen,1.06
2007/8/25,Total nitrogen,4.82
2007/9/29,Total nitrogen,2.19
2007/10/26,Total nitrogen,2.42
2007/11/28,Total nitrogen,4.05
2007/12/22,Total nitrogen,4.92
2008/2/3,Total nitrogen,3.55
