sampleTime,name,value
1998/1/31,Potassium,4.266666667
1998/2/20,Potassium,4.333333333
1998/3/19,Potassium,3.966666667
1998/4/17,Potassium,2.766666667
1998/5/20,Potassium,4.1
1998/6/28,Potassium,3.753333333
1998/7/23,Potassium,4.366666667
1998/8/23,Potassium,3.133333333
1998/9/27,Potassium,4.2
1998/10/30,Potassium,3.5
1998/11/26,Potassium,1.866666667
1998/12/18,Potassium,4.066666667
1999/1/30,Potassium,2
1999/2/18,Potassium,2.833333333
1999/3/17,Potassium,4.2
1999/4/22,Potassium,3.2
1999/5/20,Potassium,3.066666667
1999/6/19,Potassium,2.866666667
1999/7/22,Potassium,3.2
1999/8/28,Potassium,3.433333333
1999/9/16,Potassium,3.233333333
1999/10/21,Potassium,3.766666667
1999/11/18,Potassium,3.466666667
1999/12/9,Potassium,2.733333333
2000/1/14,Potassium,4
2000/2/18,Potassium,3.2
2000/3/18,Potassium,3.733333333
2000/4/28,Potassium,2.6
2000/5/19,Potassium,2.733333333
2000/6/28,Potassium,3.633333333
2000/7/21,Potassium,2.4
2000/8/26,Potassium,4.933333333
2000/9/23,Potassium,2.733333333
2000/10/16,Potassium,3.6
2000/11/18,Potassium,3.333333333
2000/12/3,Potassium,3.733333333
2001/1/16,Potassium,2.6
2001/2/17,Potassium,3.4
2001/3/31,Potassium,2.4
2001/4/27,Potassium,2.266666667
2001/5/27,Potassium,3.133333333
2001/6/19,Potassium,3.91
2001/7/7,Potassium,3.66
2001/8/26,Potassium,4.233333333
2001/9/22,Potassium,3.6
2001/11/22,Potassium,3.533333333
2007/2/16,Potassium,1.41
2007/3/31,Potassium,2
2007/4/12,Potassium,1.2
2007/4/25,Potassium,1.4
2007/5/18,Potassium,1.18
2007/6/21,Potassium,1.866666667
2007/8/4,Potassium,1.466666667
2007/9/12,Potassium,1.266666667
2007/11/23,Potassium,2
2007/12/20,Potassium,2.266666667
2008/1/18,Potassium,1.866666667
2008/4/28,Potassium,1.266666667
2008/5/31,Potassium,1.466666667
2008/6/12,Potassium,1.266666667
2008/11/15,Potassium,2.166666667
2009/1/11,Potassium,1.966666667
2009/2/8,Potassium,1.833333333
2009/3/20,Potassium,2
2009/4/18,Potassium,2.466666667
2009/5/21,Potassium,2.1
2009/6/14,Potassium,1.733333333
2009/7/9,Potassium,2.2
2009/8/23,Potassium,2.133333333
2009/9/22,Potassium,2.466666667
2009/10/19,Potassium,2.366666667
2009/11/16,Potassium,2.333333333
2009/12/5,Potassium,2.5
2010/1/17,Potassium,2.133333333
2010/6/17,Potassium,2.21
2011/1/14,Potassium,2.033333333
2011/6/18,Potassium,2.733333333
2011/8/3,Potassium,2.466666667
2011/9/28,Potassium,1.866666667
2012/2/5,Potassium,2.6
2012/4/15,Potassium,3.1
2012/8/9,Potassium,3.066666667
2012/9/1,Potassium,2.233333333
2012/11/1,Potassium,3.1
2012/12/6,Potassium,2.966666667
2013/1/12,Potassium,3.133333333
2013/2/2,Potassium,3.033333333
2013/3/18,Potassium,3.066666667
2013/5/4,Potassium,2.866666667
2013/8/1,Potassium,2.7
2013/10/4,Potassium,2.666666667
2013/11/10,Potassium,2.466666667
2014/1/23,Potassium,2.233333333
2014/4/9,Potassium,2.066666667
2014/6/13,Potassium,1.466666667
2014/7/16,Potassium,1.533333333
2014/8/13,Potassium,1.266666667
2014/9/5,Potassium,1.433333333
2014/10/8,Potassium,2.6
2005/5/23,Total nitrogen,1.636666667
2005/6/13,Total nitrogen,1.73
2005/6/20,Total nitrogen,2.243333333
2005/7/23,Total nitrogen,1.042
2005/8/18,Total nitrogen,2.16
2005/8/25,Total nitrogen,1.966666667
2005/9/29,Total nitrogen,2.446666667
2005/10/10,Total nitrogen,2.16
2005/10/20,Total nitrogen,1.873333333
2005/11/19,Total nitrogen,2.523333333
2005/11/26,Total nitrogen,2.343333333
2005/12/16,Total nitrogen,3.056666667
2006/1/19,Total nitrogen,2.853333333
2006/1/28,Total nitrogen,3.01
2006/2/24,Total nitrogen,3.74
2006/2/28,Total nitrogen,3.58
2006/3/29,Total nitrogen,3.543333333
2006/4/30,Total nitrogen,2.15
2006/5/25,Total nitrogen,0.828666667
2006/5/28,Total nitrogen,1.125666667
2006/6/1,Total nitrogen,2.256666667
2006/7/9,Total nitrogen,1.394
2006/7/15,Total nitrogen,2.103333333
2006/8/27,Total nitrogen,1.373333333
2006/9/29,Total nitrogen,0.86
2006/10/15,Total nitrogen,2.443333333
2006/11/25,Total nitrogen,3.533333333
2006/12/10,Total nitrogen,2.696666667
2006/12/20,Total nitrogen,3.176666667
2007/1/18,Total nitrogen,2.603333333
2007/1/27,Total nitrogen,3.293333333
2007/2/16,Total nitrogen,3.743333333
2007/2/28,Total nitrogen,3.026666667
2007/3/23,Total nitrogen,3.163333333
2007/4/12,Total nitrogen,2.863333333
2007/4/25,Total nitrogen,3.893333333
2007/5/18,Total nitrogen,2.36
2007/5/31,Total nitrogen,2.406666667
2007/6/21,Total nitrogen,1.236666667
2007/6/28,Total nitrogen,1.753333333
2007/7/7,Total nitrogen,2.606666667
2007/7/19,Total nitrogen,1.846666667
2007/8/4,Total nitrogen,1.55
2007/9/12,Total nitrogen,4.643333333
2007/9/21,Total nitrogen,3.88
2007/10/7,Total nitrogen,2.14
2007/10/28,Total nitrogen,3.453333333
2007/11/23,Total nitrogen,4.06
2007/11/30,Total nitrogen,2.703333333
2007/12/20,Total nitrogen,2.323333333
2007/12/28,Total nitrogen,3.34
2008/1/18,Total nitrogen,3.046666667
2008/2/15,Total nitrogen,2.81
2008/2/24,Total nitrogen,3.236666667
2008/3/17,Total nitrogen,3.456666667
2008/3/29,Total nitrogen,2.38
2008/4/28,Total nitrogen,2.596666667
2008/5/18,Total nitrogen,1.15
2008/5/31,Total nitrogen,1.183333333
2008/6/2,Total nitrogen,2.183333333
2008/6/12,Total nitrogen,2.166666667
2008/7/7,Total nitrogen,2.726666667
2008/7/14,Total nitrogen,1.93
2008/8/23,Total nitrogen,0.962
2008/8/31,Total nitrogen,1.8
2008/9/11,Total nitrogen,1.503333333
2008/9/25,Total nitrogen,1.656666667
2008/10/17,Total nitrogen,2.216666667
2008/10/30,Total nitrogen,1.773333333
2008/11/15,Total nitrogen,1.71
2008/11/21,Total nitrogen,1.146666667
2008/12/12,Total nitrogen,1.012866667
2009/1/11,Total nitrogen,1.506666667
2009/1/18,Total nitrogen,1.746666667
2009/2/8,Total nitrogen,3.273333333
2009/2/26,Total nitrogen,2.9
2009/3/20,Total nitrogen,3.586666667
2009/3/28,Total nitrogen,2.397333333
2009/4/18,Total nitrogen,2.603333333
2009/4/26,Total nitrogen,1.633333333
2009/5/21,Total nitrogen,2.13
2009/5/30,Total nitrogen,1.89
2009/6/14,Total nitrogen,1.88
2009/6/27,Total nitrogen,1.786666667
2009/7/9,Total nitrogen,1.53
2009/8/23,Total nitrogen,1.56
2009/8/31,Total nitrogen,1.87
2009/9/22,Total nitrogen,2.07
