sampleTime,name,value
2014/1/18,Potassium,3.807
2014/2/16,Potassium,3.618
2014/3/20,Potassium,3.29
2014/4/19,Potassium,2.814
2014/5/15,Potassium,3.28
2014/6/21,Potassium,3.98
2014/9/20,Potassium,2.57
2014/10/18,Potassium,6.17
2014/11/20,Potassium,4.48
2015/1/17,Potassium,5.56
2015/2/14,Potassium,5.75
2015/5/22,Potassium,4.98
2015/6/18,Potassium,4.63
2015/9/19,Potassium,7.37
2015/10/17,Potassium,4.15
2015/11/20,Potassium,3.56
2015/12/17,Potassium,4.42
2016/1/21,Potassium,3.16
2016/2/18,Potassium,12.16
2016/3/18,Potassium,3.73
2016/4/15,Potassium,20.79
2016/5/19,Potassium,9.83
2016/6/19,Potassium,7.55
2016/7/17,Potassium,5.34
2016/7/24,Potassium,3.09
2016/8/19,Potassium,3.3
2016/9/17,Potassium,2.82
2016/10/14,Potassium,2.81
2016/11/20,Potassium,4.32
2016/12/16,Potassium,5.46
2009/1/21,Total nitrogen,3.4
2009/3/17,Total nitrogen,5.56
2009/4/23,Total nitrogen,1.73
2009/5/17,Total nitrogen,1.76
2009/6/20,Total nitrogen,1.633
2009/7/19,Total nitrogen,2.163
2009/8/17,Total nitrogen,3.71
2009/12/12,Total nitrogen,2.379
2010/1/17,Total nitrogen,9.15
2010/2/19,Total nitrogen,2.49
2010/3/18,Total nitrogen,2.7
2010/4/17,Total nitrogen,3.15
2010/5/19,Total nitrogen,6.425
2010/6/17,Total nitrogen,3.43
2010/7/16,Total nitrogen,2.58
2010/9/16,Total nitrogen,3.529
2012/8/17,Total nitrogen,1.9614
2012/10/19,Total nitrogen,4.165
2012/11/18,Total nitrogen,1.156
2012/12/15,Total nitrogen,4.48
2013/1/20,Total nitrogen,2
2013/1/25,Total nitrogen,2
2013/2/2,Total nitrogen,2
2013/2/17,Total nitrogen,2
2013/3/11,Total nitrogen,2
2013/3/17,Total nitrogen,4.343
2013/4/7,Total nitrogen,2.13
2013/4/18,Total nitrogen,5.86
2013/5/18,Total nitrogen,4.66
2013/6/15,Total nitrogen,3.46
2013/6/17,Total nitrogen,2
2013/7/12,Total nitrogen,3.99
2013/7/18,Total nitrogen,2
2013/7/27,Total nitrogen,2
2013/8/3,Total nitrogen,2
2013/8/18,Total nitrogen,2
2013/9/7,Total nitrogen,2
2013/9/19,Total nitrogen,2
2013/10/19,Total nitrogen,2
2013/11/9,Total nitrogen,2
2013/12/9,Total nitrogen,2
2013/12/13,Total nitrogen,4.2
2014/1/18,Total nitrogen,4
2014/1/23,Total nitrogen,4
2014/2/16,Total nitrogen,4
2014/2/21,Total nitrogen,4
2014/3/20,Total nitrogen,4
2014/3/26,Total nitrogen,4
2014/4/19,Total nitrogen,4
2014/4/25,Total nitrogen,4
2014/5/15,Total nitrogen,4
2014/5/23,Total nitrogen,4
2014/6/21,Total nitrogen,4
2014/6/27,Total nitrogen,4
2014/7/17,Total nitrogen,4
2014/7/23,Total nitrogen,4
2014/7/27,Total nitrogen,4
2014/8/16,Total nitrogen,4
2014/8/21,Total nitrogen,4
2014/8/31,Total nitrogen,4
2014/9/20,Total nitrogen,4
2014/9/26,Total nitrogen,4
2014/10/18,Total nitrogen,4
