sampleTime,name,value
1998/1/26,Potassium,3.233333333
1998/2/24,Potassium,2.8
1998/3/21,Potassium,2.833333333
1998/4/18,Potassium,3.3
1998/5/26,Potassium,2.7
1998/6/29,Potassium,3.733333333
1998/7/26,Potassium,3.033333333
1998/8/25,Potassium,3.633333333
1998/9/20,Potassium,3.433333333
1998/10/23,Potassium,4.166666667
1998/11/20,Potassium,3.233333333
1998/12/17,Potassium,2.666666667
1999/1/21,Potassium,3.083333333
1999/2/26,Potassium,3.083333333
1999/3/24,Potassium,5.5
1999/4/23,Potassium,3.9
1999/5/28,Potassium,2.966666667
1999/6/23,Potassium,2.766666667
1999/7/25,Potassium,4.333333333
1999/8/30,Potassium,3.966666667
1999/9/19,Potassium,3.9
1999/10/22,Potassium,3.966666667
1999/11/26,Potassium,2.533333333
1999/12/16,Potassium,4.133333333
2000/1/19,Potassium,4
2000/2/18,Potassium,3.533333333
2000/3/24,Potassium,4.933333333
2000/4/29,Potassium,3.133333333
2000/5/27,Potassium,3
2000/6/25,Potassium,3.433333333
2000/7/28,Potassium,3.266666667
2000/8/28,Potassium,5.8
2000/9/23,Potassium,3.066666667
2000/10/18,Potassium,4.1
2000/11/25,Potassium,4
2000/12/30,Potassium,3.933333333
2001/1/27,Potassium,3.666666667
2001/2/24,Potassium,3.066666667
2001/3/25,Potassium,2.533333333
2001/4/29,Potassium,2.5
2001/5/27,Potassium,3.266666667
2001/6/21,Potassium,4.243333333
2001/7/27,Potassium,3.673333333
2001/8/28,Potassium,4.233333333
2001/9/25,Potassium,3.866666667
2001/11/23,Potassium,2.333333333
2001/12/21,Potassium,2.333333333
2005/7/8,Potassium,2.666666667
2005/8/12,Potassium,2.966666667
2007/2/8,Potassium,1.433333333
2007/3/15,Potassium,1.2
2007/4/12,Potassium,1.333333333
2007/5/10,Potassium,1.533333333
2007/6/9,Potassium,2.666666667
2007/8/11,Potassium,1.4
2007/9/30,Potassium,1.733333333
2007/11/21,Potassium,2.666666667
2007/12/13,Potassium,2.733333333
2008/1/10,Potassium,2.466666667
2008/4/14,Potassium,1.966666667
2008/5/9,Potassium,1.933333333
2008/11/7,Potassium,2
2008/12/12,Potassium,1.6
2009/1/9,Potassium,2.1
2009/2/13,Potassium,2.366666667
2009/3/13,Potassium,2.033333333
2009/4/17,Potassium,2.6
2009/5/8,Potassium,2.4
2009/6/12,Potassium,2.466666667
2009/7/11,Potassium,2.3
2009/8/8,Potassium,2.2
2009/9/9,Potassium,1.8
2009/9/27,Potassium,2.65
2009/10/10,Potassium,2.033333333
2009/11/13,Potassium,2.366666667
2009/12/5,Potassium,2.533333333
2010/1/10,Potassium,2.133333333
2010/2/7,Potassium,2.666666667
2010/6/19,Potassium,2.466666667
2011/1/15,Potassium,1.9
2011/6/18,Potassium,2.733333333
2011/8/6,Potassium,2.9
2011/9/9,Potassium,2.333333333
2011/10/14,Potassium,2.966666667
2012/2/11,Potassium,2.933333333
2012/4/15,Potassium,2.8
2012/5/13,Potassium,2.666666667
2012/9/23,Potassium,3.566666667
2012/10/14,Potassium,3.266666667
2012/11/9,Potassium,3.733333333
2012/12/9,Potassium,3.266666667
2013/1/11,Potassium,3.333333333
2013/3/10,Potassium,3.5
2013/8/12,Potassium,2.966666667
2013/10/11,Potassium,2.5
2013/11/8,Potassium,2.566666667
2014/1/11,Potassium,3.9
2014/4/3,Potassium,2.866666667
2014/6/12,Potassium,2.6
2014/7/10,Potassium,2.233333333
2014/9/6,Potassium,2.766666667
2014/10/9,Potassium,2.933333333
2015/1/8,Potassium,2.366666667
2015/2/12,Potassium,2.633333333
2015/3/12,Potassium,2.833333333
2015/6/4,Potassium,2.433333333
2015/7/2,Potassium,2.833333333
2015/9/24,Potassium,3.1
2015/11/19,Potassium,2.9
2016/1/9,Potassium,3.266666667
2005/5/13,Total nitrogen,3.086666667
2005/6/10,Total nitrogen,2.393333333
2005/7/8,Total nitrogen,1.533333333
2005/8/12,Total nitrogen,1.293333333
2005/10/14,Total nitrogen,1.67
2005/11/11,Total nitrogen,2.006666667
2006/1/13,Total nitrogen,2.616666667
2006/2/10,Total nitrogen,3.583333333
2006/5/11,Total nitrogen,2.2
2006/7/11,Total nitrogen,2.6
2006/8/10,Total nitrogen,1.9
2006/12/7,Total nitrogen,2.883333333
2007/1/11,Total nitrogen,2.763333333
2007/2/8,Total nitrogen,3.02
2007/3/15,Total nitrogen,2.38
2007/4/12,Total nitrogen,2.443333333
2007/5/10,Total nitrogen,1.373333333
