sampleTime,name,value
1998/4/16,Potassium,5.4
1998/6/27,Potassium,9.35
1998/8/22,Potassium,8.4
1998/10/1,Potassium,6.8
1998/11/14,Potassium,7.3
1998/12/13,Potassium,6.4
1999/1/16,Potassium,7.8
1999/2/13,Potassium,7.8
1999/3/13,Potassium,7.2
1999/4/22,Potassium,6.4
1999/5/15,Potassium,7.8
1999/6/18,Potassium,6.4
1999/7/24,Potassium,7.4
1999/8/28,Potassium,4.2
1999/9/18,Potassium,7.9
1999/10/20,Potassium,5.2
1999/11/7,Potassium,6.4
1999/12/11,Potassium,6.9
2000/1/16,Potassium,7.6
2000/2/12,Potassium,6.7
2000/3/12,Potassium,5.6
2000/4/16,Potassium,6.8
2000/5/14,Potassium,6.2
2000/6/29,Potassium,5.4
2000/7/16,Potassium,3.9
2000/8/25,Potassium,10.5
2000/9/10,Potassium,4.1
2000/10/15,Potassium,5.8
2000/11/12,Potassium,7.8
2000/12/10,Potassium,5.9
2001/1/28,Potassium,6.8
2001/2/18,Potassium,5.6
2001/3/18,Potassium,5.1
2001/4/27,Potassium,4.7
2001/5/13,Potassium,6.3
2001/6/19,Potassium,7.38
2001/7/27,Potassium,5.6
2001/8/26,Potassium,7
2001/9/16,Potassium,7.7
2001/10/14,Potassium,5.2
2001/12/9,Potassium,6.5
2002/3/23,Potassium,9.9
2002/4/27,Potassium,5.8
2002/6/29,Potassium,6.5
2002/8/24,Potassium,5.8
2002/10/26,Potassium,5.5
2002/11/23,Potassium,7.8
2002/12/22,Potassium,6.9
2003/1/26,Potassium,7
2003/2/28,Potassium,8.1
2003/3/23,Potassium,7.2
2003/4/26,Potassium,5.8
2003/5/24,Potassium,6.5
2003/6/21,Potassium,5.9
2003/7/26,Potassium,4.6
2003/8/9,Potassium,6.9
2003/9/13,Potassium,5.8
2003/10/25,Potassium,5.3
2003/11/29,Potassium,3.9
2003/12/20,Potassium,7.7
2004/1/31,Potassium,5.9
2004/2/28,Potassium,6.9
2004/3/28,Potassium,5.8
2004/4/25,Potassium,6.2
2004/5/30,Potassium,5.6
2004/6/27,Potassium,6.6
2004/7/25,Potassium,6.2
2004/8/29,Potassium,5.7
2004/9/27,Potassium,4.9
2004/10/24,Potassium,4.3
2004/11/28,Potassium,5.2
2004/12/19,Potassium,5.2
2005/1/30,Potassium,7.1
2005/2/27,Potassium,7.2
2005/3/27,Potassium,14.8
2005/4/25,Potassium,4.8
2005/5/29,Potassium,10.6
2005/6/26,Potassium,4.2
2005/7/24,Potassium,6.1
2005/8/28,Potassium,5.2
2005/9/25,Potassium,4.6
2005/10/23,Potassium,5.8
2005/11/27,Potassium,6.7
2005/12/18,Potassium,5.9
2006/1/29,Potassium,7
2006/2/26,Potassium,6.6
2006/3/25,Potassium,5.9
2006/4/29,Potassium,4.8
2006/5/27,Potassium,4.6
2006/6/26,Potassium,3.7
2006/8/26,Potassium,3.3
2006/9/23,Potassium,4.4
2006/10/28,Potassium,3.8
2006/11/25,Potassium,3.3
2006/12/23,Potassium,2.7
2007/1/27,Potassium,3.1
2007/2/24,Potassium,6.6
2007/3/24,Potassium,4.8
2007/4/21,Potassium,3.4
2007/5/26,Potassium,3.1
2007/6/23,Potassium,3.5
2007/7/21,Potassium,3.8
2007/8/25,Potassium,2.9
2007/9/23,Potassium,1.7
2007/10/27,Potassium,5.7
2007/11/24,Potassium,3.8
2007/12/22,Potassium,3.3
2008/1/26,Potassium,3.9
2008/2/23,Potassium,3.5
2008/3/23,Potassium,3.1
2008/5/26,Potassium,4.1
2008/6/29,Potassium,3.8
2008/7/27,Potassium,5.9
2008/8/31,Potassium,4.4
2008/9/28,Potassium,4.4
2008/10/26,Potassium,3.6
2008/11/27,Potassium,6.2
2008/12/19,Potassium,4.4
2009/1/29,Potassium,3.1
2009/2/26,Potassium,4.2
2009/3/29,Potassium,4.5
2009/4/24,Potassium,5.1
2009/5/28,Potassium,4.8
2009/6/25,Potassium,3.7
2009/7/30,Potassium,5.4
2009/8/20,Potassium,3.9
2009/9/21,Potassium,4.9
2009/10/29,Potassium,3.3
2009/11/26,Potassium,1.6
2009/12/10,Potassium,3
2010/1/28,Potassium,2.6
2010/2/18,Potassium,3.3
2010/3/24,Potassium,3.7
2010/4/21,Potassium,3.2
2010/5/26,Potassium,4.5
2010/6/23,Potassium,3.3
2010/7/28,Potassium,3.7
2010/8/26,Potassium,4.1
2010/9/29,Potassium,3.3
2010/10/20,Potassium,4.2
