sampleTime,name,value
1998/4/18,Potassium,3.2
1998/6/30,Potassium,3.83
1998/8/26,Potassium,3.6
1998/10/24,Potassium,4.3
1998/11/20,Potassium,2.75
1998/12/10,Potassium,2.8
1999/1/16,Potassium,2.683333333
1999/2/27,Potassium,3.316666667
1999/3/25,Potassium,6.276666667
1999/4/26,Potassium,3.6
1999/5/26,Potassium,3.2
1999/6/25,Potassium,2.833333333
1999/7/26,Potassium,3.6
1999/7/28,Potassium,4.7
1999/8/31,Potassium,3.733333333
1999/9/21,Potassium,4.2
1999/10/23,Potassium,3.833333333
1999/11/26,Potassium,2.4
1999/12/15,Potassium,3.8
2000/1/19,Potassium,3.666666667
2000/2/19,Potassium,3.333333333
2000/3/23,Potassium,4.266666667
2000/4/29,Potassium,2.866666667
2000/5/26,Potassium,3.466666667
2000/6/24,Potassium,3.5
2000/7/29,Potassium,3.4
2000/8/29,Potassium,5.833333333
2000/9/21,Potassium,3.333333333
2000/10/19,Potassium,3.8
2000/11/23,Potassium,3.666666667
2000/12/30,Potassium,3.733333333
2001/1/25,Potassium,3.6
2001/2/22,Potassium,4.066666667
2001/3/22,Potassium,3.2
2001/4/30,Potassium,2.5
2001/5/27,Potassium,4.133333333
2001/6/21,Potassium,4.266666667
2001/7/27,Potassium,3.633333333
2001/8/29,Potassium,4.5
2001/9/25,Potassium,3.966666667
2001/11/23,Potassium,3.8
2001/12/21,Potassium,3.266666667
2005/7/8,Potassium,5.366666667
2005/8/12,Potassium,4.833333333
2007/2/15,Potassium,1.566666667
2007/3/15,Potassium,1.7
2007/4/12,Potassium,1.4
2007/5/10,Potassium,1.133333333
2007/6/7,Potassium,2.266666667
2007/8/11,Potassium,0.733333333
2007/9/6,Potassium,1.8
2007/11/10,Potassium,2.666666667
2007/12/8,Potassium,2.766666667
2008/2/23,Potassium,2.066666667
2008/4/11,Potassium,2.2
2008/5/9,Potassium,1.866666667
2008/6/13,Potassium,1.333333333
2008/11/7,Potassium,2.333333333
2008/12/12,Potassium,1.466666667
2009/1/9,Potassium,2.1
2009/2/13,Potassium,2.6
2009/3/13,Potassium,2.066666667
2009/4/17,Potassium,2.433333333
2009/5/8,Potassium,1.966666667
2009/6/12,Potassium,2.033333333
2009/7/11,Potassium,2.166666667
2009/8/8,Potassium,6.933333333
2009/9/7,Potassium,2.866666667
2009/9/28,Potassium,2.8
2009/10/8,Potassium,2.1
2009/11/13,Potassium,2.5
2009/12/5,Potassium,2.5
2010/1/10,Potassium,2.133333333
2010/2/7,Potassium,2.333333333
2010/6/19,Potassium,2.466666667
2011/1/13,Potassium,2.4
2011/6/18,Potassium,2.733333333
2011/8/6,Potassium,2.866666667
2011/9/9,Potassium,2.4
2011/10/15,Potassium,3.3
2012/2/11,Potassium,3.033333333
2012/4/15,Potassium,3.033333333
2012/5/13,Potassium,2.633333333
2012/9/16,Potassium,3.433333333
2012/10/14,Potassium,3.233333333
2012/11/5,Potassium,3.633333333
2012/12/9,Potassium,3.066666667
2013/1/11,Potassium,3.233333333
2013/3/10,Potassium,3.366666667
2013/8/13,Potassium,2.666666667
2013/10/12,Potassium,3.633333333
2013/11/8,Potassium,2.866666667
2014/1/17,Potassium,3.333333333
2014/4/3,Potassium,11.23333333
2014/6/19,Potassium,2.266666667
2014/7/4,Potassium,2.333333333
2014/8/22,Potassium,2.6
2014/10/15,Potassium,5.566666667
2015/1/8,Potassium,2.533333333
2015/2/12,Potassium,2.633333333
2015/3/12,Potassium,2.6
2015/6/18,Potassium,2.333333333
2015/7/10,Potassium,2.9
2015/9/25,Potassium,3.033333333
2015/11/19,Potassium,2.966666667
2016/1/9,Potassium,2.766666667
2005/5/13,Total nitrogen,3.25
2005/6/10,Total nitrogen,2.336666667
2005/7/8,Total nitrogen,1.413333333
2005/8/12,Total nitrogen,1.803333333
2005/10/14,Total nitrogen,2.436666667
2005/11/11,Total nitrogen,1.161
2006/1/13,Total nitrogen,2.92
2006/2/10,Total nitrogen,3.16
2006/5/11,Total nitrogen,1.61
2006/7/13,Total nitrogen,1.783333333
2006/8/10,Total nitrogen,1.736666667
