sampleTime,name,value
2014/1/6,Potassium,7.4
2014/3/28,Potassium,7.03
2014/6/27,Potassium,7.54
2014/9/14,Potassium,8.96
2014/10/17,Potassium,7.64
2013/1/19,Total nitrogen,3.5
2013/2/9,Total nitrogen,3.5
2013/3/16,Total nitrogen,3.5
2013/4/14,Total nitrogen,3.5
2013/5/17,Total nitrogen,3.5
2013/6/17,Total nitrogen,2.298
2013/7/12,Total nitrogen,1.908
2013/8/17,Total nitrogen,3.737
2013/9/8,Total nitrogen,3.516
2013/10/28,Total nitrogen,10.531
2013/11/7,Total nitrogen,3.209
2013/11/18,Total nitrogen,13.594
2013/12/14,Total nitrogen,14.074
2014/1/6,Total nitrogen,15.771
2014/1/9,Total nitrogen,8.286
2014/3/28,Total nitrogen,3.235
2014/5/16,Total nitrogen,3
2014/6/27,Total nitrogen,2.827
2014/7/26,Total nitrogen,12.014
2014/9/3,Total nitrogen,21.511
2014/9/14,Total nitrogen,17.626
2014/10/17,Total nitrogen,15.935
2014/10/25,Total nitrogen,15.683
2014/11/7,Total nitrogen,9.029
2014/11/22,Total nitrogen,22.52
2014/12/3,Total nitrogen,13.849
2014/12/10,Total nitrogen,8.27
2015/1/22,Total nitrogen,8.07
2015/2/5,Total nitrogen,10.71
2015/3/20,Total nitrogen,6.097
2015/4/3,Total nitrogen,3.345
2015/5/14,Total nitrogen,2.468
2015/6/13,Total nitrogen,2.662
2015/7/10,Total nitrogen,2.212
2015/8/13,Total nitrogen,2.54
2015/9/5,Total nitrogen,2.752
2015/10/17,Total nitrogen,3.521
2015/11/14,Total nitrogen,2.817
2015/12/4,Total nitrogen,3.613
2016/2/17,Total nitrogen,16.373
2016/2/26,Total nitrogen,2.694
2016/3/20,Total nitrogen,2.641
2016/4/2,Total nitrogen,2.67
2016/5/14,Total nitrogen,4.559
2016/6/13,Total nitrogen,4.718
2016/7/16,Total nitrogen,7.077
2016/8/12,Total nitrogen,1.951
2016/9/4,Total nitrogen,2.261
2016/10/21,Total nitrogen,2.676
2016/11/12,Total nitrogen,2.711
2016/12/8,Total nitrogen,4.183
2009/1/12,Total phosphorus,0.312
2009/2/7,Total phosphorus,0.131
2009/3/13,Total phosphorus,0.152
2009/4/25,Total phosphorus,0.081
2009/5/16,Total phosphorus,0.253
2009/6/6,Total phosphorus,0.18
2009/7/3,Total phosphorus,0.185
2009/8/2,Total phosphorus,0.195
2009/9/5,Total phosphorus,0.161
2009/10/4,Total phosphorus,0.381
2009/11/16,Total phosphorus,0.219
2009/12/6,Total phosphorus,0.137
2010/1/15,Total phosphorus,0.113
2010/1/23,Total phosphorus,0.316
2010/2/7,Total phosphorus,0.233
2010/2/22,Total phosphorus,0.377
2010/3/5,Total phosphorus,0.235
2010/3/11,Total phosphorus,0.114
2010/3/27,Total phosphorus,0.126
2010/4/11,Total phosphorus,0.086
2010/5/8,Total phosphorus,0.071
2010/5/15,Total phosphorus,0.138
2010/6/5,Total phosphorus,0.323
2010/6/24,Total phosphorus,0.191
2010/7/9,Total phosphorus,0.247
2010/7/16,Total phosphorus,0.202
2010/7/22,Total phosphorus,0.214
2010/8/5,Total phosphorus,0.309
2010/8/14,Total phosphorus,0.155
2010/9/5,Total phosphorus,0.217
2010/9/10,Total phosphorus,0.156
2010/10/13,Total phosphorus,0.284
2010/10/15,Total phosphorus,0.22
2010/11/12,Total phosphorus,0.191
2010/11/19,Total phosphorus,0.235
2010/12/4,Total phosphorus,0.197
2011/1/29,Total phosphorus,0.132
2011/2/13,Total phosphorus,0.144
2011/2/18,Total phosphorus,0.355
2011/3/4,Total phosphorus,0.188
2011/3/11,Total phosphorus,0.362
2011/3/23,Total phosphorus,0.27
2011/4/9,Total phosphorus,0.091
2011/5/8,Total phosphorus,0.158
2011/5/19,Total phosphorus,0.148
2011/6/1,Total phosphorus,0.256
2011/6/10,Total phosphorus,0.188
2011/7/8,Total phosphorus,0.23
2011/7/21,Total phosphorus,0.33
2011/8/5,Total phosphorus,0.142
2011/8/12,Total phosphorus,0.165
2011/9/3,Total phosphorus,0.065
2011/9/11,Total phosphorus,0.194
2011/10/8,Total phosphorus,0.281
2011/10/22,Total phosphorus,0.218
2011/11/9,Total phosphorus,0.104
2011/11/12,Total phosphorus,0.121
2011/12/4,Total phosphorus,0.201
2012/1/7,Total phosphorus,0.255
2012/1/13,Total phosphorus,0.189
2012/2/25,Total phosphorus,0.196
2012/3/4,Total phosphorus,0.091
2012/3/15,Total phosphorus,0.422
2012/3/25,Total phosphorus,0.137
2012/4/13,Total phosphorus,0.255
2012/4/23,Total phosphorus,0.134
2012/5/3,Total phosphorus,0.175
2012/5/13,Total phosphorus,0.195
2012/5/27,Total phosphorus,0.262
2012/7/6,Total phosphorus,0.07
2012/7/20,Total phosphorus,0.18
2012/8/10,Total phosphorus,0.101
2012/8/26,Total phosphorus,0.159
2012/9/15,Total phosphorus,0.19
2012/9/17,Total phosphorus,0.235
2012/10/8,Total phosphorus,0.357
2012/10/15,Total phosphorus,0.302
2012/11/26,Total phosphorus,0.112
2012/11/30,Total phosphorus,0.243
2012/12/3,Total phosphorus,0.048
2012/12/9,Total phosphorus,0.039
2013/1/19,Total phosphorus,0.126
2013/2/9,Total phosphorus,0.113
2013/3/16,Total phosphorus,0.198
2013/4/14,Total phosphorus,0.158
2013/5/17,Total phosphorus,0.179
2013/6/17,Total phosphorus,0.2269
2013/7/12,Total phosphorus,0.388
2013/8/17,Total phosphorus,0.18
2013/9/8,Total phosphorus,0.079
2013/10/28,Total phosphorus,0.301
2013/11/7,Total phosphorus,0.117
2013/11/18,Total phosphorus,0.399
2013/12/14,Total phosphorus,0.278
2014/1/6,Total phosphorus,0.215
2014/3/28,Total phosphorus,0.179
2014/5/16,Total phosphorus,0.159
2014/6/27,Total phosphorus,0.193
2014/7/26,Total phosphorus,0.204
2014/9/3,Total phosphorus,0.105
2014/9/14,Total phosphorus,0.189
2014/10/17,Total phosphorus,0.32
2014/10/25,Total phosphorus,0.176
2014/11/7,Total phosphorus,0.27
2014/11/22,Total phosphorus,0.365
2014/12/3,Total phosphorus,0.391
2014/12/10,Total phosphorus,0.384
2015/1/22,Total phosphorus,0.196
2015/2/5,Total phosphorus,0.222
2015/3/20,Total phosphorus,0.134
2015/4/3,Total phosphorus,0.173
2015/5/14,Total phosphorus,0.163
2015/6/13,Total phosphorus,0.176
2015/7/10,Total phosphorus,0.166
2015/8/13,Total phosphorus,0.128
2015/9/5,Total phosphorus,0.238
2015/10/17,Total phosphorus,0.154
2015/11/14,Total phosphorus,0.253
2015/12/4,Total phosphorus,0.192
2016/2/17,Total phosphorus,0.424
2016/2/26,Total phosphorus,0.145
2016/3/20,Total phosphorus,0.179
2016/4/2,Total phosphorus,0.14
2016/5/14,Total phosphorus,0.109
2016/6/13,Total phosphorus,0.133
2016/7/16,Total phosphorus,0.124
2016/8/12,Total phosphorus,0.159
2016/9/4,Total phosphorus,0.16
2016/10/21,Total phosphorus,0.273
2016/11/12,Total phosphorus,0.1519
2016/12/8,Total phosphorus,0.152
